taxon,gapfill: class,gapfill: family,gapfill: genus,gapfill: order,match: class,match: family,match: genus,match: order,match: species
cephalopods,10,33,20,6,NA,17,532,NA,220
corals,5531,312,11,3261,NA,NA,287,NA,1
crustacea_arthropods,19537,912,NA,12414,1094,811,93,NA,7
echinoderms,2634,NA,NA,NA,NA,NA,2,7565,98
elasmobranchs,NA,8,1,2,NA,626,571,6,35
fish,3118,3355,471,3814,NA,1331,534,5710,314
marine_mammals,2,71,23,10,NA,44,27,NA,47
molluscs,18116,6373,942,22908,NA,NA,130,NA,46
polychaetes,2618,NA,NA,5851,NA,1980,NA,NA,NA
reptiles,NA,NA,NA,22,NA,60,13,NA,10
seabirds,NA,4,NA,NA,NA,172,165,NA,NA
sponges,NA,NA,NA,NA,7482,NA,NA,NA,NA
