taxon,spp_gp,stressor,sens_score,adcap_gen_score,adcap_spec_score,vuln_raw,sd_sens,sd_acg,sd_acs,sd_vuln_raw,exposure_mod,vuln,sd_vuln
elasmobranchs,notoraja,entanglement_macroplastic,0.665,1.33,1.67,0.37498165946077494,0.33567201672353475,0,0,0.1892794734820091,1,0.4101252076764052,0.20701888055623677
elasmobranchs,scyliorhinus,entanglement_macroplastic,0.66232,1.33,1.67,0.37347045517903826,0.33566127504713,0,0,0.18927341644194348,1,0.4084723722529875,0.2070122558460619
elasmobranchs,schroederichthys,entanglement_macroplastic,0.63016,1.33,1.67,0.3553360037981984,0.3338517671207366,0,0,0.1882530671411218,1,0.3886383471719752,0.20589627868199545
elasmobranchs,fontitrygon,entanglement_macroplastic,0.70252,1.33,1.67,0.39613851940508815,0.3335600377670873,0,0,0.18808856615293407,1,0.4332649036042529,0.20571636054402442
elasmobranchs,dasyatis,entanglement_macroplastic,0.71056,1.33,1.67,0.40067213225029813,0.33255323335076475,0,0,0.18752084706904676,1,0.43822340987450603,0.2050954344232217
elasmobranchs,pastinachus,entanglement_macroplastic,0.66232,1.6600000000000001,1.67,0.36500427525056,0.33566127504713,0,0,0.1849827884229022,1,0.3992127359113435,0.20231950711295862
elasmobranchs,urogymnus,entanglement_macroplastic,0.66768,1.99,1.67,0.3598018420742975,0.33566127504713,0,0,0.1808823764003187,1,0.393522726992226,0.19783480155498775
elasmobranchs,brachaeluridae,entanglement_macroplastic,0.67036,1.99,1.67,0.361246050282959,0.3356290479552169,0,0,0.18086500974707911,1,0.39510228742288017,0.19781580728663667
elasmobranchs,hypanus,entanglement_macroplastic,0.67036,1.99,1.67,0.361246050282959,0.3356290479552169,0,0,0.18086500974707911,1,0.39510228742288017,0.19781580728663667
elasmobranchs,pateobatis,entanglement_macroplastic,0.67036,1.99,1.67,0.361246050282959,0.3356290479552169,0,0,0.18086500974707911,1,0.39510228742288017,0.19781580728663667
elasmobranchs,himantura,entanglement_macroplastic,0.68644,1.99,1.67,0.3699112995349281,0.334983855032642,0,0,0.18051732582358918,1,0.4045796500068051,0.19743553817818985
elasmobranchs,maculabatis,entanglement_macroplastic,0.64356,1.99,1.67,0.3468039681963439,0.334983855032642,0,0,0.18051732582358918,1,0.37930668311633864,0.19743553817818985
elasmobranchs,gymnuridae,entanglement_macroplastic,0.71324,1.99,1.67,0.38435338162154314,0.3321735381359433,0,0,0.17900289196868158,1,0.4203752543133466,0.19577917050370328
elasmobranchs,taeniurops,entanglement_macroplastic,0.7186,1.99,1.67,0.38724179803886616,0.3313475589457045,0,0,0.1785577852796045,1,0.4235343751746549,0.19529234809868645
elasmobranchs,dentiraja,entanglement_macroplastic,0.66768,2.33,1.67,0.3517681050232973,0.33566127504713,0,0,0.17684359371709904,1,0.38473606238255664,0.19341750128196306
elasmobranchs,neoraja,entanglement_macroplastic,0.66768,2.33,1.67,0.3517681050232973,0.33566127504713,0,0,0.17684359371709904,1,0.38473606238255664,0.19341750128196306
elasmobranchs,orbiraja,entanglement_macroplastic,0.67036,2.33,1.67,0.3531800666238581,0.3356290479552169,0,0,0.17682661483042778,1,0.38628035403003036,0.1933989311219393
elasmobranchs,zearaja,entanglement_macroplastic,0.67036,2.33,1.67,0.3531800666238581,0.3356290479552169,0,0,0.17682661483042778,1,0.38628035403003036,0.1933989311219393
elasmobranchs,hongeo,entanglement_macroplastic,0.67304,2.33,1.67,0.3545920282244189,0.33557532925771777,0,0,0.17679831306247967,1,0.3878246456775041,0.19336797689214036
elasmobranchs,breviraja,entanglement_macroplastic,0.67572,2.33,1.67,0.3560039898249797,0.3355001086312287,0,0,0.1767586829743555,1,0.3893689373249778,0.1933246326439296
elasmobranchs,dactylobatus,entanglement_macroplastic,0.6784,2.33,1.67,0.3574159514255405,0.33540337160909245,0,0,0.17670771694427756,1,0.3909132289724515,0.19326889004121078
elasmobranchs,okamejei,entanglement_macroplastic,0.64088,2.33,1.67,0.33764848901768924,0.3348008243237634,0,0,0.17639026409748398,1,0.3692931459078194,0.19292168528750123
elasmobranchs,beringraja,entanglement_macroplastic,0.69448,2.33,1.67,0.3658877210289053,0.3343697686225157,0,0,0.17616316182216138,1,0.4001789788572938,0.19267329882517556
elasmobranchs,spiniraja whitleyi,entanglement_macroplastic,0.63284,2.33,1.67,0.3334126042160068,0.33412165977999175,0,0,0.17603244534514517,1,0.36466027096539827,0.192530331506827
elasmobranchs,malacoraja,entanglement_macroplastic,0.6248,2.33,1.67,0.3291767194143244,0.3332464143704521,0,0,0.17557132112524326,1,0.3600273960229771,0.19202599039658752
elasmobranchs,amblyraja,entanglement_macroplastic,0.70788,2.33,1.67,0.3729475290317093,0.332910835054051,0,0,0.17539452071154896,1,0.4079004370946624,0.19183262012219085
elasmobranchs,rostroraja,entanglement_macroplastic,0.71324,2.33,1.67,0.3757714522328309,0.3321735381359433,0,0,0.1750060748396908,1,0.4109890203896098,0.19140776882654092
elasmobranchs,pseudotriakidae,entanglement_macroplastic,0.67036,2.51084,1.67,0.349062573959607,0.3356290479552169,0.16456738466775717,0,0.17479714023570797,1,0.38177696702048863,0.19117925272265343
elasmobranchs,dipturus,entanglement_macroplastic,0.7186,2.3200000000000003,1.67,0.37884416715159347,0.3313475589457045,0,0,0.17468562483509456,1,0.4143497123391842,0.1910572860192646
elasmobranchs,aptychotrema,entanglement_macroplastic,0.65964,2.65,1.67,0.3403792185166044,0.3356290479552169,0,0,0.1731871218459594,1,0.3722798013204099,0.1894183422626379
