db,spec_code,species,length
fb,180,lutjanus stellatus,55
fb,181,lutjanus synagris,33.25
fb,182,lutjanus timoriensis,46
fb,183,lutjanus viridis,30
fb,184,lutjanus vitta,27.399999618530273
fb,185,lutjanus vivanus,54
fb,186,macolor macularis,59.1
fb,187,macolor niger,58.25
fb,188,ocyurus chrysurus,50
fb,189,paracaesio caerulea,50
fb,190,paracaesio gonzalesi,35.25
fb,191,paracaesio kusakarii,57
fb,192,paracaesio sordida,36.099998474121094
fb,193,paracaesio stonei,45
fb,194,paracaesio xanthura,37.14999961853027
fb,195,parapristipomoides squamimaxillaris,51.29999923706055
fb,196,pinjalo pinjalo,61
fb,198,pristipomoides aquilonaris,21.65
fb,199,pristipomoides argyrogrammicus,31.35
fb,200,pristipomoides auricilla,41.5
fb,201,pristipomoides filamentosus,64
fb,202,pristipomoides flavipinnis,50
fb,203,boops boops,25.600000381469727
fb,204,sarpa salpa,30.1
fb,205,pristipomoides freemani,23.299999237060547
fb,206,pristipomoides macrophthalmus,50
fb,207,bothus podas,20.55
fb,208,pristipomoides multidens,57.5
fb,209,pristipomoides sieboldii,53.1
fb,210,pristipomoides typus,67
fb,211,pristipomoides zonatus,47
fb,212,randallichthys filamentosus,57
fb,213,rhomboplites aurorubens,40.5
fb,214,symphorichthys spilurus,60
fb,215,symphorus nematophorus,96
fb,216,makaira nigricans,369
fb,217,istiompax indica,430
fb,218,makaira mazara,350.5
fb,219,kajikia albida,232
fb,220,tetrapturus pfluegeri,239.5
fb,222,tetrapturus georgii,184
fb,223,kajikia audax,281
fb,225,callionymus filamentosus,14.400000095367432
fb,226,xiphias gladius,219.5
fb,227,megalops cyprinoides,47
fb,228,albula vulpes,65
fb,229,nemoossis belloci,55
fb,230,alepocephalus bairdii,75
fb,231,coregonus albula,23
fb,232,coregonus lavaretus,50
fb,233,coregonus oxyrinchus,48.5
fb,234,coregonus clupeaformis,49.7
fb,235,coregonus artedi,31.95
fb,236,salmo salar,74.9000015258789
fb,237,clarias jaensis,48.29999923706055
fb,238,salmo trutta,23
fb,239,oncorhynchus mykiss,69.1
fb,240,oncorhynchus gorbuscha,63.25
fb,241,oncorhynchus keta,88
fb,242,oncorhynchus masou,47.1
fb,243,oncorhynchus nerka,68
fb,244,oncorhynchus tshawytscha,119
fb,245,oncorhynchus kisutch,102.9749984741211
fb,246,salvelinus fontinalis,67.5
fb,247,salvelinus alpinus,38.099998474121094
fb,248,salvelinus namaycush,42
fb,249,centrolophus niger,69.75
fb,250,schedophilus ovalis,82.2
