sciname,aphia_id,valid_sciname
zoroaster planus,254839,zoroaster planus
zoroaster singletoni,254840,zoroaster singletoni
zoroaster spinulosus,369064,zoroaster spinulosus
zoroaster tenuis,234958,zoroaster tenuis
zoroaster variacanthus,254841,zoroaster variacanthus
zygometra andromeda,394672,zygometra andromeda
zygometra comata,394673,zygometra comata
zygometra elegans,394669,zygometra elegans
zygometra microdiscus,394662,zygometra microdiscus
zygometra pristina,394675,zygometra pristina
zygometra punctata,394674,zygometra punctata
zygothuria candelabri,816799,zygothuria candelabri
zygothuria connectens,124591,zygothuria connectens
zygothuria lactea,124592,zygothuria lactea
zygothuria marginata,816798,zygothuria marginata
zygothuria oxysclera,529717,zygothuria oxysclera
zygothuria thomsoni,529718,zygothuria thomsoni
acroteriobatus annulatus,871953,acroteriobatus annulatus
acroteriobatus blochii,1022262,acroteriobatus blochii
acroteriobatus leucospilus,1016293,acroteriobatus leucospilus
acroteriobatus ocellatus,1016275,acroteriobatus ocellatus
acroteriobatus omanensis,1022440,acroteriobatus omanensis
acroteriobatus salalah,1043598,acroteriobatus salalah
acroteriobatus variegatus,1012968,acroteriobatus variegatus
acroteriobatus zanzibarensis,1016263,acroteriobatus zanzibarensis
aculeola nigra,279502,aculeola nigra
aetobatus flagellum,278241,aetobatus flagellum
aetobatus laticeps,712980,aetobatus laticeps
aetobatus narinari,217426,aetobatus narinari
aetobatus narutobiei,835222,aetobatus narutobiei
aetobatus ocellatus,278243,aetobatus ocellatus
aetomylaeus asperrimus,1019180,aetomylaeus asperrimus
aetomylaeus bovinus,871951,aetomylaeus bovinus
aetomylaeus caeruleofasciatus,1006884,aetomylaeus caeruleofasciatus
aetomylaeus maculatus,217428,aetomylaeus maculatus
aetomylaeus milvus,278474,aetomylaeus milvus
aetomylaeus nichofii,278475,aetomylaeus nichofii
aetomylaeus vespertilio,217427,aetomylaeus vespertilio
alopias pelagicus,220019,alopias pelagicus
alopias superciliosus,105835,alopias superciliosus
alopias vulpinus,105836,alopias vulpinus
amblyraja doellojuradoi,271500,amblyraja doellojuradoi
amblyraja frerichsi,271501,amblyraja frerichsi
amblyraja georgiana,234607,amblyraja georgiana
amblyraja hyperborea,105863,amblyraja hyperborea
amblyraja jenseni,105864,amblyraja jenseni
amblyraja radiata,105865,amblyraja radiata
amblyraja reversa,271502,amblyraja reversa
amblyraja taaf,234766,amblyraja taaf
anacanthobatis donghaiensis,277940,anacanthobatis donghaiensis
anacanthobatis marmorata,1016599,anacanthobatis marmorata
anacanthobatis nanhaiensis,277944,anacanthobatis nanhaiensis
anoxypristis cuspidata,217374,anoxypristis cuspidata
apristurus albisoma,271333,apristurus albisoma
apristurus ampliceps,398235,apristurus ampliceps
apristurus aphyodes,105806,apristurus aphyodes
apristurus australis,398236,apristurus australis
apristurus breviventralis,834882,apristurus breviventralis
apristurus brunneus,158512,apristurus brunneus
apristurus bucephalus,398237,apristurus bucephalus
apristurus canutus,271334,apristurus canutus
apristurus exsanguis,271335,apristurus exsanguis
apristurus fedorovi,271336,apristurus fedorovi
apristurus garricki,834881,apristurus garricki
apristurus gibbosus,271337,apristurus gibbosus
apristurus herklotsi,271338,apristurus herklotsi
apristurus indicus,217635,apristurus indicus
apristurus internatus,271339,apristurus internatus
apristurus investigatoris,271340,apristurus investigatoris
apristurus japonicus,271341,apristurus japonicus
apristurus kampae,271342,apristurus kampae
apristurus laurussonii,105807,apristurus laurussonii
apristurus longicephalus,217634,apristurus longicephalus
apristurus macrorhynchus,271343,apristurus macrorhynchus
apristurus macrostomus,271344,apristurus macrostomus
apristurus manis,105808,apristurus manis
apristurus melanoasper,271345,apristurus melanoasper
apristurus microps,105809,apristurus microps
apristurus micropterygeus,271346,apristurus micropterygeus
apristurus nakayai,834880,apristurus nakayai
apristurus nasutus,105810,apristurus nasutus
apristurus parvipinnis,271347,apristurus parvipinnis
apristurus pinguis,271348,apristurus pinguis
apristurus platyrhynchus,271349,apristurus platyrhynchus
apristurus profundorum,158513,apristurus profundorum
apristurus riveri,158514,apristurus riveri
apristurus saldanha,217636,apristurus saldanha
apristurus sibogae,271350,apristurus sibogae
apristurus sinensis,271351,apristurus sinensis
apristurus spongiceps,271352,apristurus spongiceps
apristurus stenseni,271353,apristurus stenseni
apristurus yangi,1042794,apristurus yangi
aptychotrema rostrata,279673,aptychotrema rostrata
aptychotrema timorensis,279674,aptychotrema timorensis
aptychotrema vincentiana,279675,aptychotrema vincentiana
arhynchobatis asperrimus,279690,arhynchobatis asperrimus
asymbolus analis,279779,asymbolus analis
asymbolus funebris,279780,asymbolus funebris
asymbolus galacticus,398238,asymbolus galacticus
asymbolus occiduus,279781,asymbolus occiduus
asymbolus pallidus,279782,asymbolus pallidus
asymbolus parvus,279783,asymbolus parvus
asymbolus rubiginosus,279784,asymbolus rubiginosus
asymbolus submaculatus,279785,asymbolus submaculatus
asymbolus vincenti,279786,asymbolus vincenti
atelomycterus baliensis,279787,atelomycterus baliensis
atelomycterus erdmanni,1006964,atelomycterus erdmanni
atelomycterus fasciatus,279788,atelomycterus fasciatus
atelomycterus macleayi,279789,atelomycterus macleayi
atelomycterus marmoratus,279790,atelomycterus marmoratus
atelomycterus marnkalha,398239,atelomycterus marnkalha
atlantoraja castelnaui,279816,atlantoraja castelnaui
atlantoraja cyclophora,279817,atlantoraja cyclophora
atlantoraja platana,279818,atlantoraja platana
aulohalaelurus kanakorum,279834,aulohalaelurus kanakorum
aulohalaelurus labiosus,279835,aulohalaelurus labiosus
bathyraja abyssicola,271503,bathyraja abyssicola
bathyraja aguja,271504,bathyraja aguja
bathyraja albomaculata,271505,bathyraja albomaculata
bathyraja aleutica,271506,bathyraja aleutica
bathyraja andriashevi,271507,bathyraja andriashevi
bathyraja arctowskii,1483524,bathyraja arctowskii
bathyraja bergi,271508,bathyraja bergi
bathyraja brachyurops,271509,bathyraja brachyurops
bathyraja caeluronigricans,271510,bathyraja caeluronigricans
bathyraja cousseauae,388675,bathyraja cousseauae
bathyraja diplotaenia,271511,bathyraja diplotaenia
bathyraja eatonii,234813,bathyraja eatonii
bathyraja fedorovi,271512,bathyraja fedorovi
bathyraja griseocauda,234586,bathyraja griseocauda
bathyraja hesperafricana,271513,bathyraja hesperafricana
bathyraja interrupta,271515,bathyraja interrupta
bathyraja irrasa,234785,bathyraja irrasa
bathyraja ishiharai,398284,bathyraja ishiharai
bathyraja isotrachys,271516,bathyraja isotrachys
bathyraja leucomelanos,712389,bathyraja leucomelanos
bathyraja lindbergi,271517,bathyraja lindbergi
bathyraja longicauda,271518,bathyraja longicauda
bathyraja maccaini,234675,bathyraja maccaini
bathyraja macloviana,271519,bathyraja macloviana
bathyraja maculata,271520,bathyraja maculata
bathyraja magellanica,271521,bathyraja magellanica
bathyraja mariposa,271522,bathyraja mariposa
bathyraja matsubarai,271523,bathyraja matsubarai
bathyraja meridionalis,234792,bathyraja meridionalis
bathyraja minispinosa,271524,bathyraja minispinosa
bathyraja multispinis,271525,bathyraja multispinis
bathyraja murrayi,234763,bathyraja murrayi
bathyraja notoroensis,271526,bathyraja notoroensis
bathyraja pacifica,1385179,bathyraja pacifica
bathyraja pallida,105866,bathyraja pallida
bathyraja panthera,712390,bathyraja panthera
bathyraja papilionifera,271527,bathyraja papilionifera
bathyraja peruana,271529,bathyraja peruana
bathyraja pseudoisotrachys,271530,bathyraja pseudoisotrachys
bathyraja richardsoni,105867,bathyraja richardsoni
bathyraja scaphiops,271531,bathyraja scaphiops
bathyraja schroederi,271532,bathyraja schroederi
bathyraja shuntovi,271533,bathyraja shuntovi
bathyraja smirnovi,271535,bathyraja smirnovi
bathyraja smithii,217383,bathyraja smithii
bathyraja spinicauda,105868,bathyraja spinicauda
bathyraja spinosissima,271536,bathyraja spinosissima
bathyraja taranetzi,298834,bathyraja taranetzi
bathyraja trachouros,271537,bathyraja trachouros
bathyraja trachura,271538,bathyraja trachura
bathyraja tunae,398285,bathyraja tunae
bathyraja tzinovskii,271539,bathyraja tzinovskii
bathyraja violacea,271540,bathyraja violacea
bathytoshia brevicaudata,316573,bathytoshia brevicaudata
bathytoshia centroura,1017389,bathytoshia centroura
bathytoshia lata,1018707,bathytoshia lata
benthobatis kreffti,279902,benthobatis kreffti
benthobatis marcida,279903,benthobatis marcida
benthobatis moresbyi,279904,benthobatis moresbyi
benthobatis yangi,388404,benthobatis yangi
beringraja binoculata,1021330,beringraja binoculata
beringraja cortezensis,1461136,beringraja cortezensis
beringraja inornata,1461134,beringraja inornata
beringraja pulchra,1015739,beringraja pulchra
beringraja rhina,1461133,beringraja rhina
beringraja stellulata,1461135,beringraja stellulata
brachaelurus colcloughi,313932,brachaelurus colcloughi
brachaelurus waddi,279950,brachaelurus waddi
breviraja claramaculata,275410,breviraja claramaculata
breviraja colesi,275411,breviraja colesi
breviraja mouldi,275412,breviraja mouldi
breviraja nigriventralis,275413,breviraja nigriventralis
breviraja spinosa,158547,breviraja spinosa
brevitrygon heterura,1042822,brevitrygon heterura
brevitrygon imbricata,1042823,brevitrygon imbricata
brevitrygon javaensis,1042825,brevitrygon javaensis
brevitrygon walga,1042826,brevitrygon walga
brochiraja aenigma,279992,brochiraja aenigma
brochiraja albilabiata,279993,brochiraja albilabiata
brochiraja asperula,279994,brochiraja asperula
brochiraja heuresa,712391,brochiraja heuresa
brochiraja leviveneta,279995,brochiraja leviveneta
brochiraja microspinifera,279996,brochiraja microspinifera
brochiraja spinifera,279997,brochiraja spinifera
brochiraja vittacauda,712392,brochiraja vittacauda
bythaelurus alcockii,475053,bythaelurus alcockii
bythaelurus bachi,1006774,bythaelurus bachi
bythaelurus canescens,316762,bythaelurus canescens
bythaelurus clevai,316763,bythaelurus clevai
bythaelurus dawsoni,316764,bythaelurus dawsoni
bythaelurus giddingsi,596347,bythaelurus giddingsi
bythaelurus hispidus,316765,bythaelurus hispidus
bythaelurus immaculatus,316766,bythaelurus immaculatus
bythaelurus incanus,398240,bythaelurus incanus
bythaelurus lutarius,316767,bythaelurus lutarius
bythaelurus naylori,1042809,bythaelurus naylori
bythaelurus stewarti,1524222,bythaelurus stewarti
bythaelurus tenuicephalus,1006810,bythaelurus tenuicephalus
bythaelurus vivaldii,1043646,bythaelurus vivaldii
callorhinchus callorynchus,278468,callorhinchus callorynchus
callorhinchus capensis,221460,callorhinchus capensis
callorhinchus milii,278469,callorhinchus milii
carcharhinus acronotus,158508,carcharhinus acronotus
carcharhinus albimarginatus,217352,carcharhinus albimarginatus
carcharhinus altimus,105787,carcharhinus altimus
carcharhinus amblyrhynchoides,217350,carcharhinus amblyrhynchoides
carcharhinus amblyrhynchos,217337,carcharhinus amblyrhynchos
carcharhinus amboinensis,217340,carcharhinus amboinensis
carcharhinus borneensis,271319,carcharhinus borneensis
carcharhinus brachyurus,217341,carcharhinus brachyurus
carcharhinus brevipinna,105788,carcharhinus brevipinna
carcharhinus cautus,271320,carcharhinus cautus
carcharhinus cerdale,298424,carcharhinus cerdale
carcharhinus coatesi,1014961,carcharhinus coatesi
carcharhinus dussumieri,217347,carcharhinus dussumieri
carcharhinus falciformis,105789,carcharhinus falciformis
carcharhinus fitzroyensis,271321,carcharhinus fitzroyensis
carcharhinus galapagensis,105790,carcharhinus galapagensis
carcharhinus hemiodon,271322,carcharhinus hemiodon
carcharhinus humani,834879,carcharhinus humani
carcharhinus isodon,105791,carcharhinus isodon
carcharhinus leiodon,271323,carcharhinus leiodon
carcharhinus leucas,105792,carcharhinus leucas
carcharhinus limbatus,105793,carcharhinus limbatus
carcharhinus longimanus,105794,carcharhinus longimanus
carcharhinus macloti,217335,carcharhinus macloti
carcharhinus macrops,398262,carcharhinus macrops
carcharhinus melanopterus,105795,carcharhinus melanopterus
carcharhinus obscurus,105796,carcharhinus obscurus
carcharhinus obsoletus,1523902,carcharhinus obsoletus
carcharhinus perezii,271324,carcharhinus perezii
carcharhinus plumbeus,105797,carcharhinus plumbeus
carcharhinus porosus,217342,carcharhinus porosus
carcharhinus sealei,217336,carcharhinus sealei
carcharhinus signatus,105798,carcharhinus signatus
carcharhinus sorrah,217339,carcharhinus sorrah
carcharhinus tilstoni,271325,carcharhinus tilstoni
carcharhinus tjutjot,217348,carcharhinus tjutjot
carcharias taurus,105843,carcharias taurus
carcharias tricuspidatus,209411,carcharias tricuspidatus
carcharodon carcharias,105838,carcharodon carcharias
centrophorus atromarginatus,271616,centrophorus atromarginatus
centrophorus granulosus,105899,centrophorus granulosus
centrophorus harrissoni,271617,centrophorus harrissoni
