category,trait,acanthochromis polyacanthus,acanthurus dussumieri,acromycter perturbator,amphiprion akindynos,anguilla australis,apterichtus kendalli,ariosoma selenops,asarcenchelys longimanus,balistoides viridescens,bathycongrus retrotinctus,bathycongrus vicinalis,bathypterois grallator,bathyuroconger vicinus,brachionichthys hirsutus,brachysomophis longipinnis,callechelys bitaeniata,carapus bermudensis,cephalopholis cyanostigma,cetoscarus bicolor,chaetodon auriga,chaetodon triangulum,chaetodon trifascialis,champsocephalus gunnari,chanos chanos,chlopsis kazuko,cirripectes alleni,cirripectes filamentosus,clupea harengus,coloconger japonicus,conger verreauxi,congriscus maldivensis,coryphaena hippurus,crossosalarias macrospilus,derichthys serpentinus,dissostichus eleginoides,ecsenius trilineatus,encheliophis gracilis,enchelycore schismatorhynchus,engraulis ringens,entomacrodus macrospilus,entomacrodus stellifer,epinephelus itajara,epinephelus lanceolatus,eptatretus cirrhatus,eptatretus mendozai,ethadophis akkistikos,ethadophis merenda,eviota sigillata,exocoetus volitans,facciolella karreri,forsterygion varium,gadus morhua,galaxias brevipinnis,gobiodon citrinus,gobiodon histrio,gorgasia maculata,gymnothorax javanicus,heteroconger klausewitzi,heteroconger taylori,hippocampus abdominalis,hippoglossus stenolepis,hoplostethus atlanticus,hoplunnis schmidti,hygophum proximum,hypleurochilus bananensis,hypsoblennius striatus,katsuwonus pelamis,kaupichthys brachychirus,lutjanus carponotatus,lutjanus sebae,meuschenia scaber,monopenchelys acuta,moringua edwardsi,naso vlamingii,nessorhamphus danae,notolabrus celidotus,omobranchus anolius,omobranchus fasciolatus,omobranchus rotundiceps,oncorhynchus nerka,ophichthus altipennis,ophichthus melanoporus,ostorhinchus doederleini,parablennius parvicornis,parablennius yatabei,parablennius zvonimiri,parapercis colias,parenchelyurus hepburni,parma microlepis,phycodurus eques,plectropomus leopardus,pomacentrus coelestis,praealticus dayi,rexea solandri,rhinomuraena quaesita,salarias ceramensis,salarias fasciatus,salarias sinuosus,saurenchelys fierasfer,saurenchelys meteori,scarus schlegeli,sebastes diploproa,serrivomer lanceolatoides,simenchelys parasitica,skythrenchelys zabra,spratelloides delicatulus,synaphobranchus affinis,synaphobranchus kaupii,synaphobranchus oregoni,thunnus maccoyii,uropterygius fuscoguttatus,uropterygius wheeleri,venefica tentaculata,xenomystax trucidans,xestochilus nebulosus
biophysical traits,navigation requirements (sound),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NA,NA,NA,NA,NA
biophysical traits,respiration structures,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills
breeding/nesting range/number of spawning aggregations (fish),"if one/few, size",very small,no,NA,very small,few,NA,NA,NA,no,NA,NA,large,NA,very small,NA,NA,no,na,no,na,na,na,unknown,few,NA,NA,NA,very small,NA,NA,NA,na,NA,NA,unknown,NA,no,NA,large,NA,NA,small,na,NA,NA,NA,NA,very small,na,NA,very small,large,small,very small,very small,NA,na,NA,NA,na,large,large,NA,large,NA,NA,large,NA,small,small,no,NA,NA,no,NA,no,NA,NA,NA,small,NA,NA,very small,NA,NA,NA,na,NA,very small,na,medium,very small,NA,few,NA,NA,very small,NA,NA,NA,no,no,NA,NA,NA,very small,NA,NA,NA,large,NA,NA,NA,NA,NA
breeding/nesting range/number of spawning aggregations (fish),number of sites,does not aggregate,does not aggregate,does not aggregate,does not aggregate,one;few;many,many,does not aggregate,many,does not aggregate,does not aggregate,does not aggregate,few,does not aggregate,few,many,many,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,NA,one;few;many,many,many,many,many,many,does not aggregate,many,many,many,many,few,many,does not aggregate,many,one;few;many,many,many,one;few;many,does not aggregate,does not aggregate,does not aggregate,many,many,does not aggregate,many,many,does not aggregate,many,few,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,few,few,many,few,many,many,few,many,many,many,does not aggregate,many,does not aggregate,does not aggregate,many,does not aggregate,many,many,many,few,many,many,does not aggregate,many,many,many,does not aggregate,many,does not aggregate,does not aggregate,one;few;many,many,many,one;few;many,many,many,does not aggregate,many,many,many,does not aggregate,does not aggregate,many,many,many,does not aggregate,many,many,many,few,many,many,many,does not aggregate,many
breeding/nesting range/number of spawning aggregations (fish),sub-population dependence on particular sites,no,no,NA,no,yes,NA,NA,NA,no,NA,NA,yes,NA,yes,NA,NA,no,unknown,no,no,no,no,unknown,unknown,NA,no,no,yes,NA,NA,NA,no,no,NA,yes,no,no,NA,yes,no,no,yes,unknown,no,no,NA,NA,no,no,NA,no,yes,yes,no,no,NA,no,NA,NA,no,yes,yes,NA,yes,no,no,yes,NA,no,no,no,NA,NA,no,NA,no,no,no,no,yes,NA,NA,no,no,no,no,no,no,no,no,yes,no,no,yes,NA,no,no,no,NA,NA,no,no,NA,NA,NA,no,NA,NA,NA,yes,NA,NA,NA,NA,NA
foraging range,"if one/few, size",medium,many,NA,very small,unknown,NA,NA,NA,many,NA,NA,large,NA,very small,NA,NA,many,very small,many,medium,medium,medium,unknown,unknown,NA,NA,NA,na,NA,NA,NA,large,NA,NA,unknown,NA,many,NA,unknown,NA,NA,yes,unknown,NA,NA,NA,NA,very small,large,NA,very small,large,large,very small,very small,NA,medium,NA,NA,na,large,large,NA,large,NA,NA,large,NA,medium,medium,many,NA,NA,many,NA,many,NA,NA,NA,large,NA,NA,medium,NA,NA,NA,na,NA,medium,na,yes,very small,NA,large,NA,NA,very small,NA,NA,NA,many,many,NA,NA,NA,very small,NA,NA,NA,large,NA,NA,NA,NA,NA
foraging range,"number of sites, incl. terrestrial wetlands",many,does not aggregate,NA,many,many,NA,NA,NA,does not aggregate,NA,NA,many,NA,one;few;many,NA,NA,few,NA,does not aggregate,many,many,many,NA,NA,NA,many,many,many,NA,NA,NA,many,many,NA,many,many,few,NA,many,many,many,NA,NA,many,many,NA,NA,few,many,NA,few,many,many,few,few,NA,many,NA,NA,does not aggregate,many,many,NA,many,many,many,many,NA,many,many,does not aggregate,NA,NA,does not aggregate,NA,does not aggregate,many,many,many,many,NA,NA,many,many,many,many,does not aggregate,many,many,does not aggregate,NA,many,many,few,NA,many,few,many,NA,NA,does not aggregate,does not aggregate,NA,NA,NA,few,NA,NA,NA,many,NA,NA,NA,NA,NA
foraging range,sub-population dependence on particular sites,no,no,NA,yes,unknown,NA,NA,NA,no,NA,NA,yes,NA,yes,NA,NA,no,yes,no,no,no,no,unknown,unknown,NA,no,no,yes,NA,NA,NA,yes,no,NA,yes,no,no,NA,unknown,no,no,NA,NA,no,no,NA,NA,no,yes,NA,no,yes,only for spawning,no,no,NA,no,NA,NA,no,yes,yes,NA,yes,no,no,yes,NA,no,no,no,NA,NA,no,NA,no,no,no,no,only for spawning,NA,NA,no,no,no,no,no,no,no,no,NA,no,no,yes,NA,no,no,no,NA,NA,no,no,NA,NA,NA,no,NA,NA,NA,yes,NA,NA,NA,NA,NA
movement,adult mobility,nearly sessile/sedentary,mobile resident,mobile resident,nearly sessile/sedentary,horizontal migrator,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,nearly sessile/sedentary,mobile resident,mobile resident,nearly sessile/sedentary,nearly sessile/sedentary,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,NA,mobile resident,mobile resident,mobile resident,vertical migrator;horizontal migrator,mobile resident,vertical migrator,mobile resident,nomadic,mobile resident,mobile resident,nomadic,mobile resident,nearly sessile/sedentary,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,nearly sessile/sedentary,nomadic,mobile resident,nearly sessile/sedentary,horizontal migrator,horizontal migrator,nearly sessile/sedentary,nearly sessile/sedentary,mobile resident,mobile resident,mobile resident,mobile resident,nearly sessile/sedentary,mobile resident,nearly sessile/sedentary,mobile resident,vertical migrator,mobile resident,mobile resident,horizontal migrator,mobile resident,mobile resident,horizontal migrator,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,horizontal migrator,mobile resident,vertical migrator,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,nearly sessile/sedentary,nearly sessile/sedentary,mobile resident,mobile resident,mobile resident,mobile resident,NA,mobile resident,nearly sessile/sedentary,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,vertical migrator,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,horizontal migrator,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident
movement,planktonic larval duration (pld) exposure,<1month,<4months,>1yr,<1month,>1yr,>1yr,>1yr,>1yr,<4months,>1yr,>1yr,unknown,>1yr,not larvae,>1yr,>1yr,<4months,<4months,<4months,<4months,<4months,<4months,4months-1yr,<1month,>1yr,<4months,<4months,<4months,>1yr,>1yr,>1yr,<1month,<4months,>1yr,4months-1yr,<4months,<4months,>1yr,<4months,<4months,<4months,<4months,<4months,not larvae,not larvae,>1yr,>1yr,<1month,<1month,>1yr,<4months,<4months,4months-1yr,<1month,<1month,>1yr,<4months,>1yr,>1yr,not larvae,<4months,unknown,>1yr,unknown,<4months,<4months,<1month,>1yr,<1month,<1month,<4months,>1yr,>1yr,<4months,>1yr,<4months,<4months,<4months,<4months,<4months,>1yr,>1yr,<1month,<4months,<4months,<4months,<1month,<4months,<1month,not larvae,<4months,<1month,<4months,unknown,>1yr,<4months,<1month,<4months,>1yr,>1yr,<4months,<1month,>1yr,>1yr,>1yr,<1month,>1yr,>1yr,>1yr,<1month,>1yr,>1yr,>1yr,>1yr,>1yr
