category,trait,acanthaster,actinopyga echinites,amphiodia occidentalis,amphipholis squamata,anneissia japonica,antedon mediterranea,aporometra wilsoni,apostichopus californicus,apostichopus japonicus,aquilonastra burtoni,arachnoides placenta,asterias rubens,asterina gibbosa,asterina phylactica,asterina stellifera,australostichopus mollis,breviturma brevipes,breviturma dentata,breviturma doederleini,breviturma longispina,breviturma pica,breviturma pusilla,brisaster latifrons,centrostephanus rodgersii,cryptasterina hystera,cryptasterina pacifica,cryptasterina pentagona,cucumaria frondosa,cucumaria miniata,cucumaria piperata,cucumaria pseudocurata,dendraster excentricus,diadema antillarum,diadema savignyi,diadema setosum,echinocardium cordatum,eupentacta quinquesemita,evechinus chloroticus,florometra serratissima,gorgonocephalus eucnemis,heliocidaris crassispina,heliocidaris erythrogramma,heliocidaris tuberculata,holopneustes purpurascens,holothuria (halodeima) atra,holothuria (metriatyla) scabra,holothuria (panningothuria) forskali,leptopentacta elongata,leptosynapta clarki,loxechinus albus,meridiastra atyphoida,meridiastra calcar,meridiastra gunnii,meridiastra mortenseni,meridiastra occidens,meridiastra oriens,mesocentrotus franciscanus,molpadia intermedia,odontaster validus,ophiocoma aethiops,ophiocoma echinata,ophiocoma erinaceus,ophiocoma scolopendrina,ophiocomella alexandri,ophiocomella ophiactoides,ophiocomella pumila,ophiomastix annulosa,ophiomastix caryophyllata,ophiomastix elegans,ophiomastix endeani,ophiomastix janualis,ophiomastix macroplaca,ophiomastix marshallensis,ophiomastix mixta,ophiomastix occidentalis,ophiomastix pictum,ophiomastix venosa,ophiomastix wendtii,ophiopholis aculeata,ophiura sarsii,parvulastra exigua,parvulastra parvivipara,parvulastra vivipara,patiria chilensis,patiria miniata,patiria pectinifera,patiriella regularis,pentamera populifera,pisaster ochraceus,psammechinus miliaris,pseudocnus lubricus,psolidium bullatum,psolus chitonoides,pycnopodia helianthoides,strongylocentrotus droebachiensis,strongylocentrotus fragilis,strongylocentrotus pallidus,strongylocentrotus purpuratus,tripneustes gratilla,tripneustes kermadecensis
breeding/nesting range/number of spawning aggregations (fish),number of sites,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate
breeding/nesting range/number of spawning aggregations (fish),sub-population dependence on particular sites,no,na,na,na,na,na,na,na,na,no,na,no,na,no,no,na,na,na,na,na,na,na,na,na,no,no,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,no,no,no,no,no,no,na,na,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,no,no,no,no,no,no,no,na,no,na,na,na,na,no,na,na,na,na,na,na
foraging range,"if one/few, size",na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
foraging range,"number of sites, incl. terrestrial wetlands",does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate
foraging range,sub-population dependence on particular sites,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
movement,adult mobility,mobile resident,mobile resident,mobile resident,mobile resident,nearly sessile/sedentary,nearly sessile/sedentary,nearly sessile/sedentary,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,nearly sessile/sedentary,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,nearly sessile/sedentary,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,nearly sessile/sedentary,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,nearly sessile/sedentary,nearly sessile/sedentary,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident
movement,planktonic larval duration (pld) exposure,<1month,<1month,unknown,not larvae,<1week,<1week,<1week,<4months,<1week,<1month,<1month,<4months,<1month,<1month,<1month,<1month,<1month,<1month,<1month,<1month,<1month,<1month,<4months,<4months,not larvae,not larvae,<1month,<4months,<1month,<1month,not larvae,<4months,<4months,<4months,<4months,<4months,<1month,<1month,<1week,<1week,<4months,<1month,<4months,<1month,<1month,<1month,<4months,<4months,not larvae,<1month;<4months,<1month,<1month,<1month,<1month,<1month,<1month,<4months,<1week,4months-1yr,<1month,<1month,<1month,<1month,<1month,<1month,<1month,<1month,<1month,<1month,<1month,<1month,<1month,<1month,<1month,<1month,<1month,<1month,<1month,<4months,unknown,not larvae,not larvae,not larvae,<1month,<1month,<1month,<4months,<1month,<4months,<1month,not larvae,<1month,<4months,<4months,<4months,4months-1yr,<4months,<4months,<1month;<4months,<1month;<4months
physiological tolerance breadths,dissolved oxygen,low tolerance,low tolerance,low tolerance,high tolerance,low tolerance,low tolerance,low tolerance,low tolerance,low tolerance,low tolerance,low tolerance,low tolerance,low tolerance,low tolerance,low tolerance,low tolerance,low tolerance,low tolerance,low tolerance,low tolerance,low tolerance,low tolerance,low tolerance,low tolerance,low tolerance,low tolerance,low tolerance,low tolerance,low tolerance,low tolerance,low tolerance,low tolerance,low tolerance,low tolerance,low tolerance,low tolerance,low tolerance,low tolerance,low tolerance,low tolerance,low tolerance,low tolerance,low tolerance,low tolerance,low tolerance,low tolerance,low tolerance,low tolerance,low tolerance,low tolerance,low tolerance,low tolerance,low tolerance,low tolerance,low tolerance,low tolerance,low tolerance,low tolerance,low tolerance,low tolerance,low tolerance,low tolerance,medium tolerance,low tolerance,low tolerance,low tolerance,low tolerance,low tolerance,low tolerance,low tolerance,low tolerance,low tolerance,low tolerance,low tolerance,low tolerance,low tolerance,low tolerance,low tolerance,low tolerance,low tolerance,low tolerance,low tolerance,low tolerance,low tolerance,low tolerance,low tolerance,low tolerance,low tolerance,low tolerance,low tolerance,low tolerance,low tolerance,low tolerance,low tolerance,low tolerance,low tolerance,low tolerance,low tolerance,low tolerance,low tolerance
physiological tolerance breadths,ph,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2
physiological tolerance breadths,salinity,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline
