category,trait,acanthaster,actinopyga echinites,amphiodia occidentalis,amphipholis squamata,anneissia japonica,antedon mediterranea,aporometra wilsoni,apostichopus californicus,apostichopus japonicus,aquilonastra burtoni,arachnoides placenta,asterias rubens,asterina gibbosa,asterina phylactica,asterina stellifera,australostichopus mollis,breviturma brevipes,breviturma dentata,breviturma doederleini,breviturma longispina,breviturma pica,breviturma pusilla,brisaster latifrons,centrostephanus rodgersii,cryptasterina hystera,cryptasterina pacifica,cryptasterina pentagona,cucumaria frondosa,cucumaria miniata,cucumaria piperata,cucumaria pseudocurata,dendraster excentricus,diadema antillarum,diadema savignyi,diadema setosum,echinocardium cordatum,eupentacta quinquesemita,evechinus chloroticus,florometra serratissima,gorgonocephalus eucnemis,heliocidaris crassispina,heliocidaris erythrogramma,heliocidaris tuberculata,holopneustes purpurascens,holothuria (halodeima) atra,holothuria (metriatyla) scabra,holothuria (panningothuria) forskali,leptopentacta elongata,leptosynapta clarki,loxechinus albus,meridiastra atyphoida,meridiastra calcar,meridiastra gunnii,meridiastra mortenseni,meridiastra occidens,meridiastra oriens,mesocentrotus franciscanus,molpadia intermedia,odontaster validus,ophiocoma aethiops,ophiocoma echinata,ophiocoma erinaceus,ophiocoma scolopendrina,ophiocomella alexandri,ophiocomella ophiactoides,ophiocomella pumila,ophiomastix annulosa,ophiomastix caryophyllata,ophiomastix elegans,ophiomastix endeani,ophiomastix janualis,ophiomastix macroplaca,ophiomastix marshallensis,ophiomastix mixta,ophiomastix occidentalis,ophiomastix pictum,ophiomastix venosa,ophiomastix wendtii,ophiopholis aculeata,ophiura sarsii,parvulastra exigua,parvulastra parvivipara,parvulastra vivipara,patiria chilensis,patiria miniata,patiria pectinifera,patiriella regularis,pentamera populifera,pisaster ochraceus,psammechinus miliaris,pseudocnus lubricus,psolidium bullatum,psolus chitonoides,pycnopodia helianthoides,strongylocentrotus droebachiensis,strongylocentrotus fragilis,strongylocentrotus pallidus,strongylocentrotus purpuratus,tripneustes gratilla,tripneustes kermadecensis
physiological tolerance breadths,sensitivity to wave energy (physical forcing),sensitive,sensitive,sensitive,sensitive,sensitive,sensitive,sensitive,sensitive,sensitive,sensitive,senstive,sensitive,sensitive,sensitive,sensitive,sensitive,sensitive,sensitive,sensitive,sensitive,sensitive,sensitive,senstive,not sensitive,sensitive,sensitive,sensitive,sensitive,sensitive,sensitive,sensitive,senstive,senstive,senstive,senstive,senstive,sensitive,senstive,sensitive,sensitive,not sensitive,not sensitive,not sensitive,senstive,sensitive,sensitive,sensitive,sensitive,sensitive,senstive,sensitive,sensitive,sensitive,sensitive,sensitive,sensitive,senstive,sensitive,sensitive,sensitive,sensitive,sensitive,sensitive,sensitive,sensitive,sensitive,sensitive,sensitive,sensitive,sensitive,sensitive,sensitive,sensitive,sensitive,sensitive,sensitive,sensitive,sensitive,sensitive,sensitive,sensitive,sensitive,sensitive,sensitive,sensitive,sensitive,sensitive,sensitive,sensitive,senstive,sensitive,sensitive,sensitive,sensitive,senstive,senstive,senstive,senstive,not sensitive,not sensitive
physiological tolerance breadths,thermal - sensitivity to heat spikes/heat waves,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
physiological tolerance breadths,thermal - sensitivity to ocean warming - max temps tolerated,NA,30c,NA,NA,20c,25c,20c,15c,25c,NA,30c,NA,NA,NA,NA,25c,NA,NA,NA,NA,NA,NA,NA,25c,NA,NA,NA,20c,15c,15c,15c,NA,30c,30c,30c,30c,15c,15c,20c,NA,25c,25c,25c,25c,30c,30c,25c,25c,15c,15c,NA,NA,NA,NA,NA,NA,15c,15c,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15c,NA,10c,15c,15c,15c,NA,15c,15c,15c,20c,25c,25c
r (reproductive traits),age to 1st reproduction/generation time,1-5yrs,1-5yrs,unknown,unknown,1-5yrs,NA,NA,1-5yrs,1-5yrs,unknown,1-5yrs,unknown,unknown,unknown,unknown,1-5yrs,unknown,unknown,unknown,unknown,unknown,unknown,unknown,1-5yrs,unknown,unknown,unknown,1-5yrs,1-5yrs,1-5yrs,1-5yrs,1-5yrs,unknown,unknown,unknown,1-5yrs,1-5yrs,1-5yrs,NA,unknown,unknown,1-5yrs,unknown,unknown,1-5yrs,1-5yrs,1-5yrs,1-5yrs,1-5yrs,1-5yrs,unknown,unknown,unknown,unknown,unknown,unknown,unknown,1-5yrs,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,1-5yrs,unknown,1-5yrs,1-5yrs,1-5yrs,1-5yrs,unknown,unknown,unknown,unknown,1-5yrs,unknown,unknown
r (reproductive traits),are there sub-populations?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,na,na,na,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
r (reproductive traits),can the sex ratio be altered by temperature?,na,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,na,unknown,na,unknown,na,na,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,na,na,na,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,na,na,na,na,na,na,unknown,unknown,na,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,na,na,na,na,na,na,na,unknown,na,unknown,unknown,unknown,unknown,na,unknown,unknown,unknown,unknown,yes,unknown
r (reproductive traits),fecundity,>10000,NA,>10000,1000-10000,1000-10000,1000-10000,1000-10000,>10000,NA,1000-10000,>10000,1000-10000,100-1000,100-1000,1000-10000,NA,>10000,>10000,>10000,>10000,>10000,>10000,>10000,>10000,100-1000,100-1000,100-1000,1000-10000,>10000,>10000,100-1000,>10000,>10000,>10000,>10000,>10000,>10000,>10000,1000-10000,100-1000,>10000,>10000,>10000,>10000,>10000,>10000,NA,NA,NA,>10000,1000-10000,1000-10000,1000-10000,1000-10000,1000-10000,1000-10000,>10000,>10000,1000-10000,>10000,>10000,>10000,>10000,>10000,>10000,>10000,>10000,>10000,>10000,>10000,>10000,>10000,>10000,>10000,>10000,>10000,>10000,>10000,>10000,>10000,100-1000,100-1000,100-1000,1000-10000,1000-10000,1000-10000,1000-10000,>10000,1000-10000,>10000,1000-10000,1000-10000,>10000,1000-10000,>10000,>10000,>10000,>10000,>10000,>10000
r (reproductive traits),feeding larva (post-hatching metamorphosis),feeding non-calcifier,feeding calcifier,feeding calcifier,no larva,non-feeding non-calcifier,non-feeding non-calcifier,non-feeding non-calcifier,non-feeding non-calcifier,feeding non-calcifier,non-feeding non-calcifier,feeding calcifier,feeding non-calcifier,non-feeding non-calcifier,non-feeding non-calcifier,non-feeding non-calcifier,feeding non-calcifier,feeding calcifier,feeding calcifier,feeding calcifier,feeding calcifier,feeding calcifier,feeding calcifier,non-feeding non-calcifier,feeding calcifier,no larva,no larva,non-feeding non-calcifier,non-feeding non-calcifier,non-feeding non-calcifier,non-feeding non-calcifier,non-feeding non-calcifier,feeding calcifier,feeding calcifier,feeding calcifier,feeding calcifier,na,non-feeding non-calcifier,feeding calcifier,non-feeding non-calcifier,non-feeding non-calcifier,feeding calcifier,non-feeding non-calcifier,feeding calcifier,non-feeding non-calcifier,feeding non-calcifier,feeding calcifier,feeding non-calcifier,non-feeding non-calcifier,na,feeding calcifier,non-feeding non-calcifier,non-feeding non-calcifier,non-feeding non-calcifier,non-feeding non-calcifier,non-feeding non-calcifier,non-feeding non-calcifier,feeding calcifier,NA,feeding non-calcifier,feeding calcifier,feeding calcifier,feeding calcifier,feeding calcifier,feeding calcifier,feeding calcifier,non-feeding non-calcifier,non-feeding non-calcifier,non-feeding non-calcifier,non-feeding non-calcifier,non-feeding non-calcifier,non-feeding non-calcifier,non-feeding non-calcifier,non-feeding non-calcifier,non-feeding non-calcifier,non-feeding non-calcifier,non-feeding non-calcifier,non-feeding non-calcifier,feeding calcifier,feeding calcifier,feeding calcifier,non-feeding non-calcifier,no larva,no larva,non-feeding non-calcifier,non-feeding non-calcifier,non-feeding non-calcifier,feeding non-calcifier,non-feeding non-calcifier,feeding non-calcifier,feeding calcifier,non-feeding non-calcifier,non-feeding non-calcifier,non-feeding non-calcifier,feeding non-calcifier,feeding calcifier,feeding calcifier,feeding calcifier,feeding calcifier,feeding calcifier,feeding calcifier
r (reproductive traits),global population size,>1m,>1m,100k-1m;>1m,100k-1m;>1m,>1m,>1m,<1000,>1m,>1m,100k-1m,>1m,>1m,10k-100k,10k-100k,10k-100k,>1m,100k-1m;>1m,100k-1m;>1m,100k-1m;>1m,100k-1m;>1m,100k-1m;>1m,100k-1m;>1m,>1m,>1m,1k-10k,10k-100k,>1m,>1m,>1m,>1m,>1m,>1m,>1m,>1m,>1m,>1m,>1m,>1m,>1m,100k-1m;>1m,>1m,>1m,>1m,>1m,>1m,>1m,>1m,>1m,>1m,>1m,NA,100k-1m,100k-1m,10k-100k,100k-1m,100k-1m,>1m,>1m,>1m,100k-1m;>1m,100k-1m;>1m,100k-1m;>1m,100k-1m;>1m,100k-1m;>1m,100k-1m;>1m,100k-1m;>1m,100k-1m;>1m,100k-1m;>1m,100k-1m;>1m,100k-1m;>1m,100k-1m;>1m,100k-1m;>1m,100k-1m;>1m,100k-1m;>1m,100k-1m;>1m,100k-1m;>1m,100k-1m;>1m,100k-1m;>1m,100k-1m;>1m,100k-1m;>1m,>1m,10k-100k,1k-10k,100k-1m,100k-1m,100k-1m,>1m,>1m,>1m,>1m,>1m,>1m,>1m,>1m,>1m,>1m,>1m,>1m,>1m,>1m
r (reproductive traits),lifetime # reproductive opportunities,unknown,unknown,2-10,2-10,51-100,51-100,51-100,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,2-10,2-10,2-10,2-10,2-10,2-10,unknown,NA,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,51-100,11-25,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,2-10,2-10,2-10,2-10,2-10,2-10,2-10,2-10,2-10,2-10,2-10,2-10,2-10,2-10,2-10,2-10,2-10,2-10,2-10,2-10,2-10,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
r (reproductive traits),max age,unknown,unknown,unknown,unknown,NA,NA,NA,unknown,unknown,unknown,unknown,5-10yrs,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,NA,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,NA,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,>100yrs,unknown,NA,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,5-10yrs,unknown,unknown,unknown,unknown,5-10yrs,unknown,unknown,unknown,unknown,unknown,unknown
r (reproductive traits),parental investment,spawner,spawner,spawner,live birth/egg care,spawner,spawner,live birth/egg care,spawner,spawner,spawner,spawner,spawner,egg-layer unattended,live birth/egg care,spawner,spawner,spawner,spawner,spawner,spawner,spawner,spawner,spawner,spawner,live birth/egg care,live birth/egg care,spawner,spawner,spawner,spawner,live birth/egg care,spawner,spawner,spawner,spawner,spawner,spawner,spawner,spawner,spawner,spawner,spawner,spawner,spawner,spawner,spawner,spawner,spawner,live birth/egg care,spawner,NA,spawner,spawner,spawner,spawner,spawner,spawner,spawner,spawner,spawner,spawner,spawner,spawner,spawner,spawner,spawner,spawner,spawner,spawner,spawner,spawner,spawner,spawner,spawner,spawner,spawner,spawner,spawner,spawner,spawner,egg-layer unattended,live birth/egg care,live birth/egg care,spawner,spawner,spawner,spawner,spawner,spawner,spawner,live birth/egg care,spawner,spawner,spawner,spawner,spawner,spawner,spawner,spawner,spawner
r (reproductive traits),post-birth/hatching maternal dependence,no,na,na,yes-live birth,na,na,na,na,na,no,na,no,na,na,na,na,na,na,na,na,na,na,na,na,no,no,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,no,no,no,na,na,na,no,na,no,na,na,na,na,no,na,na,na,na,na,na
r (reproductive traits),reproductive strategy,sexual dioecious,sexual dioecious,sexual dioecious,sexual hermaphrodite,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious;asexual,sexual dioecious,sexual dioecious,sexual hermaphrodite,sexual hermaphrodite,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual hermaphrodite,sexual hermaphrodite,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious;asexual,sexual dioecious,sexual dioecious,sexual dioecious,sexual hermaphrodite,sexual dioecious,na,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual hermaphrodite,sexual hermaphrodite,sexual hermaphrodite,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious
spatial scale of species,depth (min/max),epipelagic,epipelagic,epipelagic,epipelagic,epipelagic,epipelagic,epipelagic,epipelagic,epipelagic,epipelagic,epipelagic,epipelagic,epipelagic,epipelagic,epipelagic,epipelagic,epipelagic,epipelagic,epipelagic,epipelagic,epipelagic,epipelagic,epipelagic,epipelagic,epipelagic,epipelagic,epipelagic,epipelagic;mesopelagic,epipelagic,epipelagic,epipelagic,epipelagic,epipelagic,epipelagic,epipelagic,epipelagic,epipelagic,epipelagic,epipelagic;mesopelagic,epipelagic;mesopelagic,epipelagic,epipelagic,epipelagic,epipelagic,epipelagic,epipelagic,epipelagic,epipelagic,epipelagic,epipelagic,epipelagic,epipelagic,epipelagic,epipelagic,epipelagic,epipelagic,epipelagic,epipelagic;abyssopelagic,epipelagic,epipelagic,epipelagic,epipelagic,epipelagic,epipelagic,epipelagic,epipelagic,epipelagic,epipelagic,epipelagic,epipelagic,epipelagic,epipelagic,epipelagic,epipelagic,epipelagic,epipelagic,epipelagic,epipelagic,epipelagic,epipelagic;mesopelagic,epipelagic,epipelagic,epipelagic,epipelagic,epipelagic,epipelagic,epipelagic,epipelagic,epipelagic,epipelagic,epipelagic,epipelagic,epipelagic,epipelagic,epipelagic,epipelagic,epipelagic,epipelagic,epipelagic,epipelagic
spatial scale of species,eoo (range),>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,5000-19999,5000-19999,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,NA,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,<99,<99,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000
spatial scale of species,zone,benthic,benthic,benthic,benthic,benthic,benthic,benthic,benthic,benthic,benthic,benthic,benthic,benthic,benthic,benthic,benthic,benthic,benthic,benthic,benthic,benthic,benthic,benthic,benthic,benthic,benthic,benthic,benthic,benthic,benthic,benthic,benthic,benthic,benthic,benthic,benthic,benthic,benthic,benthic,benthic,benthic;intertidal,benthic;intertidal,benthic;intertidal,benthic,benthic,benthic,intertidal;benthic,benthic,benthic,benthic,benthic,benthic,benthic,benthic,benthic,benthic,benthic,benthic,benthic,benthic,benthic,benthic,benthic,benthic,benthic,benthic,benthic,benthic,benthic,benthic,benthic,benthic,benthic,benthic,benthic,benthic,benthic,benthic,benthic,intertidal;benthic,benthic,benthic,benthic,benthic;intertidal,benthic;intertidal,benthic,benthic,benthic,benthic,benthic,benthic,benthic,benthic,benthic,benthic,benthic,benthic,benthic,benthic,benthic
specialisation,across-stage dependent habitats + condition,surface water,surface water,surface water,surface water,surface water,surface water,surface water,surface water,surface water,surface water,surface water,surface water,rocky reef,rocky reef,surface water,surface water,surface water,surface water,surface water,surface water,surface water,surface water,surface water,surface water,rocky intertidal,rocky intertidal,rocky intertidal,surface water,surface water,surface water,surface water,surface water,surface water,surface water,surface water,surface water,surface water,surface water,surface water,surface water,surface water,surface water,surface water,surface water,surface water,surface water,surface water,surface water,surface water,surface water,surface water,surface water,surface water,surface water,surface water,surface water,surface water,surface water,surface water,surface water,surface water,surface water,surface water,surface water,surface water,surface water,surface water,surface water,surface water,surface water,surface water,surface water,surface water,surface water,surface water,surface water,surface water,surface water,surface water,surface water,rocky intertidal,rocky intertidal,rocky intertidal,surface water,surface water,surface water,surface water,surface water,surface water,surface water,surface water,surface water,surface water,surface water,surface water,surface water,surface water,surface water,surface water,surface water
specialisation,air-sea interface,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
specialisation,dependent interspecific interactions,no,no,no,no,no,no,yes-sargassum cystophora,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
specialisation,extreme diet specialization,specialist,specialist,specialist,specialist,specialist,specialist,specialist,specialist,specialist,generalist,generalist,specialist,specialist,specialist,generalist,specialist,specialist,specialist,specialist,specialist,specialist,specialist,specialist,generalist,generalist,generalist,generalist,specialist,specialist,specialist,specialist,specialist,generalist,generalist,generalist,generalist,specialist,generalist,specialist,specialist,generalist,generalist,generalist,specialist,specialist,specialist,specialist,specialist,specialist,generalist,na,generalist,generalist,generalist,generalist,generalist,generalist,specialist,generalist,specialist,specialist,specialist,specialist,specialist,specialist,specialist,specialist,specialist,specialist,specialist,specialist,specialist,specialist,specialist,specialist,specialist,specialist,specialist,specialist,specialist,specialist,specialist,specialist,generalist,generalist,generalist,generalist,specialist,specialist,generalist,specialist,specialist,specialist,specialist,generalist,generalist,generalist,generalist,specialist,specialist
specialisation,habitat forming,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
specialisation,photosynthetic,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
specialisation,terrestrial and marine life stages,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
specialisation,within-stage dependent habitats + condition,coral reef,subtidal soft bottom,subtidal soft bottom,rocky intertidal,rocky reef,rocky reef,rocky reef,subtidal soft bottom;rocky reef,subtidal soft bottom,rocky intertidal;rocky reef,beach,rocky reef;rocky intertidal,rocky reef,rocky reef,rocky reef,subtidal soft bottom;rocky reef,coral reef,coral reef,coral reef,coral reef,coral reef,coral reef,subtidal soft bottom,rocky reef,rocky intertidal,rocky intertidal,rocky intertidal,subtidal soft bottom;rocky reef,subtidal soft bottom;rocky reef,subtidal soft bottom;rocky reef,subtidal soft bottom;rocky reef,subtidal soft bottom,coral reef,rocky reef;coral reef,coral reef,beach;subtidal soft bottom,subtidal soft bottom;rocky reef,rocky reef,rocky reef,rocky reef,rocky intertidal;rocky reef,rocky intertidal;rocky reef,rocky intertidal;rocky reef,rocky reef,subtidal soft bottom,subtidal soft bottom,rocky reef;subtidal soft bottom,subtidal soft bottom,intertidal mud,rocky reef,rocky reef,rocky intertidal,rocky reef,rocky reef,rocky intertidal,rocky intertidal,rocky reef,deep soft bottom;subtidal soft bottom,rocky reef;rocky intertidal,coral reef,coral reef,coral reef,rocky intertidal,coral reef,coral reef,coral reef,coral reef,coral reef,coral reef,coral reef,coral reef,coral reef,coral reef,coral reef,coral reef,coral reef,coral reef,coral reef,rocky reef,subtidal soft bottom,rocky intertidal,rocky intertidal,rocky intertidal,rocky reef,rocky reef,rocky reef,rocky intertidal;rocky reef,subtidal soft bottom,rocky reef;rocky intertidal,rocky reef,subtidal soft bottom;rocky reef,subtidal soft bottom;rocky reef,subtidal soft bottom,rocky reef;rocky intertidal,rocky reef,subtidal soft bottom;deep soft bottom,rocky reef,rocky reef,rocky reef,rocky reef
