category,trait,sheet,trait_val_orig,acromycter perturbator,apterichtus kendalli,ariosoma selenops,asarcenchelys longimanus,bathycongrus retrotinctus,bathycongrus vicinalis,bathyuroconger vicinus,brachysomophis longipinnis,callechelys bitaeniata,chlopsis kazuko,cirripectes alleni,cirripectes filamentosus,coloconger japonicus,conger verreauxi,crossosalarias macrospilus,derichthys serpentinus,ecsenius trilineatus,enchelycore schismatorhynchus,entomacrodus macrospilus,entomacrodus stellifer,eptatretus cirrhatus,eptatretus mendozai,ethadophis akkistikos,ethadophis merenda,facciolella karreri,gorgasia maculata,heteroconger klausewitzi,heteroconger taylori,hoplunnis schmidti,hypleurochilus bananensis,hypsoblennius striatus,kaupichthys brachychirus,monopenchelys acuta,moringua edwardsi,nessorhamphus danae,omobranchus anolius,omobranchus fasciolatus,omobranchus rotundiceps,ophichthus altipennis,ophichthus melanoporus,parablennius parvicornis,parablennius yatabei,parablennius zvonimiri,parenchelyurus hepburni,praealticus dayi,rhinomuraena quaesita,salarias ceramensis,salarias sinuosus,saurenchelys fierasfer,saurenchelys meteori,serrivomer lanceolatoides,simenchelys parasitica,skythrenchelys zabra,synaphobranchus affinis,synaphobranchus kaupii,synaphobranchus oregoni,thalassenchelys foliaceus (aka congriscus maldivensis),uropterygius fuscoguttatus,uropterygius wheeleri,venefica tentaculata,xenomystax trucidans,xestochilus nebulosus
spatial scale of species,depth (min/max),fish_Beth,Abyssopelagic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,abyssopelagic,NA,NA,NA,NA,NA,NA,NA
spatial scale of species,depth (min/max),fish_Beth,Bathypelagic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,bathypelagic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,bathypelagic,bathypelagic,NA,bathypelagic,NA,bathypelagic,NA,NA,NA,NA,bathypelagic,NA
spatial scale of species,depth (min/max),fish_Beth,epipelagic,NA,NA,NA,NA,NA,NA,NA,epipelagic,epipelagic,epipelagic,epipelagic,epipelagic,NA,NA,epipelagic,NA,epipelagic,epipelagic,epipelagic,epipelagic,NA,NA,epipelagic,epipelagic,NA,epipelagic,epipelagic,epipelagic,epipelagic,epipelagic,epipelagic,epipelagic,epipelagic,epipelagic,NA,epipelagic,epipelagic,epipelagic,epipelagic,NA,epipelagic,epipelagic,epipelagic,epipelagic,epipelagic,epipelagic,epipelagic,epipelagic,epipelagic,NA,NA,NA,epipelagic,NA,NA,NA,NA,epipelagic,epipelagic,NA,NA,epipelagic
spatial scale of species,depth (min/max),fish_Beth,epipelagic; mesopelagic,NA,epipelagic;mesopelagic,NA,epipelagic;mesopelagic,NA,NA,NA,NA,NA,NA,NA,NA,NA,epipelagic;mesopelagic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
spatial scale of species,depth (min/max),fish_Beth,epipelagic; mesopelagic; bathypelagic,NA,NA,NA,NA,NA,NA,epipelagic;mesopelagic;bathypelagic,NA,NA,NA,NA,NA,NA,NA,NA,epipelagic;mesopelagic;bathypelagic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
spatial scale of species,depth (min/max),fish_Beth,mesopelagic,NA,NA,NA,NA,mesopelagic,mesopelagic,NA,NA,NA,NA,NA,NA,mesopelagic,NA,NA,NA,NA,NA,NA,NA,mesopelagic,mesopelagic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mesopelagic,NA,NA,NA,NA,NA,NA,NA,NA,NA,mesopelagic,NA,NA,NA,NA,NA,NA,mesopelagic,NA,NA,mesopelagic,NA,NA
spatial scale of species,depth (min/max),fish_Beth,mesopelagic; bathypelagic,mesopelagic;bathypelagic,NA,mesopelagic;bathypelagic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mesopelagic;bathypelagic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
spatial scale of species,eoo (range),fish_Beth,">20,000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,>20000,>20000,NA,NA,>20000,NA,>20000,NA,>20000,>20000,>20000,>20000,NA,NA,NA,NA,NA,NA,NA,>20000,>20000,NA,NA,NA,NA,>20000,>20000,>20000,NA,NA,>20000,>20000,>20000,>20000,>20000,NA,>20000,>20000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
spatial scale of species,eoo (range),fish_Beth,">20,000 km^2",>20000km2,>20000km2,>20000km2,>20000km2,>20000km2,>20000km2,>20000km2,>20000km2,>20000km2,>20000km2,NA,NA,>20000km2,>20000km2,NA,>20000km2,NA,>20000km2,NA,NA,NA,NA,>20000km2,>20000km2,>20000km2,>20000km2,>20000km2,>20000km2,>20000km2,NA,NA,>20000km2,>20000km2,>20000km2,>20000km2,NA,NA,NA,>20000km2,>20000km2,NA,NA,NA,NA,NA,>20000km2,NA,NA,>20000km2,>20000km2,>20000km2,>20000km2,>20000km2,>20000km2,>20000km2,>20000km2,>20000km2,>20000km2,>20000km2,>20000km2,>20000km2,>20000km2
specialisation,across-stage dependent habitats,fish_Beth,Deep soft benthic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,deep soft benthic,NA,NA,NA,NA,NA,NA,NA
specialisation,across-stage dependent habitats,fish_Beth,"Deep water, Soft slope",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,deep water;soft slope,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,deep water;soft slope,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,deep water;soft slope,NA,NA,NA,NA,NA
specialisation,across-stage dependent habitats,fish_Beth,"Hard shelf, hard slope, rocky reef",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hard shelf;hard slope;rocky reef,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
specialisation,across-stage dependent habitats,fish_Beth,"Hard shelf, soft shelf, hard slope, soft slope",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hard shelf;soft shelf;hard slope;soft slope,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
specialisation,across-stage dependent habitats,fish_Beth,Hard slope,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hard slope,NA,NA,NA,NA,NA,NA,NA,NA
specialisation,across-stage dependent habitats,fish_Beth,Intertidal mud,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,intertidal mud,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
specialisation,across-stage dependent habitats,fish_Beth,"Kelp forest, subtidal hard bottom",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,kelp forest;subtidal hard bottom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
specialisation,across-stage dependent habitats,fish_Beth,"Rocky intertidal,  rocky reef",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,rocky intertidal;rocky reef,rocky intertidal;rocky reef,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
specialisation,across-stage dependent habitats,fish_Beth,"Rocky intertidal,  rocky reef, coral reef",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,rocky intertidal;rocky reef;coral reef,NA,NA,NA,NA,NA,NA,rocky intertidal;rocky reef;coral reef,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
specialisation,across-stage dependent habitats,fish_Beth,"Rocky intertidal, rocky reef",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,rocky intertidal;rocky reef,rocky intertidal;rocky reef,NA,NA,rocky intertidal;rocky reef,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
specialisation,across-stage dependent habitats,fish_Beth,"Rocky intertidal, Subtidal hard bottom",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,rocky intertidal;subtidal hard bottom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
specialisation,across-stage dependent habitats,fish_Beth,"Rocky intertidal, subtidal hard bottom, rocky reef",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,rocky intertidal;subtidal hard bottom;rocky reef,NA,NA,NA,NA,NA,NA,NA,rocky intertidal;subtidal hard bottom;rocky reef,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,rocky intertidal;subtidal hard bottom;rocky reef,NA,NA,NA,NA,rocky intertidal;subtidal hard bottom;rocky reef,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
specialisation,across-stage dependent habitats,fish_Beth,"Rocky intertidal, subtidal hard bottom, rocky reef, coral reef",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,rocky intertidal;subtidal hard bottom;rocky reef;coral reef,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
specialisation,across-stage dependent habitats,fish_Beth,Soft Shelf,NA,NA,NA,NA,NA,NA,NA,NA,NA,soft shelf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
specialisation,across-stage dependent habitats,fish_Beth,"Soft shelf, soft slope",NA,NA,soft shelf;soft slope,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
specialisation,across-stage dependent habitats,fish_Beth,Soft slope,soft slope,NA,NA,NA,soft slope,soft slope,soft slope,NA,NA,NA,NA,NA,soft slope,NA,NA,NA,NA,NA,NA,NA,NA,soft slope,NA,NA,soft slope,NA,NA,NA,soft slope,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,soft slope,NA,NA,NA,NA,NA,NA,NA,NA,soft slope,soft slope,soft slope,NA,NA,NA,NA,NA,NA,NA,NA,soft slope,soft slope,NA
specialisation,across-stage dependent habitats,fish_Beth,"Soft slope, hard slope",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,soft slope;hard slope,NA,NA,NA,NA,NA,NA
specialisation,across-stage dependent habitats,fish_Beth,"Soft slope, Hard Slope",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,soft slope;hard slope,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
specialisation,across-stage dependent habitats,fish_Beth,"Subtidal hard bottom, rocky reef",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,subtidal hard bottom;rocky reef,NA,NA,NA,subtidal hard bottom;rocky reef,NA,subtidal hard bottom;rocky reef,subtidal hard bottom;rocky reef,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
specialisation,across-stage dependent habitats,fish_Beth,"Subtidal hard bottom, rocky reef, coral reef",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,subtidal hard bottom;rocky reef;coral reef,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
specialisation,across-stage dependent habitats,fish_Beth,Subtidal soft bottom,NA,NA,NA,NA,NA,NA,NA,subtidal soft bottom,subtidal soft bottom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,subtidal soft bottom,NA,NA,subtidal soft bottom,subtidal soft bottom,subtidal soft bottom,NA,NA,NA,NA,NA,subtidal soft bottom,NA,NA,NA,NA,subtidal soft bottom,NA,NA,NA,NA,NA,NA,subtidal soft bottom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,subtidal soft bottom,NA,NA,NA,subtidal soft bottom
specialisation,across-stage dependent habitats,fish_Beth,"Subtidal soft bottom, coral reef, rocky reef",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,subtidal soft bottom;coral reef;rocky reef,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
specialisation,across-stage dependent habitats,fish_Beth,"Subtidal soft bottom, soft shelf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,subtidal soft bottom;soft shelf,NA,NA,NA,NA,NA,NA,NA,NA,NA
specialisation,across-stage dependent habitats,fish_Beth,"Subtidal soft bottom, soft shelf, soft slope",NA,subtidal soft bottom;soft shelf;soft slope,NA,subtidal soft bottom;soft shelf;soft slope,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
specialisation,across-stage dependent habitats,fish_Beth,"Subtidal soft bottom, Subtidal hard bottom, rocky reef",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,subtidal soft bottom;subtidal hard bottom;rocky reef,NA,NA,NA
specialisation,across-stage dependent habitats,fish_Beth,unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
specialisation,dependent interspecific interactions,fish_Beth,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
specialisation,extreme diet specialization,fish_Beth,Algae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,algae,NA,NA,NA,NA,NA,algae,algae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
specialisation,extreme diet specialization,fish_Beth,Algae and detritus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,algae and detritus,algae and detritus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
specialisation,extreme diet specialization,fish_Beth,generalist,generalist,generalist,generalist,generalist,generalist,generalist,generalist,generalist,generalist,generalist,NA,NA,generalist,generalist,NA,generalist,NA,generalist,NA,NA,NA,NA,generalist,generalist,generalist,generalist,generalist,generalist,generalist,NA,NA,generalist,generalist,generalist,generalist,NA,NA,NA,generalist,generalist,NA,NA,NA,NA,NA,generalist,NA,NA,generalist,generalist,generalist,generalist,generalist,generalist,generalist,generalist,generalist,generalist,generalist,generalist,generalist,generalist
specialisation,extreme diet specialization,fish_Beth,Generalist,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,generalist,generalist,NA,NA,generalist,NA,generalist,NA,generalist,generalist,NA,NA,NA,NA,NA,NA,NA,NA,NA,generalist,generalist,NA,NA,NA,NA,generalist,generalist,generalist,NA,NA,NA,NA,NA,generalist,generalist,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
specialisation,extreme diet specialization,fish_Beth,Generalist (MYXINIFORMES),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,generalist (myxiniformes),generalist (myxiniformes),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
specialisation,light dependence,fish_Beth,no,no,no,no,no,no,no,no,no,no,no,NA,NA,no,no,NA,no,NA,no,NA,NA,no,no,no,no,no,no,no,no,no,NA,NA,no,no,no,no,NA,NA,NA,no,no,NA,NA,NA,NA,NA,no,NA,NA,no,no,no,no,no,no,no,no,no,no,no,no,no,no
specialisation,no for all fishes?,fish_Beth,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
specialisation,within-stage dependent habitats,fish_Beth,Deep soft benthic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,deep soft benthic,NA,NA,NA,NA,NA,NA,NA
specialisation,within-stage dependent habitats,fish_Beth,"Deep water, Soft slope",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,deep water;soft slope,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,deep water;soft slope,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,deep water;soft slope,NA,NA,NA,NA,NA
specialisation,within-stage dependent habitats,fish_Beth,"Hard shelf, hard slope, rocky reef",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hard shelf;hard slope;rocky reef,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
specialisation,within-stage dependent habitats,fish_Beth,"Hard shelf, soft shelf, hard slope, soft slope",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hard shelf;soft shelf;hard slope;soft slope,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
specialisation,within-stage dependent habitats,fish_Beth,Hard slope,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hard slope,NA,NA,NA,NA,NA,NA,NA,NA
specialisation,within-stage dependent habitats,fish_Beth,Intertidal mud,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,intertidal mud,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
specialisation,within-stage dependent habitats,fish_Beth,"Kelp forest, subtidal hard bottom",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,kelp forest;subtidal hard bottom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
specialisation,within-stage dependent habitats,fish_Beth,"Rocky intertidal,  rocky reef",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,rocky intertidal;rocky reef,rocky intertidal;rocky reef,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
specialisation,within-stage dependent habitats,fish_Beth,"Rocky intertidal,  rocky reef, coral reef",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,rocky intertidal;rocky reef;coral reef,NA,NA,NA,NA,NA,NA,rocky intertidal;rocky reef;coral reef,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
specialisation,within-stage dependent habitats,fish_Beth,"Rocky intertidal, rocky reef",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,rocky intertidal;rocky reef,rocky intertidal;rocky reef,NA,NA,rocky intertidal;rocky reef,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
specialisation,within-stage dependent habitats,fish_Beth,"Rocky intertidal, Subtidal hard bottom",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,rocky intertidal;subtidal hard bottom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
