category,trait,sheet,trait_val_orig,acesta excavata,adamussium colbecki,aeolidia papillosa,anadara trapezia,aplysia californica,aplysia vaccaria,arcidae,argopecten irradians,austrocochlea porcata,bankia setacea,cadlina luteomarginata,calliostoma ligatum,cellana tramoserica,cerastoderma edule,crassostrea/magallana gigas,crassotrea virginica,haliotis coccoradiata,haliotis kamschatkana,haliotis rubra,magallana hongkongensis,mercenaria mercenaria,mimachlamys asperrima,mytilus californiensis,mytilus edulis,mytilus galloprovincialis,mytilus trossolus,ostrea angasi,ostrea edulis,ostrea lurida,panopea generosa,pecten fumatus,pecten maximus,pinctada fucata,pinctada maxima,pinna bicolor,plebidonax deltoides,saccostrea glomerata,siliqua patula,subninella undulata,tectura scutum,tegula funebralis,tenguella marginalba,tridacna gigas,tridacna maxima,trochus niloticus,trychomya hirsuta,turbo militaris
biophysical traits,flight,molluscs,No,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
biophysical traits,"navigation requirements (sound or light, or magnetic)",molluscs,No,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
biophysical traits,respiration structures,molluscs,Gills,NA,NA,gills,NA,gills,gills,NA,NA,gills,NA,gills,gills,gills,NA,NA,NA,gills,gills,gills,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,gills,gills,gills,gills,NA,NA,gills,NA,gills
biophysical traits,respiration structures,molluscs,Gills/filterfeeder,gills;filterfeeder,gills;filterfeeder,NA,gills;filterfeeder,NA,NA,gills;filterfeeder,gills;filterfeeder,NA,gills;filterfeeder,NA,NA,NA,gills;filterfeeder,gills;filterfeeder,gills;filterfeeder,NA,NA,NA,gills;filterfeeder,gills;filterfeeder,gills;filterfeeder,gills;filterfeeder,gills;filterfeeder,gills;filterfeeder,gills;filterfeeder,gills;filterfeeder,gills;filterfeeder,gills;filterfeeder,gills;filterfeeder,gills;filterfeeder,gills;filterfeeder,gills;filterfeeder,gills;filterfeeder,gills;filterfeeder,gills;filterfeeder,gills;filterfeeder,gills;filterfeeder,NA,NA,NA,NA,gills;filterfeeder,gills;filterfeeder,NA,gills;filterfeeder,NA
breeding/nesting range/number of spawning aggregations (fish),"if one/few, size",molluscs,"NA",na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
breeding/nesting range/number of spawning aggregations (fish),number of sites,molluscs,"NA",na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
breeding/nesting range/number of spawning aggregations (fish),sub-population dependence on particular sites,molluscs,"NA",na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
foraging range,"if one/few, size",molluscs,"NA",na,na,NA,na,NA,NA,na,na,NA,na,NA,NA,NA,na,na,na,NA,NA,NA,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,NA,NA,NA,NA,na,na,NA,na,NA
foraging range,"if one/few, size",molluscs,Small,NA,NA,small,NA,small,small,NA,NA,small,NA,small,small,small,NA,NA,NA,small,small,small,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,small,small,small,small,NA,NA,small,NA,small
foraging range,"number of sites, incl. terrestrial wetlands",molluscs,"NA",na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
foraging range,sub-population dependence on particular sites,molluscs,"NA",na,na,NA,na,NA,NA,na,na,NA,na,NA,NA,NA,na,na,na,NA,NA,NA,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,NA,NA,NA,NA,na,na,NA,na,NA
foraging range,sub-population dependence on particular sites,molluscs,Yes,NA,NA,yes,NA,yes,yes,NA,NA,yes,NA,yes,yes,yes,NA,NA,NA,yes,yes,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes,yes,yes,NA,NA,yes,NA,yes
movement,adult mobility,molluscs,mobile resident,NA,NA,mobile resident,NA,mobile resident,mobile resident,NA,NA,NA,NA,mobile resident,mobile resident,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mobile resident,mobile resident,NA,NA,NA,mobile resident,NA,NA
movement,adult mobility,molluscs,nearly sessile,NA,NA,NA,NA,NA,NA,NA,NA,sessile,NA,NA,NA,sessile,NA,NA,NA,sessile,sessile,sessile,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sessile,NA,NA,sessile,NA,NA,NA,NA,sessile
movement,adult mobility,molluscs,sessile,sessile,sessile,NA,sessile,NA,NA,sessile,sessile,NA,sessile,NA,NA,NA,sessile,sessile,sessile,NA,NA,NA,sessile,sessile,sessile,sessile,sessile,sessile,sessile,sessile,sessile,sessile,sessile,sessile,sessile,sessile,sessile,sessile,sessile,sessile,sessile,NA,NA,NA,NA,sessile,sessile,NA,sessile,NA
movement,planktonic larval duration (pld),molluscs,<1 day,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,<1day,NA,NA,NA,NA,NA,NA,NA
movement,planktonic larval duration (pld),molluscs,<1 month,<1month,<1month,NA,<1month,NA,<1month,<1month,<1month,<1month,<1month,NA,<1month,<1month,<1month,<1month,<1month,NA,<1month,<1month,<1month,<1month,<1month,<1month,<1month,<1month,<1month,<1month,<1month,<1month,<1month,<1month,<1month,<1month,<1month,<1month,<1month,<1month,<1month,<1month,NA,NA,<1month,<1month,<1month,NA,<1month,<1month
movement,planktonic larval duration (pld),molluscs,<1 week,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,<1week,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,<1week,NA,NA,NA,<1week,NA,NA
movement,planktonic larval duration (pld),molluscs,<4 months,NA,NA,NA,NA,<4months,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
movement,planktonic larval duration (pld),molluscs,no larvae,NA,NA,no larvae,NA,NA,NA,NA,NA,NA,NA,no larvae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
physiological tolerance breadths,dissolved oxygen,molluscs,medium tolerance,medium tolerance,medium tolerance,medium tolerance,medium tolerance,medium tolerance,medium tolerance,medium tolerance,medium tolerance,medium tolerance,medium tolerance,medium tolerance,medium tolerance,medium tolerance,medium tolerance,medium tolerance,medium tolerance,medium tolerance,medium tolerance,medium tolerance,medium tolerance,medium tolerance,medium tolerance,medium tolerance,medium tolerance,medium tolerance,medium tolerance,medium tolerance,medium tolerance,medium tolerance,medium tolerance,medium tolerance,medium tolerance,medium tolerance,medium tolerance,medium tolerance,medium tolerance,medium tolerance,medium tolerance,medium tolerance,medium tolerance,medium tolerance,medium tolerance,medium tolerance,medium tolerance,medium tolerance,medium tolerance,medium tolerance
physiological tolerance breadths,ph,molluscs,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,NA,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,NA,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,NA,NA,7.8-8.2,NA,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2
physiological tolerance breadths,ph,molluscs,7.8-8.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.8-8.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.8-8.2,NA,NA,NA,NA,7.8-8.2,7.8-8.2,NA,7.8-8.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
physiological tolerance breadths,salinity,molluscs,Stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline
physiological tolerance breadths,sensitivity to wave energy (physical forcing),molluscs,Not sensitive,not sensitive,not sensitive,NA,not sensitive,NA,NA,not sensitive,not sensitive,not sensitive,not sensitive,NA,not sensitive,not sensitive,not sensitive,not sensitive,not sensitive,not sensitive,not sensitive,not sensitive,not sensitive,not sensitive,not sensitive,not sensitive,not sensitive,not sensitive,not sensitive,not sensitive,not sensitive,not sensitive,not sensitive,not sensitive,not sensitive,not sensitive,not sensitive,not sensitive,not sensitive,not sensitive,not sensitive,not sensitive,not sensitive,not sensitive,not sensitive,not sensitive,not sensitive,not sensitive,not sensitive,not sensitive
physiological tolerance breadths,sensitivity to wave energy (physical forcing),molluscs,sensitive,NA,NA,sensitive,NA,sensitive,sensitive,NA,NA,NA,NA,sensitive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
physiological tolerance breadths,thermal - sensitivity to heat spikes/heat waves,molluscs,broad,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
