category,trait,sheet,trait_val_orig,acesta excavata,adamussium colbecki,aeolidia papillosa,anadara trapezia,aplysia californica,aplysia vaccaria,arcidae,argopecten irradians,austrocochlea porcata,bankia setacea,cadlina luteomarginata,calliostoma ligatum,cellana tramoserica,cerastoderma edule,crassostrea/magallana gigas,crassotrea virginica,haliotis coccoradiata,haliotis kamschatkana,haliotis rubra,magallana hongkongensis,mercenaria mercenaria,mimachlamys asperrima,mytilus californiensis,mytilus edulis,mytilus galloprovincialis,mytilus trossolus,ostrea angasi,ostrea edulis,ostrea lurida,panopea generosa,pecten fumatus,pecten maximus,pinctada fucata,pinctada maxima,pinna bicolor,plebidonax deltoides,saccostrea glomerata,siliqua patula,subninella undulata,tectura scutum,tegula funebralis,tenguella marginalba,tridacna gigas,tridacna maxima,trochus niloticus,trychomya hirsuta,turbo militaris
r (reproductive traits),global population size,molluscs,>1M,>1m,>1m,>1m,>1m,>1m,>1m,>1m,>1m,>1m,>1m,>1m,>1m,>1m,>1m,>1m,>1m,>1m,>1m,>1m,>1m,>1m,>1m,>1m,>1m,>1m,>1m,>1m,>1m,>1m,>1m,>1m,>1m,>1m,>1m,>1m,>1m,>1m,>1m,>1m,>1m,>1m,>1m,>1m,>1m,>1m,>1m,>1m
r (reproductive traits),lifetime # reproductive opportunities,molluscs,unkown,unkown,unkown,unkown,unkown,unkown,unkown,unkown,unkown,unkown,unkown,unkown,unkown,unkown,unkown,unkown,unkown,unkown,unkown,unkown,unkown,unkown,unkown,unkown,unkown,unkown,unkown,unkown,unkown,unkown,unkown,unkown,unkown,unkown,unkown,unkown,unkown,unkown,unkown,unkown,unkown,unkown,unkown,unkown,unkown,unkown,unkown,unkown
r (reproductive traits),max age,molluscs,unkown,unkown,unkown,unkown,unkown,unkown,unkown,unkown,unkown,unkown,unkown,unkown,unkown,unkown,unkown,unkown,unkown,unkown,unkown,unkown,unkown,unkown,unkown,unkown,unkown,unkown,unkown,unkown,unkown,unkown,unkown,unkown,unkown,unkown,unkown,unkown,unkown,unkown,unkown,unkown,unkown,unkown,unkown,unkown,unkown,unkown,unkown,unkown
r (reproductive traits),parental investment,molluscs,egg-layer (unattended),NA,NA,egg-layer (unattended),NA,NA,NA,NA,NA,NA,NA,egg-layer (unattended),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
r (reproductive traits),parental investment,molluscs,egg-layer (unattended)- eggs hatch into feeding larvae,NA,NA,NA,NA,egg-layer (unattended)-eggs hatch into feeding larvae,egg-layer (unattended)-eggs hatch into feeding larvae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
r (reproductive traits),parental investment,molluscs,egglayer-unattended,NA,NA,NA,NA,NA,NA,NA,NA,egglayer-unattended,NA,NA,NA,egglayer-unattended,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,egglayer-unattended,NA,NA,egglayer-unattended,NA,NA,NA,NA,egglayer-unattended
r (reproductive traits),parental investment,molluscs,spawner,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,spawner,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,spawner,spawner,NA,NA,NA,spawner,NA,NA
r (reproductive traits),parental investment,molluscs,Spawner,spawner,spawner,NA,spawner,NA,NA,spawner,spawner,NA,spawner,NA,NA,NA,spawner,spawner,spawner,spawner,spawner,NA,spawner,spawner,spawner,spawner,spawner,spawner,spawner,spawner,spawner,spawner,spawner,spawner,spawner,spawner,spawner,spawner,spawner,spawner,spawner,NA,NA,NA,NA,spawner,spawner,NA,spawner,NA
r (reproductive traits),post-birth/hatching parental dependence,molluscs,"NA",na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
r (reproductive traits),reproductive strategy,molluscs,Sexual dioecious,NA,NA,NA,NA,NA,NA,NA,NA,sexual dioecious,NA,NA,sexual dioecious,sexual dioecious,NA,NA,NA,sexual dioecious,sexual dioecious,sexual dioecious,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,NA,NA,sexual dioecious,NA,sexual dioecious
