category,trait,sheet,trait_val_orig,acanthochromis polyacanthus,acanthurus dusumieri,acromycter perturbator,amphiprion akindynos,anguilla australis,apterichtus kendalli,ariosoma selenops,asarcenchelys longimanus,balistoides viridescens,bathycongrus retrotinctus,bathycongrus vicinalis,bathypterois grallator,bathyuroconger vicinus,brachionichthys hirsutus,brachysomophis longipinnis,callechelys bitaeniata,carapus bermudensi,cephalopholis cyanostogmata,chaetodon auriga,chaetodon triangulum,chaetodon trifascialis,champsocephalus gunnari,chanos chanos,chlopsis kazuko,cirripectes alleni,cirripectes filamentosus,clupea harengus,coloconger japonicus,conger verreauxi,corphaena hippurus,crossosalarias macrospilus,ctenoscarus bicolor,derichthys serpentinus,dissostichus eleginoides,ecsenius trilineatus,encheliophis gracilis,enchelycore schismatorhynchus,engraulis ringens,entomacrodus macrospilus,entomacrodus stellifer,epinephelus itajara,epinephelus lanceolatus,eptatretus cirrhatus,eptatretus mendozai,ethadophis akkistikos,ethadophis merenda,eviota sigillata,exocoetus volitans,facciolella karreri,forsterygion varium,gadus mohua,galaxias brevipinnis,gobiodon citrinus,gobiodon histro,gorgasia maculata,gymnothorax javanicus,heteroconger klausewitzi,heteroconger taylori,hippocampus abdominalis,hippoglossus stenolepis,hoplostethus atlanticus,hoplunnis schmidti,hygophum proximum,hypleurochilus bananensis,hypsoblennius striatus,katsuwonus pelamis,kaupichthys brachychirus,lutjanus carponatatus,lutjanus sebae,meuschenia scaber,monopenchelys acuta,moringua edwardsi,naso vlamingi,nessorhamphus danae,notolabrus celidotus,omobranchus anolius,omobranchus fasciolatus,omobranchus rotundiceps,oncorhynchus nerka,ophichthus altipennis,ophichthus melanoporus,osterhinchus doederleini,parablennius parvicornis,parablennius yatabei,parablennius zvonimiri,parapercis colias,parenchelyurus hepburni,parma microlepis,phycoduras eques,plectropomus leopardus,pomacentrus coelestis,praealticus dayi,rexea solandri,rhinomuraena quaesita,salarias ceramensis,salarias fasciatus,salarias sinuosus,saurenchelys fierasfer,saurenchelys meteori,scarus schlegeri,sebastes diploproa,serrivomer lanceolatoides,simenchelys parasitica,skythrenchelys zabra,spratelloides delicatulus,synaphobranchus affinis,synaphobranchus kaupii,synaphobranchus oregoni,thalassenchelys foliaceus (aka congriscus maldivensis),thunnus maccoyii,uropterygius fuscoguttatus,uropterygius wheeleri,venefica tentaculata,xenomystax trucidans,xestochilus nebulosus
biophysical traits,communication requirement (sound),reef_other_fish,n0,NA,NA,NA,n0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
biophysical traits,communication requirement (sound),reef_other_fish,no,no,NA,no,NA,no,no,no,no,NA,no,no,no,no,no,no,no,NA,no,no,no,no,no,no,no,no,no,NA,no,no,no,no,NA,no,no,no,NA,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,NA,no,no,no,no,no,no,no,no,no,no,no,NA,NA,NA,no,no,NA,no,NA,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,NA,NA,no,no,no,no,no,no,no,no,no,no,no,no,no,no
biophysical traits,communication requirement (sound),reef_other_fish,yes,NA,yes,NA,NA,NA,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NA,NA,NA,NA,yes,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes,yes,NA,NA,yes,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
biophysical traits,extreme pressure wave sensitive structures,reef_other_fish,low sensitivity,low sensitivity,NA,NA,low sensitivity,low sensitivity,NA,NA,NA,NA,NA,NA,low sensitivity,NA,low sensitivity,NA,NA,NA,low sensitivity,low sensitivity,low sensitivity,low sensitivity,low sensitivity,low sensitivity,NA,NA,NA,NA,NA,NA,low sensitivity,NA,NA,NA,low sensitivity,NA,NA,NA,low sensitivity,NA,NA,low sensitivity,low sensitivity,NA,NA,NA,NA,low sensitivity,low sensitivity,NA,NA,low sensitivity,low sensitivity,low sensitivity,low sensitivity,NA,NA,NA,NA,NA,low sensitivity,low sensitivity,NA,low sensitivity,NA,NA,low sensitivity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,low sensitivity,NA,NA,low sensitivity,NA,NA,NA,NA,NA,low sensitivity,NA,low sensitivity,low sensitivity,NA,low sensitivity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,low sensitivity,NA,NA,NA,NA,NA
biophysical traits,extreme pressure wave sensitive structures,reef_other_fish,medium,NA,medium,NA,NA,NA,NA,NA,NA,medium,NA,NA,NA,NA,NA,NA,NA,medium,NA,NA,NA,NA,NA,NA,NA,NA,NA,medium,NA,NA,NA,NA,medium,NA,NA,NA,medium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,medium,NA,NA,NA,NA,NA,medium,NA,NA,medium,NA,NA,NA,NA,NA,NA,NA,NA,medium,medium,medium,NA,NA,medium,NA,medium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,medium,NA,NA,medium,NA,NA,NA,NA,NA,NA,medium,NA,NA,NA,medium,medium,NA,NA,NA,medium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
biophysical traits,extreme pressure wave sensitive structures,reef_other_fish,no,NA,NA,no,NA,NA,no,no,no,NA,no,no,NA,no,NA,no,no,NA,NA,NA,NA,NA,NA,NA,no,no,no,NA,no,no,NA,no,NA,no,NA,no,NA,no,NA,no,no,NA,NA,no,no,no,no,NA,NA,no,NA,NA,NA,NA,NA,no,NA,no,no,NA,NA,NA,no,NA,no,no,NA,no,NA,NA,NA,no,no,NA,no,NA,no,no,no,NA,no,no,NA,no,no,no,NA,no,NA,NA,NA,NA,no,NA,no,no,NA,no,no,no,NA,NA,no,no,no,NA,no,no,no,no,NA,no,no,no,no,no
biophysical traits,flight,reef_other_fish,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,NA,NA,no,no,no,NA,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
biophysical traits,flight,reef_other_fish,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
biophysical traits,maximum depth,reef_other_fish,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
biophysical traits,maximum depth,reef_other_fish,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
