category,trait,arctocephalus,balaena mysticetus,balaenoptera acutorostrata,balaenoptera bonaerensis,balaenoptera borealis,balaenoptera brydei,balaenoptera edeni,balaenoptera musculus,balaenoptera physalus,berardius bairdii,callorhinus,caperea marginata,cephalorhynchus hectori,delphinapterus leucas,delphinus,dugong dugon,enhydra lutris,eschrichtius robustus,eubalaena australis,eubalaena glacialis,eubalaena japonica,eumetopias,feresa attenuata,globicephala,grampus griseus,hyperoodon ampullatus,indopacetus pacificus,kogia,kogia breviceps,lagenodelphis hosei,lagenorhynchus,lagenorhynchus acutus,lissodelphis borealis,megaptera novaeangliae,mesoplodon bidens,mesoplodon densirostris,mesoplodon europaeus,mesoplodon mirus,mesoplodon stejnegeri,monodon monoceros,neophoca,odobenus rosmarus,orcinus orca,otaria,peponocephala electra,phocarctos,phocidae,phocoena sinus,physeter macrocephalus,pseudorca crassidens,sousa chinensis taiwanensis,stenella,stenella clymene,stenella frontalis,steno bredanensis,trichechus manatus,trichechus senegalensis,tursiops truncatus,ursus maritimus,zalophus,ziphius cavirostris
foraging range,"number of sites, incl. terrestrial wetlands",many,NA,many,NA,few;many,NA,NA,many,many,NA,many,NA,many,many,many,many,does not aggregate,NA,many,few,few,many,many,many,many,many,NA,many,NA,NA,many,NA,many,many,NA,NA,NA,NA,NA,NA,many,many,many,many,many,many,many,one,NA,many,many,many,NA,NA,many,many,many,many,many,many,NA
foraging range,sub-population dependence on particular sites,no,yes,yes,unknown,yes,NA,NA,yes,yes,NA,no,NA,NA,yes,NA,NA,NA,NA,yes,yes,yes,NA,NA,NA,NA,yes,NA,unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NA,NA,NA
movement,adult mobility,mobile resident,vertical migrator,mobile resident;vertical migrator,vertical migrator,vertical migrator,mobile resident;vertical migrator,mobile resident;vertical migrator,vertical migrator,mobile resident;vertical migrator,vertical migrator,mobile resident,mobile resident,mobile resident,vertical migrator;horizontal migrator;mobile resident,mobile resident,mobile resident,mobile resident,vertical migrator,vertical migrator,vertical migrator,NA,mobile resident,mobile resident,nomadic,mobile resident,vertical migrator,NA,NA,mobile resident,NA,mobile resident,mobile resident,mobile resident,mobile resident;vertical migrator,NA,NA,NA,vertical migrator,NA,vertical migrator;horizontal migrator,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident;horizontal migrator,mobile resident,vertical migrator,mobile resident,mobile resident,mobile resident,NA,NA,mobile resident,vertical migrator,vertical migrator,mobile resident,nomadic,mobile resident,vertical migrator
movement,planktonic larval duration (pld) exposure,not larvae,not larvae,not larvae,not larvae,not larvae,not larvae,not larvae,not larvae,not larvae,not larvae,not larvae,not larvae,not larvae,not larvae,not larvae,not larvae,not larvae,not larvae,not larvae,not larvae,not larvae,not larvae,not larvae,not larvae,not larvae,not larvae,not larvae,not larvae,not larvae,not larvae,not larvae,not larvae,not larvae,not larvae,not larvae,not larvae,not larvae,not larvae,not larvae,not larvae,not larvae,not larvae,not larvae,not larvae,not larvae,not larvae,not larvae,not larvae,not larvae,not larvae,not larve,not larvae,not larvae,not larvae,not larvae,not larvae,not larvae,not larvae,not larvae,not larvae,not larvae
physiological tolerance breadths,dissolved oxygen,air breather,air breather,air breather,air breather,air breather,air breather,air breather,air breather,air breather,air breather,air breather,air breather,air breather,air breather,air breather,air breather,air breathers,air breather,air breather,air breather,air breather,air breather,air breather,air breather,air breather,air breather,air breather,air breather,air breather,air breather,air breather,air breather,air breather,air breather,air breather,air breather,air breather,air breather,air breather,air breather,air breather,air breather,air breather,air breather,air breather,air breather,air breather,air breather,air breather,air breather,air breather,air breather,air breather,air breather,air breather,air breather,air breather,air breather,air breathers,air breather,air breather
physiological tolerance breadths,ph,7.8-8.2,NA,NA,NA,NA,NA,NA,unknown;but change in ph affects krill;which are vital for blue whale subsistence,NA,NA,7.8-8.2,NA,7.8-8.2,NA,7.8-8.2,7.8-8.2,NA,NA,NA,NA,NA,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,NA,NA,NA,NA,NA,7.8-8.2,NA,7.8-8.2,NA,NA,NA,NA,NA,NA,NA,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2,not diectly effected but suffer from loss of food with changing ph,NA,7.8-8.2,7.8-8.2,7.8-8.2,NA,NA,7.8-8.2,7.8-8.2,7.8-8.2,NA,7.8-8.2,7.8-8.2,NA
physiological tolerance breadths,salinity,na,stenohaline (saltwater;marine only),stenohaline (marine or saltwater only),stenohaline (marine or saltwater only),NA,stenohaline (saltwater;marine only),stenohaline (saltwater;marine only),stenohaline (marine or saltwater only),stenohaline (saltwater;marine only),stenohaline (saltwater;marine only),na,stenohaline (saltwater only),na,euryhaline (saltwater only and freshwater),na,euryhalineprobably based on habitat types,na,stenohaline (saltwater),stenohaline (saltwater only),stenohaline (salt water only),stenohaline (saltwater;marine only),na,na,na,na,stenohaline (saltwater;marine only),stenohaline (saltwater;marine only),stenohaline (saltwater only),NA,stenohaline (saltwater;marine only),na,stenohaline (saltwater;marine only)-prefers low salinity,na,stenohaline (saltwater;marine only),stenohaline (saltwater;marine only),stenohaline (saltwater;marine only),stenohaline (saltwater;marine only),stenohaline (saltwater;marine only),stenohaline (saltwater;marine only),(saltwater only) stenohaline,na,na,na,na,na,na,na,euryhaline,stenohaline (saltwater only),na,na,na,stenohaline (saltwater;marine only),stenohaline (saltwater;marine only),na,euryhaline,stenohaline-avoid salt water,euryhaline,na,na,stenohaline (saltwater;marine only)
physiological tolerance breadths,sensitivity to wave energy (physical forcing),not sensitive,na,na,na,na,na,na,na,na,na,not sensitive,na,not sensitive,na,not sensitive,not sensitive,na,na,na,na,na,not sensitive,not sensitive,not sensitive,not sensitive,na,na,na,na,na,not sensitive,na,not sensitive,na,na,na,na,na,na,na,not sensitive,not sensitive,not sensitive,not sensitive,not sensitive,not sensitive,not sensitive,na,na,not sensitive,not sensitive,not sensitive,na,na,not sensitive,not sensitive,not sensitive,na,na,not sensitive,na
physiological tolerance breadths,thermal - sensitivity to heat spikes/heat waves,yes,yes,no,antarctic_to_col_temperate_waters,8_18_degrees_celcius_don_t_go_into_polar_icy_water_c,yes,yes,no,temperate_subpolar_waters,sub_arctic_to_temperate_waters,yes,no,NA,yes,NA,NA,no,no,NA,yes,polar_to_temperate_waters,yes,NA,NA,NA,no,no,no,NA,yes,NA,no,NA,18_2_25_9_degrees,cold_temperate_to_subantarctic_waters,no,temperate_tropical_waters,10_20_degrees,cold_temperate_sub_arctic_waters,yes,yes,no,NA,yes,NA,yes,yes,no,no,NA,NA,NA,yes,yes,NA,NA,NA,yes,yes,yes,NA
physiological tolerance breadths,thermal - sensitivity to ocean warming - max temps tolerated,30c,subarctic waters,tropical temperatires,30c,20c,20c,20c,NA,tenperate waters,temperate waters,30c,20c,25c,15c,30c,30c,30c,20c,sub-antarctic waters,15c,polar to temperate waters,30c,30c,30c,20c,temperate,30c,temperate/tropical temperatures,tropical/temperate temperatures,tropical waters,20c,20c,20c,25c,cold-temperate,30c,tropical waters,20c,cold-temperate,5c,30c,15c,25c,30c,30c,30c,30c,30c,temperate/tropical temperatures,30c,30c,30c,tropical water,tropical waters,25c,30c,30c,tropical water,5c,30c,NA
