iucn_sid,name,rank,id
155285,cellular organisms,no rank,131567
155285,Eukaryota,superkingdom,2759
155285,Opisthokonta,clade,33154
155285,Metazoa,kingdom,33208
155285,Eumetazoa,clade,6072
155285,Bilateria,clade,33213
155285,Deuterostomia,clade,33511
155285,Chordata,phylum,7711
155285,Craniata,subphylum,89593
155285,Vertebrata,clade,7742
155285,Gnathostomata,clade,7776
155285,Teleostomi,clade,117570
155285,Euteleostomi,clade,117571
155285,Actinopterygii,superclass,7898
155285,Actinopteri,class,186623
155285,Neopterygii,subclass,41665
155285,Teleostei,infraclass,32443
155285,Osteoglossocephalai,clade,1489341
155285,Clupeocephala,no rank,186625
155285,Euteleosteomorpha,cohort,1489388
155285,Neoteleostei,clade,123365
155285,Eurypterygia,clade,123366
155285,Ctenosquamata,clade,123367
155285,Acanthomorphata,clade,123368
155285,Euacanthomorphacea,clade,123369
155285,Percomorphaceae,clade,1489872
155285,Syngnathiaria,clade,1489883
155285,Syngnathiformes,order,129912
155285,Syngnathoidei,suborder,1489884
155285,Syngnathidae,family,72045
155285,Syngnathinae,subfamily,129914
155285,Vanacampus,genus,161595
155285,Vanacampus vercoi,species,1914707
155290,cellular organisms,no rank,131567
155290,Eukaryota,superkingdom,2759
155290,Opisthokonta,clade,33154
155290,Metazoa,kingdom,33208
155290,Eumetazoa,clade,6072
155290,Bilateria,clade,33213
155290,Deuterostomia,clade,33511
155290,Chordata,phylum,7711
155290,Craniata,subphylum,89593
155290,Vertebrata,clade,7742
155290,Gnathostomata,clade,7776
155290,Teleostomi,clade,117570
155290,Euteleostomi,clade,117571
155290,Actinopterygii,superclass,7898
155290,Actinopteri,class,186623
155290,Neopterygii,subclass,41665
155290,Teleostei,infraclass,32443
155290,Osteoglossocephalai,clade,1489341
155290,Clupeocephala,no rank,186625
155290,Euteleosteomorpha,cohort,1489388
155290,Neoteleostei,clade,123365
155290,Eurypterygia,clade,123366
155290,Ctenosquamata,clade,123367
155290,Acanthomorphata,clade,123368
155290,Euacanthomorphacea,clade,123369
155290,Percomorphaceae,clade,1489872
155290,Eupercaria,clade,1489922
155290,Labriformes,order,1489928
155290,Labridae,family,8247
155290,Scarus,genus,59660
155290,Scarus schlegeli,species,247629
155292,cellular organisms,no rank,131567
155292,Eukaryota,superkingdom,2759
155292,Opisthokonta,clade,33154
155292,Metazoa,kingdom,33208
155292,Eumetazoa,clade,6072
155292,Bilateria,clade,33213
155292,Deuterostomia,clade,33511
155292,Chordata,phylum,7711
155292,Craniata,subphylum,89593
155292,Vertebrata,clade,7742
155292,Gnathostomata,clade,7776
155292,Teleostomi,clade,117570
155292,Euteleostomi,clade,117571
155292,Actinopterygii,superclass,7898
155292,Actinopteri,class,186623
155292,Neopterygii,subclass,41665
155292,Teleostei,infraclass,32443
155292,Osteoglossocephalai,clade,1489341
155292,Clupeocephala,no rank,186625
155292,Euteleosteomorpha,cohort,1489388
155292,Neoteleostei,clade,123365
155292,Eurypterygia,clade,123366
155292,Ctenosquamata,clade,123367
155292,Acanthomorphata,clade,123368
155292,Euacanthomorphacea,clade,123369
155292,Percomorphaceae,clade,1489872
155292,Eupercaria,clade,1489922
155292,Labriformes,order,1489928
155292,Labridae,family,8247
155292,Sparisoma,genus,51764
155292,Sparisoma strigatum,species,379991
155294,cellular organisms,no rank,131567
155294,Eukaryota,superkingdom,2759
155294,Opisthokonta,clade,33154
155294,Metazoa,kingdom,33208
155294,Eumetazoa,clade,6072
155294,Bilateria,clade,33213
155294,Deuterostomia,clade,33511
155294,Chordata,phylum,7711
155294,Craniata,subphylum,89593
155294,Vertebrata,clade,7742
155294,Gnathostomata,clade,7776
155294,Teleostomi,clade,117570
155294,Euteleostomi,clade,117571
155294,Actinopterygii,superclass,7898
155294,Actinopteri,class,186623
155294,Neopterygii,subclass,41665
155294,Teleostei,infraclass,32443
155294,Osteoglossocephalai,clade,1489341
155294,Clupeocephala,no rank,186625
155294,Otomorpha,cohort,186634
155294,Clupei,subcohort,282425
155294,Clupeiformes,order,32446
155294,Clupeoidei,suborder,1489460
155294,Engraulidae,family,43062
155294,Engraulinae,subfamily,365067
155294,Anchoviella,genus,435133
155294,Anchoviella brevirostris,species,1150442
155308,cellular organisms,no rank,131567
155308,Eukaryota,superkingdom,2759
155308,Opisthokonta,clade,33154
155308,Metazoa,kingdom,33208
155308,Eumetazoa,clade,6072
155308,Bilateria,clade,33213
155308,Deuterostomia,clade,33511
155308,Chordata,phylum,7711
155308,Craniata,subphylum,89593
155308,Vertebrata,clade,7742
155308,Gnathostomata,clade,7776
155308,Teleostomi,clade,117570
155308,Euteleostomi,clade,117571
155308,Actinopterygii,superclass,7898
155308,Actinopteri,class,186623
155308,Neopterygii,subclass,41665
155308,Teleostei,infraclass,32443
155308,Osteoglossocephalai,clade,1489341
155308,Clupeocephala,no rank,186625
155308,Euteleosteomorpha,cohort,1489388
155308,Neoteleostei,clade,123365
155308,Eurypterygia,clade,123366
155308,Ctenosquamata,clade,123367
155308,Acanthomorphata,clade,123368
155308,Euacanthomorphacea,clade,123369
155308,Percomorphaceae,clade,1489872
155308,Eupercaria,clade,1489922
155308,Eupercaria incertae sedis,no rank,1489923
155308,Pomacanthidae,family,30862
155308,Centropyge,genus,109718
155308,Centropyge loriculus,species,586789
155311,cellular organisms,no rank,131567
155311,Eukaryota,superkingdom,2759
155311,Opisthokonta,clade,33154
155311,Metazoa,kingdom,33208
155311,Eumetazoa,clade,6072
155311,Bilateria,clade,33213
155311,Deuterostomia,clade,33511
155311,Chordata,phylum,7711
155311,Craniata,subphylum,89593
155311,Vertebrata,clade,7742
155311,Gnathostomata,clade,7776
155311,Teleostomi,clade,117570
155311,Euteleostomi,clade,117571
155311,Actinopterygii,superclass,7898
155311,Actinopteri,class,186623
155311,Neopterygii,subclass,41665
155311,Teleostei,infraclass,32443
155311,Osteoglossocephalai,clade,1489341
155311,Clupeocephala,no rank,186625
155311,Otomorpha,cohort,186634
155311,Clupei,subcohort,282425
155311,Clupeiformes,order,32446
155311,Clupeoidei,suborder,1489460
155311,Pristigasteridae,family,260504
155311,Raconda,genus,2529464
155311,Raconda russeliana,species,2529465
155313,cellular organisms,no rank,131567
155313,Eukaryota,superkingdom,2759
155313,Opisthokonta,clade,33154
155313,Metazoa,kingdom,33208
155313,Eumetazoa,clade,6072
155313,Bilateria,clade,33213
155313,Deuterostomia,clade,33511
155313,Chordata,phylum,7711
155313,Craniata,subphylum,89593
155313,Vertebrata,clade,7742
155313,Gnathostomata,clade,7776
155313,Teleostomi,clade,117570
155313,Euteleostomi,clade,117571
155313,Actinopterygii,superclass,7898
155313,Actinopteri,class,186623
155313,Neopterygii,subclass,41665
155313,Teleostei,infraclass,32443
155313,Osteoglossocephalai,clade,1489341
155313,Clupeocephala,no rank,186625
155313,Euteleosteomorpha,cohort,1489388
155313,Neoteleostei,clade,123365
155313,Eurypterygia,clade,123366
155313,Ctenosquamata,clade,123367
155313,Acanthomorphata,clade,123368
155313,Euacanthomorphacea,clade,123369
155313,Percomorphaceae,clade,1489872
155313,Eupercaria,clade,1489922
155313,Tetraodontiformes,order,31022
155313,Tetraodontoidei,suborder,31028
155313,Tetradontoidea,superfamily,32517
155313,Tetraodontidae,family,31031
155313,Canthigaster,genus,223138
155313,Canthigaster leoparda,species,1329239
155314,cellular organisms,no rank,131567
155314,Eukaryota,superkingdom,2759
155314,Opisthokonta,clade,33154
155314,Metazoa,kingdom,33208
155314,Eumetazoa,clade,6072
155314,Bilateria,clade,33213
155314,Deuterostomia,clade,33511
155314,Chordata,phylum,7711
155314,Craniata,subphylum,89593
155314,Vertebrata,clade,7742
155314,Gnathostomata,clade,7776
155314,Teleostomi,clade,117570
155314,Euteleostomi,clade,117571
155314,Actinopterygii,superclass,7898
155314,Actinopteri,class,186623
155314,Neopterygii,subclass,41665
155314,Teleostei,infraclass,32443
155314,Osteoglossocephalai,clade,1489341
155314,Clupeocephala,no rank,186625
155314,Euteleosteomorpha,cohort,1489388
155314,Neoteleostei,clade,123365
155314,Eurypterygia,clade,123366
155314,Ctenosquamata,clade,123367
155314,Acanthomorphata,clade,123368
155314,Euacanthomorphacea,clade,123369
155314,Percomorphaceae,clade,1489872
155314,Eupercaria,clade,1489922
155314,Labriformes,order,1489928
155314,Labridae,family,8247
155314,Pseudocheilinus,genus,241334
155314,Pseudocheilinus ocellatus,species,997982
155327,cellular organisms,no rank,131567
155327,Eukaryota,superkingdom,2759
155327,Opisthokonta,clade,33154
155327,Metazoa,kingdom,33208
155327,Eumetazoa,clade,6072
155327,Bilateria,clade,33213
155327,Deuterostomia,clade,33511
155327,Chordata,phylum,7711
155327,Craniata,subphylum,89593
155327,Vertebrata,clade,7742
155327,Gnathostomata,clade,7776
155327,Teleostomi,clade,117570
155327,Euteleostomi,clade,117571
155327,Actinopterygii,superclass,7898
155327,Actinopteri,class,186623
155327,Neopterygii,subclass,41665
155327,Teleostei,infraclass,32443
155327,Osteoglossocephalai,clade,1489341
155327,Clupeocephala,no rank,186625
155327,Euteleosteomorpha,cohort,1489388
155327,Neoteleostei,clade,123365
155327,Eurypterygia,clade,123366
155327,Ctenosquamata,clade,123367
155327,Acanthomorphata,clade,123368
155327,Euacanthomorphacea,clade,123369
155327,Percomorphaceae,clade,1489872
155327,Ovalentaria,clade,1489908
155327,Blenniimorphae,clade,1489920
155327,Blenniiformes,order,1489921
155327,Blennioidei,suborder,56717
155327,Tripterygiidae,family,57771
155327,Tripterygiinae,subfamily,722434
155327,Crocodilichthys,genus,879811
155327,Crocodilichthys gracilis,species,879812
158616,cellular organisms,no rank,131567
158616,Eukaryota,superkingdom,2759
158616,Opisthokonta,clade,33154
158616,Metazoa,kingdom,33208
158616,Eumetazoa,clade,6072
158616,Bilateria,clade,33213
158616,Deuterostomia,clade,33511
158616,Chordata,phylum,7711
158616,Craniata,subphylum,89593
158616,Vertebrata,clade,7742
158616,Gnathostomata,clade,7776
158616,Chondrichthyes,class,7777
158616,Elasmobranchii,subclass,7778
158616,Selachii,infraclass,119203
158616,Squalomorphii,clade,118040
158616,Squaliformes,order,282414
158616,Squalidae,family,30511
158616,Squalus,genus,7796
158616,Squalus altipinnis,species,1604521
158617,cellular organisms,no rank,131567
158617,Eukaryota,superkingdom,2759
158617,Opisthokonta,clade,33154
158617,Metazoa,kingdom,33208
158617,Eumetazoa,clade,6072
158617,Bilateria,clade,33213
158617,Deuterostomia,clade,33511
158617,Chordata,phylum,7711
158617,Craniata,subphylum,89593
158617,Vertebrata,clade,7742
158617,Gnathostomata,clade,7776
158617,Chondrichthyes,class,7777
158617,Elasmobranchii,subclass,7778
158617,Selachii,infraclass,119203
158617,Squalomorphii,clade,118040
158617,Squaliformes,order,282414
158617,Squalidae,family,30511
158617,Squalus,genus,7796
158617,Squalus edmundsi,species,335030
158632,cellular organisms,no rank,131567
158632,Eukaryota,superkingdom,2759
158632,Opisthokonta,clade,33154
158632,Metazoa,kingdom,33208
158632,Eumetazoa,clade,6072
158632,Bilateria,clade,33213
158632,Deuterostomia,clade,33511
158632,Chordata,phylum,7711
158632,Craniata,subphylum,89593
158632,Vertebrata,clade,7742
158632,Gnathostomata,clade,7776
158632,Teleostomi,clade,117570
158632,Euteleostomi,clade,117571
158632,Actinopterygii,superclass,7898
158632,Actinopteri,class,186623
158632,Neopterygii,subclass,41665
158632,Teleostei,infraclass,32443
158632,Osteoglossocephalai,clade,1489341
158632,Clupeocephala,no rank,186625
158632,Euteleosteomorpha,cohort,1489388
158632,Neoteleostei,clade,123365
158632,Eurypterygia,clade,123366
158632,Ctenosquamata,clade,123367
158632,Acanthomorphata,clade,123368
158632,Euacanthomorphacea,clade,123369
158632,Percomorphaceae,clade,1489872
158632,Ovalentaria,clade,1489908
158632,Blenniimorphae,clade,1489920
158632,Blenniiformes,order,1489921
158632,Blennioidei,suborder,56717
158632,Blenniidae,family,56718
158632,Salariinae,subfamily,703913
158632,Salarias,genus,94311
158632,Salarias sinuosus,species,1405664
161319,cellular organisms,no rank,131567
161319,Eukaryota,superkingdom,2759
161319,Opisthokonta,clade,33154
161319,Metazoa,kingdom,33208
161319,Eumetazoa,clade,6072
161319,Bilateria,clade,33213
161319,Deuterostomia,clade,33511
161319,Chordata,phylum,7711
161319,Craniata,subphylum,89593
161319,Vertebrata,clade,7742
161319,Gnathostomata,clade,7776
161319,Chondrichthyes,class,7777
161319,Elasmobranchii,subclass,7778
161319,Batoidea,superorder,117893
161319,Rajiformes,order,7858
161319,Arhynchobatidae,family,117867
161319,Bathyraja,genus,117870
161319,Bathyraja mariposa,species,341247
161321,cellular organisms,no rank,131567
161321,Eukaryota,superkingdom,2759
161321,Opisthokonta,clade,33154
161321,Metazoa,kingdom,33208
161321,Eumetazoa,clade,6072
161321,Bilateria,clade,33213
161321,Deuterostomia,clade,33511
161321,Chordata,phylum,7711
161321,Craniata,subphylum,89593
161321,Vertebrata,clade,7742
161321,Gnathostomata,clade,7776
161321,Chondrichthyes,class,7777
161321,Elasmobranchii,subclass,7778
161321,Selachii,infraclass,119203
161321,Squalomorphii,clade,118040
161321,Squaliformes,order,282414
161321,Squalidae,family,30511
161321,Cirrhigaleus,genus,335023
161321,Cirrhigaleus australis,species,662068
161325,cellular organisms,no rank,131567
161325,Eukaryota,superkingdom,2759
161325,Opisthokonta,clade,33154
161325,Metazoa,kingdom,33208
161325,Eumetazoa,clade,6072
161325,Bilateria,clade,33213
161325,Deuterostomia,clade,33511
161325,Chordata,phylum,7711
161325,Craniata,subphylum,89593
161325,Vertebrata,clade,7742
161325,Gnathostomata,clade,7776
161325,Chondrichthyes,class,7777
161325,Elasmobranchii,subclass,7778
161325,Selachii,infraclass,119203
161325,Squalomorphii,clade,118040
161325,Squatiniformes,superorder,55139
161325,Squatinidae,family,55140
161325,Squatina,genus,55141
161325,Squatina nebulosa,species,55142
161326,cellular organisms,no rank,131567
161326,Eukaryota,superkingdom,2759
161326,Opisthokonta,clade,33154
161326,Metazoa,kingdom,33208
161326,Eumetazoa,clade,6072
161326,Bilateria,clade,33213
161326,Deuterostomia,clade,33511
161326,Chordata,phylum,7711
161326,Craniata,subphylum,89593
161326,Vertebrata,clade,7742
161326,Gnathostomata,clade,7776
161326,Chondrichthyes,class,7777
161326,Elasmobranchii,subclass,7778
161326,Batoidea,superorder,117893
161326,Torpediniformes,order,117888
161326,Narkidae,family,117892
161326,Crassinarke,genus,2012958
161326,Crassinarke dormitor,species,2012959
161327,cellular organisms,no rank,131567
161327,Eukaryota,superkingdom,2759
161327,Opisthokonta,clade,33154
161327,Metazoa,kingdom,33208
161327,Eumetazoa,clade,6072
161327,Bilateria,clade,33213
161327,Deuterostomia,clade,33511
161327,Chordata,phylum,7711
161327,Craniata,subphylum,89593
161327,Vertebrata,clade,7742
161327,Gnathostomata,clade,7776
161327,Chondrichthyes,class,7777
161327,Elasmobranchii,subclass,7778
161327,Selachii,infraclass,119203
161327,Squalomorphii,clade,118040
161327,Squaliformes,order,282414
161327,Etmopteridae,family,117921
161327,Etmopterus,genus,335011
161327,Etmopterus burgessi,species,1443572
161328,cellular organisms,no rank,131567
161328,Eukaryota,superkingdom,2759
161328,Opisthokonta,clade,33154
161328,Metazoa,kingdom,33208
161328,Eumetazoa,clade,6072
161328,Bilateria,clade,33213
161328,Deuterostomia,clade,33511
161328,Chordata,phylum,7711
161328,Craniata,subphylum,89593
161328,Vertebrata,clade,7742
161328,Gnathostomata,clade,7776
161328,Chondrichthyes,class,7777
161328,Elasmobranchii,subclass,7778
161328,Batoidea,superorder,117893
161328,Torpediniformes,order,117888
161328,Torpedinidae,family,30480
161328,Torpedo,genus,7786
161328,Torpedo marmorata,species,7788
161329,cellular organisms,no rank,131567
161329,Eukaryota,superkingdom,2759
161329,Opisthokonta,clade,33154
161329,Metazoa,kingdom,33208
161329,Eumetazoa,clade,6072
161329,Bilateria,clade,33213
161329,Deuterostomia,clade,33511
161329,Chordata,phylum,7711
161329,Craniata,subphylum,89593
161329,Vertebrata,clade,7742
161329,Gnathostomata,clade,7776
161329,Chondrichthyes,class,7777
161329,Elasmobranchii,subclass,7778
161329,Batoidea,superorder,117893
161329,Rajiformes,order,7858
161329,Rajidae,family,30475
161329,Dipturus,genus,117858
161329,Dipturus cerva,species,335005
161334,cellular organisms,no rank,131567
161334,Eukaryota,superkingdom,2759
161334,Opisthokonta,clade,33154
161334,Metazoa,kingdom,33208
161334,Eumetazoa,clade,6072
161334,Bilateria,clade,33213
161334,Deuterostomia,clade,33511
161334,Chordata,phylum,7711
161334,Craniata,subphylum,89593
161334,Vertebrata,clade,7742
161334,Gnathostomata,clade,7776
161334,Chondrichthyes,class,7777
161334,Elasmobranchii,subclass,7778
161334,Selachii,infraclass,119203
161334,Galeomorphii,clade,119197
161334,Galeoidea,superorder,119195
161334,Carcharhiniformes,order,30483
161334,Triakidae,family,7839
161334,Mustelus,genus,7811
161334,Mustelus californicus,species,320419
161335,cellular organisms,no rank,131567
161335,Eukaryota,superkingdom,2759
161335,Opisthokonta,clade,33154
161335,Metazoa,kingdom,33208
161335,Eumetazoa,clade,6072
161335,Bilateria,clade,33213
161335,Deuterostomia,clade,33511
161335,Chordata,phylum,7711
161335,Craniata,subphylum,89593
161335,Vertebrata,clade,7742
161335,Gnathostomata,clade,7776
161335,Chondrichthyes,class,7777
161335,Elasmobranchii,subclass,7778
161335,Batoidea,superorder,117893
161335,Myliobatiformes,order,117851
161335,Dasyatoidea,superfamily,117839
161335,Urotrygonidae,family,86673
161335,Urotrygon,genus,117838
161335,Urotrygon rogersi,species,1187975
161337,cellular organisms,no rank,131567
161337,Eukaryota,superkingdom,2759
161337,Opisthokonta,clade,33154
161337,Metazoa,kingdom,33208
161337,Eumetazoa,clade,6072
161337,Bilateria,clade,33213
161337,Deuterostomia,clade,33511
161337,Chordata,phylum,7711
161337,Craniata,subphylum,89593
161337,Vertebrata,clade,7742
161337,Gnathostomata,clade,7776
161337,Chondrichthyes,class,7777
161337,Elasmobranchii,subclass,7778
161337,Batoidea,superorder,117893
161337,Rajiformes,order,7858
161337,Arhynchobatidae,family,117867
161337,Pavoraja,genus,117873
161337,Pavoraja alleni,species,1213705
161339,cellular organisms,no rank,131567
161339,Eukaryota,superkingdom,2759
161339,Opisthokonta,clade,33154
161339,Metazoa,kingdom,33208
161339,Eumetazoa,clade,6072
161339,Bilateria,clade,33213
161339,Deuterostomia,clade,33511
161339,Chordata,phylum,7711
161339,Craniata,subphylum,89593
161339,Vertebrata,clade,7742
161339,Gnathostomata,clade,7776
161339,Chondrichthyes,class,7777
161339,Elasmobranchii,subclass,7778
161339,Batoidea,superorder,117893
161339,Rajiformes,order,7858
161339,Rajidae,family,30475
161339,Raja,genus,7780
161339,Raja radula,species,223860
161342,cellular organisms,no rank,131567
161342,Eukaryota,superkingdom,2759
161342,Opisthokonta,clade,33154
161342,Metazoa,kingdom,33208
161342,Eumetazoa,clade,6072
161342,Bilateria,clade,33213
161342,Deuterostomia,clade,33511
161342,Chordata,phylum,7711
161342,Craniata,subphylum,89593
161342,Vertebrata,clade,7742
161342,Gnathostomata,clade,7776
161342,Chondrichthyes,class,7777
161342,Elasmobranchii,subclass,7778
161342,Batoidea,superorder,117893
161342,Myliobatiformes,order,117851
161342,Urolophoidea,superfamily,1158984
161342,Gymnuridae,family,86359
161342,Gymnura,genus,86360
161342,Gymnura australis,species,334995
161345,cellular organisms,no rank,131567
161345,Eukaryota,superkingdom,2759
161345,Opisthokonta,clade,33154
161345,Metazoa,kingdom,33208
161345,Eumetazoa,clade,6072
161345,Bilateria,clade,33213
161345,Deuterostomia,clade,33511
161345,Chordata,phylum,7711
161345,Craniata,subphylum,89593
161345,Vertebrata,clade,7742
161345,Gnathostomata,clade,7776
161345,Chondrichthyes,class,7777
161345,Elasmobranchii,subclass,7778
161345,Batoidea,superorder,117893
161345,Rajiformes,order,7858
161345,Rajidae,family,30475
161345,Rajella,genus,117865
161345,Rajella bathyphila,species,906900
161346,cellular organisms,no rank,131567
161346,Eukaryota,superkingdom,2759
161346,Opisthokonta,clade,33154
161346,Metazoa,kingdom,33208
161346,Eumetazoa,clade,6072
161346,Bilateria,clade,33213
161346,Deuterostomia,clade,33511
161346,Chordata,phylum,7711
161346,Craniata,subphylum,89593
161346,Vertebrata,clade,7742
161346,Gnathostomata,clade,7776
161346,Chondrichthyes,class,7777
161346,Elasmobranchii,subclass,7778
161346,Batoidea,superorder,117893
161346,Torpediniformes,order,117888
161346,Narcinidae,family,40665
161346,Narcine,genus,195315
161346,Narcine westraliensis,species,495871
161349,cellular organisms,no rank,131567
161349,Eukaryota,superkingdom,2759
161349,Opisthokonta,clade,33154
161349,Metazoa,kingdom,33208
161349,Eumetazoa,clade,6072
161349,Bilateria,clade,33213
161349,Deuterostomia,clade,33511
161349,Chordata,phylum,7711
161349,Craniata,subphylum,89593
161349,Vertebrata,clade,7742
161349,Gnathostomata,clade,7776
161349,Chondrichthyes,class,7777
161349,Elasmobranchii,subclass,7778
161349,Batoidea,superorder,117893
161349,Torpediniformes,order,117888
161349,Narcinidae,family,40665
161349,Benthobatis,genus,1154677
161349,Benthobatis moresbyi,species,1507366
161350,cellular organisms,no rank,131567
161350,Eukaryota,superkingdom,2759
161350,Opisthokonta,clade,33154
161350,Metazoa,kingdom,33208
161350,Eumetazoa,clade,6072
161350,Bilateria,clade,33213
161350,Deuterostomia,clade,33511
161350,Chordata,phylum,7711
161350,Craniata,subphylum,89593
161350,Vertebrata,clade,7742
161350,Gnathostomata,clade,7776
161350,Chondrichthyes,class,7777
161350,Elasmobranchii,subclass,7778
