am_sid,name,rank,id
Fis-25064,cellular organisms,no rank,131567
Fis-25064,Eukaryota,superkingdom,2759
Fis-25064,Opisthokonta,clade,33154
Fis-25064,Metazoa,kingdom,33208
Fis-25064,Eumetazoa,clade,6072
Fis-25064,Bilateria,clade,33213
Fis-25064,Deuterostomia,clade,33511
Fis-25064,Chordata,phylum,7711
Fis-25064,Craniata,subphylum,89593
Fis-25064,Vertebrata,clade,7742
Fis-25064,Gnathostomata,clade,7776
Fis-25064,Teleostomi,clade,117570
Fis-25064,Euteleostomi,clade,117571
Fis-25064,Actinopterygii,superclass,7898
Fis-25064,Actinopteri,class,186623
Fis-25064,Neopterygii,subclass,41665
Fis-25064,Teleostei,infraclass,32443
Fis-25064,Osteoglossocephalai,clade,1489341
Fis-25064,Clupeocephala,no rank,186625
Fis-25064,Euteleosteomorpha,cohort,1489388
Fis-25064,Neoteleostei,clade,123365
Fis-25064,Eurypterygia,clade,123366
Fis-25064,Ctenosquamata,clade,123367
Fis-25064,Acanthomorphata,clade,123368
Fis-25064,Euacanthomorphacea,clade,123369
Fis-25064,Percomorphaceae,clade,1489872
Fis-25064,Gobiaria,clade,1489875
Fis-25064,Gobiiformes,order,1489878
Fis-25064,Gobioidei,suborder,8219
Fis-25064,Gobiidae,family,8220
Fis-25064,Gobiinae,subfamily,497223
Fis-25064,Istigobius,genus,150305
Fis-25064,Istigobius campbelli,species,1231921
Fis-25061,cellular organisms,no rank,131567
Fis-25061,Eukaryota,superkingdom,2759
Fis-25061,Opisthokonta,clade,33154
Fis-25061,Metazoa,kingdom,33208
Fis-25061,Eumetazoa,clade,6072
Fis-25061,Bilateria,clade,33213
Fis-25061,Deuterostomia,clade,33511
Fis-25061,Chordata,phylum,7711
Fis-25061,Craniata,subphylum,89593
Fis-25061,Vertebrata,clade,7742
Fis-25061,Gnathostomata,clade,7776
Fis-25061,Teleostomi,clade,117570
Fis-25061,Euteleostomi,clade,117571
Fis-25061,Actinopterygii,superclass,7898
Fis-25061,Actinopteri,class,186623
Fis-25061,Neopterygii,subclass,41665
Fis-25061,Teleostei,infraclass,32443
Fis-25061,Osteoglossocephalai,clade,1489341
Fis-25061,Clupeocephala,no rank,186625
Fis-25061,Euteleosteomorpha,cohort,1489388
Fis-25061,Neoteleostei,clade,123365
Fis-25061,Eurypterygia,clade,123366
Fis-25061,Ctenosquamata,clade,123367
Fis-25061,Acanthomorphata,clade,123368
Fis-25061,Euacanthomorphacea,clade,123369
Fis-25061,Percomorphaceae,clade,1489872
Fis-25061,Gobiaria,clade,1489875
Fis-25061,Gobiiformes,order,1489878
Fis-25061,Gobioidei,suborder,8219
Fis-25061,Gobiidae,family,8220
Fis-25061,Gobiinae,subfamily,497223
Fis-25061,Istigobius,genus,150305
Fis-25061,Istigobius decoratus,species,990223
Fis-23631,cellular organisms,no rank,131567
Fis-23631,Eukaryota,superkingdom,2759
Fis-23631,Opisthokonta,clade,33154
Fis-23631,Metazoa,kingdom,33208
Fis-23631,Eumetazoa,clade,6072
Fis-23631,Bilateria,clade,33213
Fis-23631,Deuterostomia,clade,33511
Fis-23631,Chordata,phylum,7711
Fis-23631,Craniata,subphylum,89593
Fis-23631,Vertebrata,clade,7742
Fis-23631,Gnathostomata,clade,7776
Fis-23631,Teleostomi,clade,117570
Fis-23631,Euteleostomi,clade,117571
Fis-23631,Actinopterygii,superclass,7898
Fis-23631,Actinopteri,class,186623
Fis-23631,Neopterygii,subclass,41665
Fis-23631,Teleostei,infraclass,32443
Fis-23631,Osteoglossocephalai,clade,1489341
Fis-23631,Clupeocephala,no rank,186625
Fis-23631,Euteleosteomorpha,cohort,1489388
Fis-23631,Neoteleostei,clade,123365
Fis-23631,Eurypterygia,clade,123366
Fis-23631,Ctenosquamata,clade,123367
Fis-23631,Acanthomorphata,clade,123368
Fis-23631,Euacanthomorphacea,clade,123369
Fis-23631,Percomorphaceae,clade,1489872
Fis-23631,Gobiaria,clade,1489875
Fis-23631,Gobiiformes,order,1489878
Fis-23631,Gobioidei,suborder,8219
Fis-23631,Gobiidae,family,8220
Fis-23631,Gobiinae,subfamily,497223
Fis-23631,Istigobius,genus,150305
Fis-23631,Istigobius hoshinonis,species,1529050
Fis-25059,cellular organisms,no rank,131567
Fis-25059,Eukaryota,superkingdom,2759
Fis-25059,Opisthokonta,clade,33154
Fis-25059,Metazoa,kingdom,33208
Fis-25059,Eumetazoa,clade,6072
Fis-25059,Bilateria,clade,33213
Fis-25059,Deuterostomia,clade,33511
Fis-25059,Chordata,phylum,7711
Fis-25059,Craniata,subphylum,89593
Fis-25059,Vertebrata,clade,7742
Fis-25059,Gnathostomata,clade,7776
Fis-25059,Teleostomi,clade,117570
Fis-25059,Euteleostomi,clade,117571
Fis-25059,Actinopterygii,superclass,7898
Fis-25059,Actinopteri,class,186623
Fis-25059,Neopterygii,subclass,41665
Fis-25059,Teleostei,infraclass,32443
Fis-25059,Osteoglossocephalai,clade,1489341
Fis-25059,Clupeocephala,no rank,186625
Fis-25059,Euteleosteomorpha,cohort,1489388
Fis-25059,Neoteleostei,clade,123365
Fis-25059,Eurypterygia,clade,123366
Fis-25059,Ctenosquamata,clade,123367
Fis-25059,Acanthomorphata,clade,123368
Fis-25059,Euacanthomorphacea,clade,123369
Fis-25059,Percomorphaceae,clade,1489872
Fis-25059,Gobiaria,clade,1489875
Fis-25059,Gobiiformes,order,1489878
Fis-25059,Gobioidei,suborder,8219
Fis-25059,Gobiidae,family,8220
Fis-25059,Gobiinae,subfamily,497223
Fis-25059,Istigobius,genus,150305
Fis-25059,Istigobius nigroocellatus,species,1365561
Fis-25056,cellular organisms,no rank,131567
Fis-25056,Eukaryota,superkingdom,2759
Fis-25056,Opisthokonta,clade,33154
Fis-25056,Metazoa,kingdom,33208
Fis-25056,Eumetazoa,clade,6072
Fis-25056,Bilateria,clade,33213
Fis-25056,Deuterostomia,clade,33511
Fis-25056,Chordata,phylum,7711
Fis-25056,Craniata,subphylum,89593
Fis-25056,Vertebrata,clade,7742
Fis-25056,Gnathostomata,clade,7776
Fis-25056,Teleostomi,clade,117570
Fis-25056,Euteleostomi,clade,117571
Fis-25056,Actinopterygii,superclass,7898
Fis-25056,Actinopteri,class,186623
Fis-25056,Neopterygii,subclass,41665
Fis-25056,Teleostei,infraclass,32443
Fis-25056,Osteoglossocephalai,clade,1489341
Fis-25056,Clupeocephala,no rank,186625
Fis-25056,Euteleosteomorpha,cohort,1489388
Fis-25056,Neoteleostei,clade,123365
Fis-25056,Eurypterygia,clade,123366
Fis-25056,Ctenosquamata,clade,123367
Fis-25056,Acanthomorphata,clade,123368
Fis-25056,Euacanthomorphacea,clade,123369
Fis-25056,Percomorphaceae,clade,1489872
Fis-25056,Gobiaria,clade,1489875
Fis-25056,Gobiiformes,order,1489878
Fis-25056,Gobioidei,suborder,8219
Fis-25056,Gobiidae,family,8220
Fis-25056,Gobiinae,subfamily,497223
Fis-25056,Istigobius,genus,150305
Fis-25056,Istigobius ornatus,species,1311454
Fis-25058,cellular organisms,no rank,131567
Fis-25058,Eukaryota,superkingdom,2759
Fis-25058,Opisthokonta,clade,33154
Fis-25058,Metazoa,kingdom,33208
Fis-25058,Eumetazoa,clade,6072
Fis-25058,Bilateria,clade,33213
Fis-25058,Deuterostomia,clade,33511
