iucn_sid,name,rank,id
173364,cellular organisms,no rank,131567
173364,Eukaryota,superkingdom,2759
173364,Viridiplantae,kingdom,33090
173364,Streptophyta,phylum,35493
173364,Streptophytina,subphylum,131221
173364,Embryophyta,clade,3193
173364,Tracheophyta,clade,58023
173364,Euphyllophyta,clade,78536
173364,Spermatophyta,clade,58024
173364,Magnoliopsida,class,3398
173364,Mesangiospermae,clade,1437183
173364,Liliopsida,clade,4447
173364,Alismatales,order,16360
173364,Hydrocharitaceae,family,26319
173364,Thalassia,genus,55495
173364,Thalassia hemprichii,species,55496
173366,cellular organisms,no rank,131567
173366,Eukaryota,superkingdom,2759
173366,Viridiplantae,kingdom,33090
173366,Streptophyta,phylum,35493
173366,Streptophytina,subphylum,131221
173366,Embryophyta,clade,3193
173366,Tracheophyta,clade,58023
173366,Euphyllophyta,clade,78536
173366,Spermatophyta,clade,58024
173366,Magnoliopsida,class,3398
173366,Mesangiospermae,clade,1437183
173366,Liliopsida,clade,4447
173366,Alismatales,order,16360
173366,Zosteraceae,family,27254
173366,Phyllospadix,genus,55485
173366,Phyllospadix serrulatus,species,2072979
173367,cellular organisms,no rank,131567
173367,Eukaryota,superkingdom,2759
173367,Viridiplantae,kingdom,33090
173367,Streptophyta,phylum,35493
173367,Streptophytina,subphylum,131221
173367,Embryophyta,clade,3193
173367,Tracheophyta,clade,58023
173367,Euphyllophyta,clade,78536
173367,Spermatophyta,clade,58024
173367,Magnoliopsida,class,3398
173367,Mesangiospermae,clade,1437183
173367,Liliopsida,clade,4447
173367,Alismatales,order,16360
173367,Zosteraceae,family,27254
173367,Phyllospadix,genus,55485
173367,Phyllospadix scouleri,species,403039
173368,cellular organisms,no rank,131567
173368,Eukaryota,superkingdom,2759
173368,Viridiplantae,kingdom,33090
173368,Streptophyta,phylum,35493
173368,Streptophytina,subphylum,131221
173368,Embryophyta,clade,3193
173368,Tracheophyta,clade,58023
173368,Euphyllophyta,clade,78536
173368,Spermatophyta,clade,58024
173368,Magnoliopsida,class,3398
173368,Mesangiospermae,clade,1437183
173368,Liliopsida,clade,4447
173368,Alismatales,order,16360
173368,Hydrocharitaceae,family,26319
173368,Halophila,genus,55458
173368,Halophila ovata,species,1150872
173369,cellular organisms,no rank,131567
173369,Eukaryota,superkingdom,2759
173369,Viridiplantae,kingdom,33090
173369,Streptophyta,phylum,35493
173369,Streptophytina,subphylum,131221
173369,Embryophyta,clade,3193
173369,Tracheophyta,clade,58023
173369,Euphyllophyta,clade,78536
173369,Spermatophyta,clade,58024
173369,Magnoliopsida,class,3398
