am_sid,name,rank,id
Fis-31591,cellular organisms,no rank,131567
Fis-31591,Eukaryota,superkingdom,2759
Fis-31591,Opisthokonta,clade,33154
Fis-31591,Metazoa,kingdom,33208
Fis-31591,Eumetazoa,clade,6072
Fis-31591,Bilateria,clade,33213
Fis-31591,Deuterostomia,clade,33511
Fis-31591,Chordata,phylum,7711
Fis-31591,Craniata,subphylum,89593
Fis-31591,Vertebrata,clade,7742
Fis-31591,Gnathostomata,clade,7776
Fis-31591,Chondrichthyes,class,7777
Fis-31591,Elasmobranchii,subclass,7778
Fis-31591,Selachii,infraclass,119203
Fis-31591,Galeomorphii,clade,119197
Fis-31591,Galeoidea,superorder,119195
Fis-31591,Carcharhiniformes,order,30483
Fis-31591,Triakidae,family,7839
Fis-31591,Mustelus,genus,7811
Fis-31591,Mustelus higmani,species,1777961
Fis-31592,cellular organisms,no rank,131567
Fis-31592,Eukaryota,superkingdom,2759
Fis-31592,Opisthokonta,clade,33154
Fis-31592,Metazoa,kingdom,33208
Fis-31592,Eumetazoa,clade,6072
Fis-31592,Bilateria,clade,33213
Fis-31592,Deuterostomia,clade,33511
Fis-31592,Chordata,phylum,7711
Fis-31592,Craniata,subphylum,89593
Fis-31592,Vertebrata,clade,7742
Fis-31592,Gnathostomata,clade,7776
Fis-31592,Chondrichthyes,class,7777
Fis-31592,Elasmobranchii,subclass,7778
Fis-31592,Selachii,infraclass,119203
Fis-31592,Galeomorphii,clade,119197
Fis-31592,Galeoidea,superorder,119195
Fis-31592,Carcharhiniformes,order,30483
Fis-31592,Triakidae,family,7839
Fis-31592,Mustelus,genus,7811
Fis-31592,Mustelus lenticulatus,species,335034
Fis-30324,cellular organisms,no rank,131567
Fis-30324,Eukaryota,superkingdom,2759
Fis-30324,Opisthokonta,clade,33154
Fis-30324,Metazoa,kingdom,33208
Fis-30324,Eumetazoa,clade,6072
Fis-30324,Bilateria,clade,33213
Fis-30324,Deuterostomia,clade,33511
Fis-30324,Chordata,phylum,7711
Fis-30324,Craniata,subphylum,89593
Fis-30324,Vertebrata,clade,7742
Fis-30324,Gnathostomata,clade,7776
Fis-30324,Chondrichthyes,class,7777
Fis-30324,Elasmobranchii,subclass,7778
Fis-30324,Selachii,infraclass,119203
Fis-30324,Galeomorphii,clade,119197
Fis-30324,Galeoidea,superorder,119195
Fis-30324,Carcharhiniformes,order,30483
Fis-30324,Triakidae,family,7839
Fis-30324,Mustelus,genus,7811
Fis-30324,Mustelus lunulatus,species,689952
Fis-31600,cellular organisms,no rank,131567
Fis-31600,Eukaryota,superkingdom,2759
Fis-31600,Opisthokonta,clade,33154
Fis-31600,Metazoa,kingdom,33208
Fis-31600,Eumetazoa,clade,6072
Fis-31600,Bilateria,clade,33213
Fis-31600,Deuterostomia,clade,33511
Fis-31600,Chordata,phylum,7711
Fis-31600,Craniata,subphylum,89593
Fis-31600,Vertebrata,clade,7742
Fis-31600,Gnathostomata,clade,7776
Fis-31600,Chondrichthyes,class,7777
Fis-31600,Elasmobranchii,subclass,7778
Fis-31600,Selachii,infraclass,119203
Fis-31600,Galeomorphii,clade,119197
Fis-31600,Galeoidea,superorder,119195
Fis-31600,Carcharhiniformes,order,30483
Fis-31600,Triakidae,family,7839
Fis-31600,Mustelus,genus,7811
Fis-31600,Mustelus manazo,species,79736
Fis-31593,cellular organisms,no rank,131567
Fis-31593,Eukaryota,superkingdom,2759
Fis-31593,Opisthokonta,clade,33154
Fis-31593,Metazoa,kingdom,33208
Fis-31593,Eumetazoa,clade,6072
Fis-31593,Bilateria,clade,33213
Fis-31593,Deuterostomia,clade,33511
Fis-31593,Chordata,phylum,7711
Fis-31593,Craniata,subphylum,89593
Fis-31593,Vertebrata,clade,7742
Fis-31593,Gnathostomata,clade,7776
Fis-31593,Chondrichthyes,class,7777
Fis-31593,Elasmobranchii,subclass,7778
Fis-31593,Selachii,infraclass,119203
Fis-31593,Galeomorphii,clade,119197
Fis-31593,Galeoidea,superorder,119195
Fis-31593,Carcharhiniformes,order,30483
Fis-31593,Triakidae,family,7839
Fis-31593,Mustelus,genus,7811
Fis-31593,Mustelus mento,species,1324628
Fis-25412,cellular organisms,no rank,131567
Fis-25412,Eukaryota,superkingdom,2759
Fis-25412,Opisthokonta,clade,33154
Fis-25412,Metazoa,kingdom,33208
Fis-25412,Eumetazoa,clade,6072
Fis-25412,Bilateria,clade,33213
Fis-25412,Deuterostomia,clade,33511
Fis-25412,Chordata,phylum,7711
Fis-25412,Craniata,subphylum,89593
Fis-25412,Vertebrata,clade,7742
