am_sid,name,rank,id
W-Msc-140590,cellular organisms,no rank,131567
W-Msc-140590,Eukaryota,superkingdom,2759
W-Msc-140590,Opisthokonta,clade,33154
W-Msc-140590,Metazoa,kingdom,33208
W-Msc-140590,Eumetazoa,clade,6072
W-Msc-140590,Bilateria,clade,33213
W-Msc-140590,Protostomia,clade,33317
W-Msc-140590,Spiralia,clade,2697495
W-Msc-140590,Lophotrochozoa,clade,1206795
W-Msc-140590,Mollusca,phylum,6447
W-Msc-140590,Bivalvia,class,6544
W-Msc-140590,Protobranchia,subclass,45493
W-Msc-140590,Nuculoida,order,47126
W-Msc-140590,Nuculidae,family,47127
W-Msc-140590,Nucula,genus,47128
W-Msc-140590,Nucula nucleus,species,47129
W-Msc-156916,cellular organisms,no rank,131567
W-Msc-156916,Eukaryota,superkingdom,2759
W-Msc-156916,Opisthokonta,clade,33154
W-Msc-156916,Metazoa,kingdom,33208
W-Msc-156916,Eumetazoa,clade,6072
W-Msc-156916,Bilateria,clade,33213
W-Msc-156916,Protostomia,clade,33317
W-Msc-156916,Spiralia,clade,2697495
W-Msc-156916,Lophotrochozoa,clade,1206795
W-Msc-156916,Mollusca,phylum,6447
W-Msc-156916,Bivalvia,class,6544
W-Msc-156916,Protobranchia,subclass,45493
W-Msc-156916,Nuculoida,order,47126
W-Msc-156916,Nuculidae,family,47127
W-Msc-156916,Nucula,genus,47128
W-Msc-156916,Nucula proxima,species,61334
W-Msc-140592,cellular organisms,no rank,131567
W-Msc-140592,Eukaryota,superkingdom,2759
W-Msc-140592,Opisthokonta,clade,33154
W-Msc-140592,Metazoa,kingdom,33208
W-Msc-140592,Eumetazoa,clade,6072
W-Msc-140592,Bilateria,clade,33213
W-Msc-140592,Protostomia,clade,33317
W-Msc-140592,Spiralia,clade,2697495
W-Msc-140592,Lophotrochozoa,clade,1206795
W-Msc-140592,Mollusca,phylum,6447
W-Msc-140592,Bivalvia,class,6544
W-Msc-140592,Protobranchia,subclass,45493
W-Msc-140592,Nuculoida,order,47126
W-Msc-140592,Nuculidae,family,47127
W-Msc-140592,Nucula,genus,47128
W-Msc-140592,Nucula sulcata,species,120443
SLB-103251,cellular organisms,no rank,131567
SLB-103251,Eukaryota,superkingdom,2759
SLB-103251,Opisthokonta,clade,33154
SLB-103251,Metazoa,kingdom,33208
SLB-103251,Eumetazoa,clade,6072
SLB-103251,Bilateria,clade,33213
SLB-103251,Protostomia,clade,33317
SLB-103251,Spiralia,clade,2697495
SLB-103251,Lophotrochozoa,clade,1206795
SLB-103251,Mollusca,phylum,6447
SLB-103251,Bivalvia,class,6544
SLB-103251,Protobranchia,subclass,45493
SLB-103251,Nuculanoida,order,856330
SLB-103251,Nuculanidae,family,61335
SLB-103251,Nuculana,genus,102325
SLB-103251,Nuculana inaequisculpta,species,2738909
W-Msc-140579,cellular organisms,no rank,131567
W-Msc-140579,Eukaryota,superkingdom,2759
W-Msc-140579,Opisthokonta,clade,33154
W-Msc-140579,Metazoa,kingdom,33208
W-Msc-140579,Eumetazoa,clade,6072
W-Msc-140579,Bilateria,clade,33213
W-Msc-140579,Protostomia,clade,33317
W-Msc-140579,Spiralia,clade,2697495
W-Msc-140579,Lophotrochozoa,clade,1206795
W-Msc-140579,Mollusca,phylum,6447
W-Msc-140579,Bivalvia,class,6544
W-Msc-140579,Protobranchia,subclass,45493
W-Msc-140579,Nuculanoida,order,856330
W-Msc-140579,Nuculanidae,family,61335
W-Msc-140579,Nuculana,genus,102325
W-Msc-140579,Nuculana pernula,species,129185
W-Msc-156923,cellular organisms,no rank,131567
W-Msc-156923,Eukaryota,superkingdom,2759
W-Msc-156923,Opisthokonta,clade,33154
W-Msc-156923,Metazoa,kingdom,33208
W-Msc-156923,Eumetazoa,clade,6072
W-Msc-156923,Bilateria,clade,33213
W-Msc-156923,Protostomia,clade,33317
W-Msc-156923,Spiralia,clade,2697495
W-Msc-156923,Lophotrochozoa,clade,1206795
W-Msc-156923,Mollusca,phylum,6447
W-Msc-156923,Bivalvia,class,6544
W-Msc-156923,Protobranchia,subclass,45493
W-Msc-156923,Nuculanoida,order,856330
W-Msc-156923,Nuculanidae,family,61335
W-Msc-156923,Nuculana,genus,102325
W-Msc-156923,Nuculana tenuisulcata,species,2461471
ITS-176599,cellular organisms,no rank,131567
ITS-176599,Eukaryota,superkingdom,2759
ITS-176599,Opisthokonta,clade,33154
ITS-176599,Metazoa,kingdom,33208
ITS-176599,Eumetazoa,clade,6072
ITS-176599,Bilateria,clade,33213
ITS-176599,Deuterostomia,clade,33511
ITS-176599,Chordata,phylum,7711
ITS-176599,Craniata,subphylum,89593
ITS-176599,Vertebrata,clade,7742
ITS-176599,Gnathostomata,clade,7776
ITS-176599,Teleostomi,clade,117570
ITS-176599,Euteleostomi,clade,117571
ITS-176599,Sarcopterygii,superclass,8287
ITS-176599,Dipnotetrapodomorpha,clade,1338369
ITS-176599,Tetrapoda,clade,32523
ITS-176599,Amniota,clade,32524
ITS-176599,Sauropsida,clade,8457
ITS-176599,Sauria,clade,32561
ITS-176599,Archelosauria,clade,1329799
ITS-176599,Archosauria,clade,8492
ITS-176599,Dinosauria,clade,436486
ITS-176599,Saurischia,clade,436489
ITS-176599,Theropoda,clade,436491
ITS-176599,Coelurosauria,clade,436492
ITS-176599,Aves,class,8782
ITS-176599,Neognathae,infraclass,8825
ITS-176599,Charadriiformes,order,8906
ITS-176599,Scolopacidae,family,8917
ITS-176599,Numenius,genus,32638
ITS-176599,Numenius phaeopus,species,161676
ITS-552958,cellular organisms,no rank,131567
ITS-552958,Eukaryota,superkingdom,2759
ITS-552958,Opisthokonta,clade,33154
ITS-552958,Metazoa,kingdom,33208
ITS-552958,Eumetazoa,clade,6072
ITS-552958,Bilateria,clade,33213
ITS-552958,Protostomia,clade,33317
ITS-552958,Ecdysozoa,clade,1206794
ITS-552958,Panarthropoda,clade,88770
ITS-552958,Arthropoda,phylum,6656
ITS-552958,Mandibulata,clade,197563
ITS-552958,Pancrustacea,clade,197562
ITS-552958,Crustacea,subphylum,6657
ITS-552958,Multicrustacea,superclass,2172821
ITS-552958,Malacostraca,class,6681
ITS-552958,Eumalacostraca,subclass,72041
ITS-552958,Eucarida,superorder,6682
ITS-552958,Decapoda,order,6683
ITS-552958,Pleocyemata,suborder,6692
ITS-552958,Achelata,infraorder,6730
ITS-552958,Palinuroidea,superfamily,115587
ITS-552958,Palinuridae,family,6731
ITS-552958,Nupalirus,genus,1522740
ITS-552958,Nupalirus japonicus,species,1522741
SLB-170315,cellular organisms,no rank,131567
SLB-170315,Eukaryota,superkingdom,2759
SLB-170315,Opisthokonta,clade,33154
SLB-170315,Metazoa,kingdom,33208
SLB-170315,Eumetazoa,clade,6072
SLB-170315,Bilateria,clade,33213
SLB-170315,Protostomia,clade,33317
SLB-170315,Ecdysozoa,clade,1206794
SLB-170315,Panarthropoda,clade,88770
SLB-170315,Arthropoda,phylum,6656
SLB-170315,Mandibulata,clade,197563
SLB-170315,Pancrustacea,clade,197562
SLB-170315,Crustacea,subphylum,6657
SLB-170315,Multicrustacea,superclass,2172821
SLB-170315,Malacostraca,class,6681
SLB-170315,Eumalacostraca,subclass,72041
SLB-170315,Eucarida,superorder,6682
SLB-170315,Decapoda,order,6683
SLB-170315,Pleocyemata,suborder,6692
SLB-170315,Achelata,infraorder,6730
SLB-170315,Palinuroidea,superfamily,115587
SLB-170315,Palinuridae,family,6731
SLB-170315,Nupalirus,genus,1522740
SLB-170315,Nupalirus vericeli,species,643252
W-Msc-507789,cellular organisms,no rank,131567
W-Msc-507789,Eukaryota,superkingdom,2759
W-Msc-507789,Opisthokonta,clade,33154
W-Msc-507789,Metazoa,kingdom,33208
W-Msc-507789,Eumetazoa,clade,6072
W-Msc-507789,Bilateria,clade,33213
W-Msc-507789,Protostomia,clade,33317
W-Msc-507789,Spiralia,clade,2697495
W-Msc-507789,Lophotrochozoa,clade,1206795
W-Msc-507789,Mollusca,phylum,6447
W-Msc-507789,Bivalvia,class,6544
W-Msc-507789,Heterodonta,subclass,6599
W-Msc-507789,Euheterodonta,infraclass,735337
W-Msc-507789,Veneroida,order,6580
W-Msc-507789,Veneroidea,superfamily,74489
W-Msc-507789,Veneridae,family,6592
W-Msc-507789,Nutricola,genus,220385
W-Msc-507789,Nutricola tantilla,species,282298
