iucn_sid,name,rank,id
187506,cellular organisms,no rank,131567
187506,Eukaryota,superkingdom,2759
187506,Opisthokonta,clade,33154
187506,Metazoa,kingdom,33208
187506,Eumetazoa,clade,6072
187506,Bilateria,clade,33213
187506,Deuterostomia,clade,33511
187506,Chordata,phylum,7711
187506,Craniata,subphylum,89593
187506,Vertebrata,clade,7742
187506,Gnathostomata,clade,7776
187506,Teleostomi,clade,117570
187506,Euteleostomi,clade,117571
187506,Actinopterygii,superclass,7898
187506,Actinopteri,class,186623
187506,Neopterygii,subclass,41665
187506,Teleostei,infraclass,32443
187506,Osteoglossocephalai,clade,1489341
187506,Clupeocephala,no rank,186625
187506,Euteleosteomorpha,cohort,1489388
187506,Neoteleostei,clade,123365
187506,Eurypterygia,clade,123366
187506,Ctenosquamata,clade,123367
187506,Acanthomorphata,clade,123368
187506,Euacanthomorphacea,clade,123369
187506,Percomorphaceae,clade,1489872
187506,Eupercaria,clade,1489922
187506,Labriformes,order,1489928
187506,Labridae,family,8247
187506,Bodianus,genus,241267
187506,Bodianus frenchii,species,2609488
187507,cellular organisms,no rank,131567
187507,Eukaryota,superkingdom,2759
187507,Opisthokonta,clade,33154
187507,Metazoa,kingdom,33208
187507,Eumetazoa,clade,6072
187507,Bilateria,clade,33213
187507,Deuterostomia,clade,33511
187507,Chordata,phylum,7711
187507,Craniata,subphylum,89593
187507,Vertebrata,clade,7742
187507,Gnathostomata,clade,7776
187507,Teleostomi,clade,117570
187507,Euteleostomi,clade,117571
187507,Actinopterygii,superclass,7898
187507,Actinopteri,class,186623
187507,Neopterygii,subclass,41665
187507,Teleostei,infraclass,32443
187507,Osteoglossocephalai,clade,1489341
187507,Clupeocephala,no rank,186625
187507,Euteleosteomorpha,cohort,1489388
187507,Neoteleostei,clade,123365
187507,Eurypterygia,clade,123366
187507,Ctenosquamata,clade,123367
187507,Acanthomorphata,clade,123368
187507,Euacanthomorphacea,clade,123369
187507,Percomorphaceae,clade,1489872
187507,Eupercaria,clade,1489922
187507,Labriformes,order,1489928
187507,Labridae,family,8247
187507,Halichoeres,genus,51788
187507,Halichoeres richmondi,species,317491
187509,cellular organisms,no rank,131567
187509,Eukaryota,superkingdom,2759
187509,Opisthokonta,clade,33154
187509,Metazoa,kingdom,33208
187509,Eumetazoa,clade,6072
187509,Bilateria,clade,33213
187509,Deuterostomia,clade,33511
187509,Chordata,phylum,7711
187509,Craniata,subphylum,89593
187509,Vertebrata,clade,7742
187509,Gnathostomata,clade,7776
187509,Teleostomi,clade,117570
187509,Euteleostomi,clade,117571
187509,Actinopterygii,superclass,7898
187509,Actinopteri,class,186623
187509,Neopterygii,subclass,41665
187509,Teleostei,infraclass,32443
187509,Osteoglossocephalai,clade,1489341
187509,Clupeocephala,no rank,186625
187509,Euteleosteomorpha,cohort,1489388
187509,Neoteleostei,clade,123365
187509,Eurypterygia,clade,123366
187509,Ctenosquamata,clade,123367
187509,Acanthomorphata,clade,123368
187509,Euacanthomorphacea,clade,123369
187509,Percomorphaceae,clade,1489872
187509,Eupercaria,clade,1489922
187509,Labriformes,order,1489928
187509,Labridae,family,8247
187509,Bodianus,genus,241267
187509,Bodianus solatus,species,1328953
187511,cellular organisms,no rank,131567
187511,Eukaryota,superkingdom,2759
187511,Opisthokonta,clade,33154
187511,Metazoa,kingdom,33208
187511,Eumetazoa,clade,6072
187511,Bilateria,clade,33213
187511,Deuterostomia,clade,33511
187511,Chordata,phylum,7711
187511,Craniata,subphylum,89593
187511,Vertebrata,clade,7742
187511,Gnathostomata,clade,7776
187511,Teleostomi,clade,117570
