category,sub_category,spp_gp,trait_val,sheet
physiological tolerance breadths,sensitivity to wave energy (physical forcing),Architeuthis dux,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),"if one/few, size",Architeuthis dux,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),sub-population dependence on particular sites,Architeuthis dux,na,cephalopods
foraging range,"if one/few, size",Architeuthis dux,na,cephalopods
foraging range,sub-population dependence on particular sites,Architeuthis dux,na,cephalopods
physiological tolerance breadths,sensitivity to wave energy (physical forcing),Alluroteuthis antarctica,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),"if one/few, size",Alluroteuthis antarctica,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),sub-population dependence on particular sites,Alluroteuthis antarctica,na,cephalopods
foraging range,"if one/few, size",Alluroteuthis antarctica,na,cephalopods
foraging range,sub-population dependence on particular sites,Alluroteuthis antarctica,na,cephalopods
physiological tolerance breadths,sensitivity to wave energy (physical forcing),Neoteuthis thielei,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),"if one/few, size",Neoteuthis thielei,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),sub-population dependence on particular sites,Neoteuthis thielei,na,cephalopods
foraging range,"if one/few, size",Neoteuthis thielei,na,cephalopods
foraging range,sub-population dependence on particular sites,Neoteuthis thielei,na,cephalopods
physiological tolerance breadths,sensitivity to wave energy (physical forcing),Neoteuthis dimegacotyle,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),"if one/few, size",Neoteuthis dimegacotyle,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),sub-population dependence on particular sites,Neoteuthis dimegacotyle,na,cephalopods
foraging range,"if one/few, size",Neoteuthis dimegacotyle,na,cephalopods
foraging range,sub-population dependence on particular sites,Neoteuthis dimegacotyle,na,cephalopods
physiological tolerance breadths,sensitivity to wave energy (physical forcing),Narrowteuthis nesisi,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),"if one/few, size",Narrowteuthis nesisi,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),sub-population dependence on particular sites,Narrowteuthis nesisi,na,cephalopods
foraging range,"if one/few, size",Narrowteuthis nesisi,na,cephalopods
foraging range,sub-population dependence on particular sites,Narrowteuthis nesisi,na,cephalopods
physiological tolerance breadths,sensitivity to wave energy (physical forcing),Brachioteuthis,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),"if one/few, size",Brachioteuthis,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),sub-population dependence on particular sites,Brachioteuthis,na,cephalopods
foraging range,"if one/few, size",Brachioteuthis,na,cephalopods
foraging range,sub-population dependence on particular sites,Brachioteuthis,na,cephalopods
physiological tolerance breadths,sensitivity to wave energy (physical forcing),Slosarczykovia circumantarctica,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),"if one/few, size",Slosarczykovia circumantarctica,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),sub-population dependence on particular sites,Slosarczykovia circumantarctica,na,cephalopods
foraging range,"if one/few, size",Slosarczykovia circumantarctica,na,cephalopods
foraging range,sub-population dependence on particular sites,Slosarczykovia circumantarctica,na,cephalopods
physiological tolerance breadths,sensitivity to wave energy (physical forcing),Batoteuthis skolops,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),"if one/few, size",Batoteuthis skolops,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),sub-population dependence on particular sites,Batoteuthis skolops,na,cephalopods
foraging range,"if one/few, size",Batoteuthis skolops,na,cephalopods
foraging range,sub-population dependence on particular sites,Batoteuthis skolops,na,cephalopods
physiological tolerance breadths,sensitivity to wave energy (physical forcing),Asperoteuthis,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),"if one/few, size",Asperoteuthis,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),sub-population dependence on particular sites,Asperoteuthis,na,cephalopods
foraging range,"if one/few, size",Asperoteuthis,na,cephalopods
foraging range,sub-population dependence on particular sites,Asperoteuthis,na,cephalopods
physiological tolerance breadths,sensitivity to wave energy (physical forcing),Chiroteuthis,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),"if one/few, size",Chiroteuthis,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),sub-population dependence on particular sites,Chiroteuthis,na,cephalopods
foraging range,"if one/few, size",Chiroteuthis,na,cephalopods
foraging range,sub-population dependence on particular sites,Chiroteuthis,na,cephalopods
physiological tolerance breadths,sensitivity to wave energy (physical forcing),Grimalditeuthis,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),"if one/few, size",Grimalditeuthis,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),sub-population dependence on particular sites,Grimalditeuthis,na,cephalopods
foraging range,"if one/few, size",Grimalditeuthis,na,cephalopods
foraging range,sub-population dependence on particular sites,Grimalditeuthis,na,cephalopods
physiological tolerance breadths,sensitivity to wave energy (physical forcing),Planctoteuthis,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),"if one/few, size",Planctoteuthis,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),sub-population dependence on particular sites,Planctoteuthis,na,cephalopods
foraging range,"if one/few, size",Planctoteuthis,na,cephalopods
foraging range,sub-population dependence on particular sites,Planctoteuthis,na,cephalopods
physiological tolerance breadths,sensitivity to wave energy (physical forcing),Joubiniteuthis portieri,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),"if one/few, size",Joubiniteuthis portieri,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),sub-population dependence on particular sites,Joubiniteuthis portieri,na,cephalopods
foraging range,"if one/few, size",Joubiniteuthis portieri,na,cephalopods
foraging range,sub-population dependence on particular sites,Joubiniteuthis portieri,na,cephalopods
physiological tolerance breadths,sensitivity to wave energy (physical forcing),Magnapinna,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),"if one/few, size",Magnapinna,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),sub-population dependence on particular sites,Magnapinna,na,cephalopods
foraging range,"if one/few, size",Magnapinna,na,cephalopods
foraging range,sub-population dependence on particular sites,Magnapinna,na,cephalopods
physiological tolerance breadths,sensitivity to wave energy (physical forcing),Mastigoteuthis s.l.,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),"if one/few, size",Mastigoteuthis s.l.,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),sub-population dependence on particular sites,Mastigoteuthis s.l.,na,cephalopods
foraging range,"if one/few, size",Mastigoteuthis s.l.,na,cephalopods
foraging range,sub-population dependence on particular sites,Mastigoteuthis s.l.,na,cephalopods
physiological tolerance breadths,sensitivity to wave energy (physical forcing),Promachoteuthis,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),"if one/few, size",Promachoteuthis,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),sub-population dependence on particular sites,Promachoteuthis,na,cephalopods
foraging range,"if one/few, size",Promachoteuthis,na,cephalopods
foraging range,sub-population dependence on particular sites,Promachoteuthis,na,cephalopods
physiological tolerance breadths,sensitivity to wave energy (physical forcing),Liocranchia,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),"if one/few, size",Liocranchia,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),sub-population dependence on particular sites,Liocranchia,na,cephalopods
foraging range,"if one/few, size",Liocranchia,na,cephalopods
foraging range,sub-population dependence on particular sites,Liocranchia,na,cephalopods
physiological tolerance breadths,sensitivity to wave energy (physical forcing),Cranchia scabra,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),"if one/few, size",Cranchia scabra,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),sub-population dependence on particular sites,Cranchia scabra,na,cephalopods
foraging range,"if one/few, size",Cranchia scabra,na,cephalopods
foraging range,sub-population dependence on particular sites,Cranchia scabra,na,cephalopods
physiological tolerance breadths,sensitivity to wave energy (physical forcing),Leachia,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),"if one/few, size",Leachia,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),sub-population dependence on particular sites,Leachia,na,cephalopods
foraging range,"if one/few, size",Leachia,na,cephalopods
foraging range,sub-population dependence on particular sites,Leachia,na,cephalopods
physiological tolerance breadths,sensitivity to wave energy (physical forcing),Bathothauma lyromma,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),"if one/few, size",Bathothauma lyromma,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),sub-population dependence on particular sites,Bathothauma lyromma,na,cephalopods
foraging range,"if one/few, size",Bathothauma lyromma,na,cephalopods
foraging range,sub-population dependence on particular sites,Bathothauma lyromma,na,cephalopods
physiological tolerance breadths,sensitivity to wave energy (physical forcing),Helicocranchia,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),"if one/few, size",Helicocranchia,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),sub-population dependence on particular sites,Helicocranchia,na,cephalopods
foraging range,"if one/few, size",Helicocranchia,na,cephalopods
foraging range,sub-population dependence on particular sites,Helicocranchia,na,cephalopods
physiological tolerance breadths,sensitivity to wave energy (physical forcing),Sandalops melancholicus,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),"if one/few, size",Sandalops melancholicus,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),sub-population dependence on particular sites,Sandalops melancholicus,na,cephalopods
foraging range,"if one/few, size",Sandalops melancholicus,na,cephalopods
foraging range,sub-population dependence on particular sites,Sandalops melancholicus,na,cephalopods
physiological tolerance breadths,sensitivity to wave energy (physical forcing),Liguriella podophtalma,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),"if one/few, size",Liguriella podophtalma,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),sub-population dependence on particular sites,Liguriella podophtalma,na,cephalopods
foraging range,"if one/few, size",Liguriella podophtalma,na,cephalopods
foraging range,sub-population dependence on particular sites,Liguriella podophtalma,na,cephalopods
physiological tolerance breadths,sensitivity to wave energy (physical forcing),Mesonychoteuthis hamiltoni,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),"if one/few, size",Mesonychoteuthis hamiltoni,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),sub-population dependence on particular sites,Mesonychoteuthis hamiltoni,na,cephalopods
foraging range,"if one/few, size",Mesonychoteuthis hamiltoni,na,cephalopods
foraging range,sub-population dependence on particular sites,Mesonychoteuthis hamiltoni,na,cephalopods
physiological tolerance breadths,sensitivity to wave energy (physical forcing),Galiteuthis,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),"if one/few, size",Galiteuthis,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),sub-population dependence on particular sites,Galiteuthis,na,cephalopods
foraging range,"if one/few, size",Galiteuthis,na,cephalopods
foraging range,sub-population dependence on particular sites,Galiteuthis,na,cephalopods
physiological tolerance breadths,sensitivity to wave energy (physical forcing),Galiteuthis glacialis,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),"if one/few, size",Galiteuthis glacialis,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),sub-population dependence on particular sites,Galiteuthis glacialis,na,cephalopods
foraging range,"if one/few, size",Galiteuthis glacialis,na,cephalopods
foraging range,sub-population dependence on particular sites,Galiteuthis glacialis,na,cephalopods
physiological tolerance breadths,sensitivity to wave energy (physical forcing),Taonius,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),"if one/few, size",Taonius,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),sub-population dependence on particular sites,Taonius,na,cephalopods
foraging range,"if one/few, size",Taonius,na,cephalopods
foraging range,sub-population dependence on particular sites,Taonius,na,cephalopods
physiological tolerance breadths,sensitivity to wave energy (physical forcing),Teuthowenia,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),"if one/few, size",Teuthowenia,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),sub-population dependence on particular sites,Teuthowenia,na,cephalopods
foraging range,"if one/few, size",Teuthowenia,na,cephalopods
foraging range,sub-population dependence on particular sites,Teuthowenia,na,cephalopods
physiological tolerance breadths,sensitivity to wave energy (physical forcing),Megalocranchia,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),"if one/few, size",Megalocranchia,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),sub-population dependence on particular sites,Megalocranchia,na,cephalopods
foraging range,"if one/few, size",Megalocranchia,na,cephalopods
foraging range,sub-population dependence on particular sites,Megalocranchia,na,cephalopods
physiological tolerance breadths,sensitivity to wave energy (physical forcing),Egea inermis,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),"if one/few, size",Egea inermis,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),sub-population dependence on particular sites,Egea inermis,na,cephalopods
foraging range,"if one/few, size",Egea inermis,na,cephalopods
foraging range,sub-population dependence on particular sites,Egea inermis,na,cephalopods
physiological tolerance breadths,sensitivity to wave energy (physical forcing),Cycloteuthis & Discoteuthis,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),"if one/few, size",Cycloteuthis & Discoteuthis,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),sub-population dependence on particular sites,Cycloteuthis & Discoteuthis,na,cephalopods
foraging range,"if one/few, size",Cycloteuthis & Discoteuthis,na,cephalopods
foraging range,sub-population dependence on particular sites,Cycloteuthis & Discoteuthis,na,cephalopods
physiological tolerance breadths,sensitivity to wave energy (physical forcing),Ancistrocheirus lesueurii,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),"if one/few, size",Ancistrocheirus lesueurii,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),sub-population dependence on particular sites,Ancistrocheirus lesueurii,na,cephalopods
foraging range,"if one/few, size",Ancistrocheirus lesueurii,na,cephalopods
foraging range,sub-population dependence on particular sites,Ancistrocheirus lesueurii,na,cephalopods
physiological tolerance breadths,sensitivity to wave energy (physical forcing),Enoploteuthis,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),"if one/few, size",Enoploteuthis,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),sub-population dependence on particular sites,Enoploteuthis,na,cephalopods
foraging range,"if one/few, size",Enoploteuthis,na,cephalopods
foraging range,sub-population dependence on particular sites,Enoploteuthis,na,cephalopods
physiological tolerance breadths,sensitivity to wave energy (physical forcing),Abralia,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),"if one/few, size",Abralia,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),sub-population dependence on particular sites,Abralia,na,cephalopods
foraging range,"if one/few, size",Abralia,na,cephalopods
foraging range,sub-population dependence on particular sites,Abralia,na,cephalopods
physiological tolerance breadths,sensitivity to wave energy (physical forcing),Abraliopsis,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),"if one/few, size",Abraliopsis,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),sub-population dependence on particular sites,Abraliopsis,na,cephalopods
foraging range,"if one/few, size",Abraliopsis,na,cephalopods
foraging range,sub-population dependence on particular sites,Abraliopsis,na,cephalopods
physiological tolerance breadths,sensitivity to wave energy (physical forcing),Watasenia scintillans,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),"if one/few, size",Watasenia scintillans,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),sub-population dependence on particular sites,Watasenia scintillans,na,cephalopods
foraging range,"if one/few, size",Watasenia scintillans,na,cephalopods
foraging range,sub-population dependence on particular sites,Watasenia scintillans,na,cephalopods
physiological tolerance breadths,sensitivity to wave energy (physical forcing),Lampadioteuthis megaleia,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),"if one/few, size",Lampadioteuthis megaleia,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),sub-population dependence on particular sites,Lampadioteuthis megaleia,na,cephalopods
foraging range,"if one/few, size",Lampadioteuthis megaleia,na,cephalopods
foraging range,sub-population dependence on particular sites,Lampadioteuthis megaleia,na,cephalopods
physiological tolerance breadths,sensitivity to wave energy (physical forcing),Lycoteuthis,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),"if one/few, size",Lycoteuthis,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),sub-population dependence on particular sites,Lycoteuthis,na,cephalopods
foraging range,"if one/few, size",Lycoteuthis,na,cephalopods
foraging range,sub-population dependence on particular sites,Lycoteuthis,na,cephalopods
physiological tolerance breadths,sensitivity to wave energy (physical forcing),Nematolampas,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),"if one/few, size",Nematolampas,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),sub-population dependence on particular sites,Nematolampas,na,cephalopods
foraging range,"if one/few, size",Nematolampas,na,cephalopods
foraging range,sub-population dependence on particular sites,Nematolampas,na,cephalopods
physiological tolerance breadths,sensitivity to wave energy (physical forcing),Selenoteuthis scintillans,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),"if one/few, size",Selenoteuthis scintillans,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),sub-population dependence on particular sites,Selenoteuthis scintillans,na,cephalopods
foraging range,"if one/few, size",Selenoteuthis scintillans,na,cephalopods
foraging range,sub-population dependence on particular sites,Selenoteuthis scintillans,na,cephalopods
physiological tolerance breadths,sensitivity to wave energy (physical forcing),Pterygioteuthis & Pyroteuthis,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),"if one/few, size",Pterygioteuthis & Pyroteuthis,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),sub-population dependence on particular sites,Pterygioteuthis & Pyroteuthis,na,cephalopods
foraging range,"if one/few, size",Pterygioteuthis & Pyroteuthis,na,cephalopods
foraging range,sub-population dependence on particular sites,Pterygioteuthis & Pyroteuthis,na,cephalopods
physiological tolerance breadths,sensitivity to wave energy (physical forcing),Berryteuthis,na,cephalopods
foraging range,"if one/few, size",Berryteuthis,na,cephalopods
foraging range,sub-population dependence on particular sites,Berryteuthis,na,cephalopods
physiological tolerance breadths,sensitivity to wave energy (physical forcing),Eogonatus tinro,na,cephalopods
foraging range,"if one/few, size",Eogonatus tinro,na,cephalopods
foraging range,sub-population dependence on particular sites,Eogonatus tinro,na,cephalopods
physiological tolerance breadths,sensitivity to wave energy (physical forcing),Gonatopsis,na,cephalopods
foraging range,"if one/few, size",Gonatopsis,na,cephalopods
foraging range,sub-population dependence on particular sites,Gonatopsis,na,cephalopods
physiological tolerance breadths,sensitivity to wave energy (physical forcing),Gonatus,na,cephalopods
foraging range,"if one/few, size",Gonatus,na,cephalopods
foraging range,sub-population dependence on particular sites,Gonatus,na,cephalopods
physiological tolerance breadths,sensitivity to wave energy (physical forcing),Histioteuthis & Stigmatoteuthis,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),"if one/few, size",Histioteuthis & Stigmatoteuthis,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),sub-population dependence on particular sites,Histioteuthis & Stigmatoteuthis,na,cephalopods
foraging range,"if one/few, size",Histioteuthis & Stigmatoteuthis,na,cephalopods
foraging range,sub-population dependence on particular sites,Histioteuthis & Stigmatoteuthis,na,cephalopods
physiological tolerance breadths,sensitivity to wave energy (physical forcing),Psychroteuthis glacialis,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),"if one/few, size",Psychroteuthis glacialis,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),sub-population dependence on particular sites,Psychroteuthis glacialis,na,cephalopods
foraging range,"if one/few, size",Psychroteuthis glacialis,na,cephalopods
foraging range,sub-population dependence on particular sites,Psychroteuthis glacialis,na,cephalopods
physiological tolerance breadths,sensitivity to wave energy (physical forcing),Lepidoteuthis grimaldi,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),"if one/few, size",Lepidoteuthis grimaldi,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),sub-population dependence on particular sites,Lepidoteuthis grimaldi,na,cephalopods
foraging range,"if one/few, size",Lepidoteuthis grimaldi,na,cephalopods
foraging range,sub-population dependence on particular sites,Lepidoteuthis grimaldi,na,cephalopods
physiological tolerance breadths,sensitivity to wave energy (physical forcing),Octopoteuthis,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),"if one/few, size",Octopoteuthis,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),sub-population dependence on particular sites,Octopoteuthis,na,cephalopods
foraging range,"if one/few, size",Octopoteuthis,na,cephalopods
foraging range,sub-population dependence on particular sites,Octopoteuthis,na,cephalopods
physiological tolerance breadths,sensitivity to wave energy (physical forcing),Taningia danae,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),"if one/few, size",Taningia danae,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),sub-population dependence on particular sites,Taningia danae,na,cephalopods
foraging range,"if one/few, size",Taningia danae,na,cephalopods
foraging range,sub-population dependence on particular sites,Taningia danae,na,cephalopods
physiological tolerance breadths,sensitivity to wave energy (physical forcing),Pholidoteuthis,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),"if one/few, size",Pholidoteuthis,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),sub-population dependence on particular sites,Pholidoteuthis,na,cephalopods
foraging range,"if one/few, size",Pholidoteuthis,na,cephalopods
foraging range,sub-population dependence on particular sites,Pholidoteuthis,na,cephalopods
physiological tolerance breadths,sensitivity to wave energy (physical forcing),Illex,na,cephalopods
foraging range,"if one/few, size",Illex,na,cephalopods
foraging range,sub-population dependence on particular sites,Illex,na,cephalopods
physiological tolerance breadths,sensitivity to wave energy (physical forcing),Ornithoteuthis,na,cephalopods
foraging range,"if one/few, size",Ornithoteuthis,na,cephalopods
foraging range,sub-population dependence on particular sites,Ornithoteuthis,na,cephalopods
physiological tolerance breadths,sensitivity to wave energy (physical forcing),Dosidicus gigas,na,cephalopods
foraging range,"if one/few, size",Dosidicus gigas,na,cephalopods
foraging range,sub-population dependence on particular sites,Dosidicus gigas,na,cephalopods
physiological tolerance breadths,sensitivity to wave energy (physical forcing),Sthenoteuthis,na,cephalopods
foraging range,"if one/few, size",Sthenoteuthis,na,cephalopods
foraging range,sub-population dependence on particular sites,Sthenoteuthis,na,cephalopods
physiological tolerance breadths,sensitivity to wave energy (physical forcing),Ommastrephes bartramii,na,cephalopods
foraging range,"if one/few, size",Ommastrephes bartramii,na,cephalopods
foraging range,sub-population dependence on particular sites,Ommastrephes bartramii,na,cephalopods
physiological tolerance breadths,sensitivity to wave energy (physical forcing),Eucleoteuthis luminosa,na,cephalopods
foraging range,"if one/few, size",Eucleoteuthis luminosa,na,cephalopods
foraging range,sub-population dependence on particular sites,Eucleoteuthis luminosa,na,cephalopods
physiological tolerance breadths,sensitivity to wave energy (physical forcing),Hyaloteuthis pelagica,na,cephalopods
foraging range,"if one/few, size",Hyaloteuthis pelagica,na,cephalopods
foraging range,sub-population dependence on particular sites,Hyaloteuthis pelagica,na,cephalopods
physiological tolerance breadths,sensitivity to wave energy (physical forcing),Martialia hyadesi,na,cephalopods
foraging range,"if one/few, size",Martialia hyadesi,na,cephalopods
foraging range,sub-population dependence on particular sites,Martialia hyadesi,na,cephalopods
physiological tolerance breadths,sensitivity to wave energy (physical forcing),Todarodes,na,cephalopods
foraging range,"if one/few, size",Todarodes,na,cephalopods
foraging range,sub-population dependence on particular sites,Todarodes,na,cephalopods
physiological tolerance breadths,sensitivity to wave energy (physical forcing),Nototodarus,na,cephalopods
foraging range,"if one/few, size",Nototodarus,na,cephalopods
foraging range,sub-population dependence on particular sites,Nototodarus,na,cephalopods
physiological tolerance breadths,sensitivity to wave energy (physical forcing),Nototodarus hawaiiensis,na,cephalopods
foraging range,"if one/few, size",Nototodarus hawaiiensis,na,cephalopods
foraging range,sub-population dependence on particular sites,Nototodarus hawaiiensis,na,cephalopods
physiological tolerance breadths,sensitivity to wave energy (physical forcing),Todaropsis eblanae,na,cephalopods
foraging range,"if one/few, size",Todaropsis eblanae,na,cephalopods
foraging range,sub-population dependence on particular sites,Todaropsis eblanae,na,cephalopods
physiological tolerance breadths,sensitivity to wave energy (physical forcing),Onychoteuthis,na,cephalopods
foraging range,"if one/few, size",Onychoteuthis,na,cephalopods
foraging range,sub-population dependence on particular sites,Onychoteuthis,na,cephalopods
physiological tolerance breadths,sensitivity to wave energy (physical forcing),Ancistroteuthis lichtensteinii,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),"if one/few, size",Ancistroteuthis lichtensteinii,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),sub-population dependence on particular sites,Ancistroteuthis lichtensteinii,na,cephalopods
foraging range,"if one/few, size",Ancistroteuthis lichtensteinii,na,cephalopods
foraging range,sub-population dependence on particular sites,Ancistroteuthis lichtensteinii,na,cephalopods
physiological tolerance breadths,sensitivity to wave energy (physical forcing),Notonykia,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),"if one/few, size",Notonykia,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),sub-population dependence on particular sites,Notonykia,na,cephalopods
foraging range,"if one/few, size",Notonykia,na,cephalopods
foraging range,sub-population dependence on particular sites,Notonykia,na,cephalopods
physiological tolerance breadths,sensitivity to wave energy (physical forcing),Filippovia knipovitchi,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),"if one/few, size",Filippovia knipovitchi,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),sub-population dependence on particular sites,Filippovia knipovitchi,na,cephalopods
foraging range,"if one/few, size",Filippovia knipovitchi,na,cephalopods
foraging range,sub-population dependence on particular sites,Filippovia knipovitchi,na,cephalopods
physiological tolerance breadths,sensitivity to wave energy (physical forcing),Walvisteuthis,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),"if one/few, size",Walvisteuthis,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),sub-population dependence on particular sites,Walvisteuthis,na,cephalopods
foraging range,"if one/few, size",Walvisteuthis,na,cephalopods
foraging range,sub-population dependence on particular sites,Walvisteuthis,na,cephalopods
physiological tolerance breadths,sensitivity to wave energy (physical forcing),Onykia,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),"if one/few, size",Onykia,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),sub-population dependence on particular sites,Onykia,na,cephalopods
foraging range,"if one/few, size",Onykia,na,cephalopods
foraging range,sub-population dependence on particular sites,Onykia,na,cephalopods
physiological tolerance breadths,sensitivity to wave energy (physical forcing),Moroteuthopsis,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),"if one/few, size",Moroteuthopsis,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),sub-population dependence on particular sites,Moroteuthopsis,na,cephalopods
foraging range,"if one/few, size",Moroteuthopsis,na,cephalopods
foraging range,sub-population dependence on particular sites,Moroteuthopsis,na,cephalopods
physiological tolerance breadths,sensitivity to wave energy (physical forcing),Thysanoteuthis rhombus,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),"if one/few, size",Thysanoteuthis rhombus,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),sub-population dependence on particular sites,Thysanoteuthis rhombus,na,cephalopods
foraging range,"if one/few, size",Thysanoteuthis rhombus,na,cephalopods
foraging range,sub-population dependence on particular sites,Thysanoteuthis rhombus,na,cephalopods
physiological tolerance breadths,sensitivity to wave energy (physical forcing),Australiteuthis aldrichi,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),"if one/few, size",Australiteuthis aldrichi,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),sub-population dependence on particular sites,Australiteuthis aldrichi,na,cephalopods
foraging range,"if one/few, size",Australiteuthis aldrichi,na,cephalopods
foraging range,sub-population dependence on particular sites,Australiteuthis aldrichi,na,cephalopods
physiological tolerance breadths,sensitivity to wave energy (physical forcing),Loligo,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),"if one/few, size",Loligo,na,cephalopods
