This is the list from Dias et al. on which Brad's data were based.,,,,,,,,,,,,
 Order ,Family fixed,Family (original),Scientific name fixed,Scientific name (original),fixed?,Common name ,2018 IUCN Red List Category ,Pelagic / coastal ,Group ,notes,genus/family,n_spp
Procellariiformes ,Procellariidae ,Procellariidae ,Pachyptila vittata ,Pachyptila vittata ,FALSE,Broad-billed Prion ,LC ,Pelagic ,small petrels ,,,
Procellariiformes ,Procellariidae ,Procellariidae ,Pagodroma nivea ,Pagodroma nivea ,FALSE,Snow Petrel ,LC ,Pelagic ,small petrels ,,,
Charadriiformes ,Laridae ,Laridae ,Pagophila eburnea ,Pagophila eburnea ,FALSE,Ivory Gull ,NT ,Coastal ,gulls ,,,
Suliformes ,Sulidae ,Sulidae ,Papasula abbotti ,Papasula abbotti ,FALSE,Abbott's Booby ,EN ,Pelagic ,gannets and boobies ,,,
Procellariiformes ,Hydrobatidae ,Oceanitidae ,Pelagodroma marina ,Pelagodroma marina ,TRUE,White-faced Storm-petrel ,LC ,Pelagic ,storm-petrels ,,,
Procellariiformes ,pelecanoididae,Procellariidae ,Pelecanoides garnotii ,Pelecanoides garnotii ,TRUE,Peruvian Diving-petrel ,EN ,Pelagic ,small petrels ,,,
Procellariiformes ,pelecanoididae,Procellariidae ,Pelecanoides georgicus ,Pelecanoides georgicus ,TRUE,South Georgia Diving-petrel ,LC ,Pelagic ,small petrels ,,,
Procellariiformes ,pelecanoididae,Procellariidae ,Pelecanoides magellani ,Pelecanoides magellani ,TRUE,Magellanic Diving-petrel ,LC ,Pelagic ,small petrels ,,,
Procellariiformes ,pelecanoididae,Procellariidae ,Pelecanoides urinatrix ,Pelecanoides urinatrix ,TRUE,Common Diving-petrel ,LC ,Pelagic ,small petrels ,,,
Pelecaniformes ,Pelecanidae ,Pelecanidae ,Pelecanus occidentalis ,Pelecanus occidentalis ,FALSE,Brown Pelican ,LC ,Coastal ,cormorants and pelicans ,,,
Pelecaniformes ,Pelecanidae ,Pelecanidae ,Pelecanus onocrotalus ,Pelecanus onocrotalus ,FALSE,Great White Pelican ,LC ,Coastal ,cormorants and pelicans ,,,
Pelecaniformes ,Pelecanidae ,Pelecanidae ,Pelecanus thagus ,Pelecanus thagus ,FALSE,Peruvian Pelican ,NT ,Pelagic ,cormorants and pelicans ,,,
Phaethontiformes ,Phaethontidae ,Phaethontidae ,Phaethon aethereus ,Phaethon aethereus ,FALSE,Red-billed Tropicbird ,LC ,Pelagic ,frigatebirds and tropicbirds ,,,
Phaethontiformes ,Phaethontidae ,Phaethontidae ,Phaethon lepturus ,Phaethon lepturus ,FALSE,White-tailed Tropicbird ,LC ,Pelagic ,frigatebirds and tropicbirds ,,,
Phaethontiformes ,Phaethontidae ,Phaethontidae ,Phaethon rubricauda ,Phaethon rubricauda ,FALSE,Red-tailed Tropicbird ,LC ,Pelagic ,frigatebirds and tropicbirds ,,,
Suliformes ,Phalacrocoracidae ,Phalacrocoracidae ,Phalacrocorax africanus,Microcarbo coronatus ,TRUE,Crowned Cormorant ,NT ,Coastal ,cormorants and pelicans ,"Crowned cormorant is marine, but WoRMS considers it synonymous with Reed cormorant which WoRMS considers freshwater, not marine",,
Suliformes ,Phalacrocoracidae ,Phalacrocoracidae ,Phalacrocorax aristotelis ,Gulosus aristotelis ,TRUE,European Shag ,LC ,Coastal ,cormorants and pelicans ,,,
Suliformes ,Phalacrocoracidae ,Phalacrocoracidae ,Phalacrocorax atriceps ,Leucocarbo atriceps ,TRUE,Imperial Shag ,LC ,Coastal ,cormorants and pelicans ,,,
Suliformes ,Phalacrocoracidae ,Phalacrocoracidae ,Phalacrocorax auritus ,Nannopterum auritus ,TRUE,Double-crested Cormorant ,LC ,Coastal ,cormorants and pelicans ,,,
Suliformes ,Phalacrocoracidae ,Phalacrocoracidae ,Phalacrocorax bougainvillii ,Leucocarbo bougainvilliorum ,TRUE,Guanay Cormorant ,NT ,Coastal ,cormorants and pelicans ,,,
Suliformes ,Phalacrocoracidae ,Phalacrocoracidae ,Phalacrocorax brasilianus ,Nannopterum brasilianus ,TRUE,Neotropical Cormorant ,LC ,Coastal ,cormorants and pelicans ,,,
Suliformes ,Phalacrocoracidae ,Phalacrocoracidae ,Phalacrocorax campbelli ,Leucocarbo campbelli ,TRUE,Campbell Shag ,VU ,Coastal ,cormorants and pelicans ,,,
Suliformes ,Phalacrocoracidae ,Phalacrocoracidae ,Phalacrocorax campbelli ,Leucocarbo colensoi ,TRUE,Auckland Shag ,VU ,Coastal ,cormorants and pelicans ,synonym,,
Suliformes ,Phalacrocoracidae ,Phalacrocoracidae ,Phalacrocorax capensis ,Phalacrocorax capensis ,FALSE,Cape Cormorant ,EN ,Coastal ,cormorants and pelicans ,,,
Suliformes ,Phalacrocoracidae ,Phalacrocoracidae ,Phalacrocorax capillatus ,Phalacrocorax capillatus ,FALSE,Japanese Cormorant ,LC ,Coastal ,cormorants and pelicans ,,,
Suliformes ,Phalacrocoracidae ,Phalacrocoracidae ,Phalacrocorax carbo ,Phalacrocorax carbo ,FALSE,Great Cormorant ,LC ,Coastal ,cormorants and pelicans ,,,
Suliformes ,Phalacrocoracidae ,Phalacrocoracidae ,Phalacrocorax carunculatus ,Leucocarbo carunculatus ,TRUE,Rough-faced Shag ,VU ,Coastal ,cormorants and pelicans ,,,
Suliformes ,Phalacrocoracidae ,Phalacrocoracidae ,Phalacrocorax chalconotus ,Leucocarbo chalconotus ,TRUE,Stewart Shag ,VU ,Coastal ,cormorants and pelicans ,,,
Suliformes ,Phalacrocoracidae ,Phalacrocoracidae ,Phalacrocorax featherstoni ,Phalacrocorax featherstoni ,FALSE,Pitt Shag ,EN ,Coastal ,cormorants and pelicans ,,,
Suliformes ,Phalacrocoracidae ,Phalacrocoracidae ,Phalacrocorax fuscescens ,Phalacrocorax fuscescens ,FALSE,Black-faced Cormorant ,LC ,Coastal ,cormorants and pelicans ,,,
Suliformes ,Phalacrocoracidae ,Phalacrocoracidae ,Phalacrocorax fuscicollis ,Phalacrocorax fuscicollis ,FALSE,Indian Cormorant ,LC ,Coastal ,cormorants and pelicans ,,,
Suliformes ,Phalacrocoracidae ,Phalacrocoracidae ,Phalacrocorax gaimardi ,Poikilocarbo gaimardi ,TRUE,Red-legged Cormorant ,NT ,Coastal ,cormorants and pelicans ,,,
Suliformes ,Phalacrocoracidae ,Phalacrocoracidae ,Phalacrocorax harrisi ,Nannopterum harrisi ,TRUE,Flightless Cormorant ,VU ,Coastal ,cormorants and pelicans ,,,
Suliformes ,Phalacrocoracidae ,Phalacrocoracidae ,Phalacrocorax magellanicus ,Leucocarbo magellanicus ,TRUE,Rock Shag ,LC ,Coastal ,cormorants and pelicans ,,,
Suliformes ,Phalacrocoracidae ,Phalacrocoracidae ,Phalacrocorax melanoleucos,Microcarbo melanoleucos ,TRUE,Little Pied Cormorant ,LC ,Coastal ,cormorants and pelicans ,,,
Suliformes ,Phalacrocoracidae ,Phalacrocoracidae ,Phalacrocorax neglectus ,Phalacrocorax neglectus ,FALSE,Bank Cormorant ,EN ,Coastal ,cormorants and pelicans ,,,
Suliformes ,Phalacrocoracidae ,Phalacrocoracidae ,Phalacrocorax nigrogularis ,Phalacrocorax nigrogularis ,FALSE,Socotra Cormorant ,VU ,Coastal ,cormorants and pelicans ,,,
Suliformes ,Phalacrocoracidae ,Phalacrocoracidae ,Phalacrocorax onslowi ,Leucocarbo onslowi ,TRUE,Chatham Shag ,CR ,Coastal ,cormorants and pelicans ,,,
Suliformes ,Phalacrocoracidae ,Phalacrocoracidae ,Phalacrocorax pelagicus ,Urile pelagicus ,TRUE,Pelagic Cormorant ,LC ,Coastal ,cormorants and pelicans ,,,
Suliformes ,Phalacrocoracidae ,Phalacrocoracidae ,Phalacrocorax penicillatus ,Urile penicillatus ,TRUE,Brandt's Cormorant ,LC ,Coastal ,cormorants and pelicans ,,,
Suliformes ,Phalacrocoracidae ,Phalacrocoracidae ,Phalacrocorax punctatus ,Phalacrocorax punctatus ,FALSE,Spotted Shag ,LC ,Coastal ,cormorants and pelicans ,,,
Suliformes ,Phalacrocoracidae ,Phalacrocoracidae ,Phalacrocorax ranfurlyi ,Leucocarbo ranfurlyi ,TRUE,Bounty Shag ,VU ,Coastal ,cormorants and pelicans ,,,
Suliformes ,Phalacrocoracidae ,Phalacrocoracidae ,Phalacrocorax urile ,Urile urile ,TRUE,Red-faced Cormorant ,LC ,Coastal ,cormorants and pelicans ,,,
Suliformes ,Phalacrocoracidae ,Phalacrocoracidae ,Phalacrocorax varius ,Phalacrocorax varius ,FALSE,Great Pied Cormorant ,LC ,Coastal ,cormorants and pelicans ,,,
Suliformes ,Phalacrocoracidae ,Phalacrocoracidae ,Phalacrocorax verrucosus ,Leucocarbo verrucosus ,TRUE,Kerguelen Shag ,LC ,Coastal ,cormorants and pelicans ,,,
Charadriiformes ,Phalaropodidae ,Scolopacidae ,Phalaropus fulicarius ,Phalaropus fulicarius ,TRUE,Red Phalarope ,LC ,Coastal ,phalaropes ,,,
Charadriiformes ,Phalaropodidae ,Scolopacidae ,Phalaropus lobatus ,Phalaropus lobatus ,TRUE,Red-necked Phalarope ,LC ,Coastal ,phalaropes ,,,
Procellariiformes ,Diomedeidae ,Diomedeidae ,Phoebastria albatrus ,Phoebastria albatrus ,FALSE,Short-tailed Albatross ,VU ,Pelagic ,albatrosses ,,,
Procellariiformes ,Diomedeidae ,Diomedeidae ,Phoebastria immutabilis ,Phoebastria immutabilis ,FALSE,Laysan Albatross ,NT ,Pelagic ,albatrosses ,,,
Procellariiformes ,Diomedeidae ,Diomedeidae ,Phoebastria irrorata ,Phoebastria irrorata ,FALSE,Waved Albatross ,CR ,Pelagic ,albatrosses ,,,
Procellariiformes ,Diomedeidae ,Diomedeidae ,Phoebastria nigripes ,Phoebastria nigripes ,FALSE,Black-footed Albatross ,NT ,Pelagic ,albatrosses ,,,
Procellariiformes ,Diomedeidae ,Diomedeidae ,Phoebetria fusca ,Phoebetria fusca ,FALSE,Sooty Albatross ,EN ,Pelagic ,albatrosses ,,,
Procellariiformes ,Diomedeidae ,Diomedeidae ,Phoebetria palpebrata ,Phoebetria palpebrata ,FALSE,Light-mantled Albatross ,NT ,Pelagic ,albatrosses ,,,
Podicipediformes ,Podicipedidae ,Podicipedidae ,Podiceps auritus ,Podiceps auritus ,FALSE,Horned Grebe ,VU ,Coastal ,sea ducks and allies ,,,
Podicipediformes ,Podicipedidae ,Podicipedidae ,Podiceps cristatus ,Podiceps cristatus ,FALSE,Great Crested Grebe ,LC ,Coastal ,sea ducks and allies ,,,
Podicipediformes ,Podicipedidae ,Podicipedidae ,Podiceps grisegena ,Podiceps grisegena ,FALSE,Red-necked Grebe ,LC ,Coastal ,sea ducks and allies ,,,
Podicipediformes ,Podicipedidae ,Podicipedidae ,Podiceps nigricollis ,Podiceps nigricollis ,FALSE,Black-necked Grebe ,LC ,Coastal ,sea ducks and allies ,,,
Anseriformes ,Anatidae ,Anatidae ,Polysticta stelleri ,Polysticta stelleri ,FALSE,Steller's Eider ,VU ,Coastal ,sea ducks and allies ,,,
Procellariiformes ,Procellariidae ,Procellariidae ,Procellaria aequinoctialis ,Procellaria aequinoctialis ,FALSE,White-chinned Petrel ,VU ,Pelagic ,large petrels and shearwaters ,,,
Procellariiformes ,Procellariidae ,Procellariidae ,Procellaria cinerea ,Procellaria cinerea ,FALSE,Grey Petrel ,NT ,Pelagic ,large petrels and shearwaters ,,,
Procellariiformes ,Procellariidae ,Procellariidae ,Procellaria conspicillata ,Procellaria conspicillata ,FALSE,Spectacled Petrel ,VU ,Pelagic ,large petrels and shearwaters ,,,
Procellariiformes ,Procellariidae ,Procellariidae ,Procellaria parkinsoni ,Procellaria parkinsoni ,FALSE,Black Petrel ,VU ,Pelagic ,large petrels and shearwaters ,,,
Procellariiformes ,Procellariidae ,Procellariidae ,Procellaria westlandica ,Procellaria westlandica ,FALSE,Westland Petrel ,EN ,Pelagic ,large petrels and shearwaters ,,,
Procellariiformes ,Procellariidae ,Procellariidae ,Pseudobulweria aterrima ,Pseudobulweria aterrima ,FALSE,Mascarene Petrel ,CR ,Pelagic ,gadflies ,,,
Procellariiformes ,Procellariidae ,Procellariidae ,Pseudobulweria becki ,Pseudobulweria becki ,FALSE,Beck's Petrel ,CR ,Pelagic ,gadflies ,,,
Procellariiformes ,Procellariidae ,Procellariidae ,Pseudobulweria macgillivrayi ,Pseudobulweria macgillivrayi ,FALSE,Fiji Petrel ,CR ,Pelagic ,gadflies ,,,
Procellariiformes ,Procellariidae ,Procellariidae ,Pseudobulweria rostrata ,Pseudobulweria rostrata ,FALSE,Tahiti Petrel ,NT ,Pelagic ,gadflies ,,,
Procellariiformes ,Procellariidae ,Procellariidae ,Pterodroma alba ,Pterodroma alba ,FALSE,Phoenix Petrel ,EN ,Pelagic ,gadflies ,,,
Procellariiformes ,Procellariidae ,Procellariidae ,Pterodroma arminjoniana ,Pterodroma arminjoniana ,FALSE,Trindade Petrel ,VU ,Pelagic ,gadflies ,,,
Procellariiformes ,Procellariidae ,Procellariidae ,Pterodroma atrata ,Pterodroma atrata ,FALSE,Henderson Petrel ,EN ,Pelagic ,gadflies ,,,
Procellariiformes ,Procellariidae ,Procellariidae ,Pterodroma axillaris ,Pterodroma axillaris ,FALSE,Chatham Petrel ,VU ,Pelagic ,gadflies ,,,
Procellariiformes ,Procellariidae ,Procellariidae ,Pterodroma baraui ,Pterodroma baraui ,FALSE,Barau's Petrel ,EN ,Pelagic ,gadflies ,,,
Procellariiformes ,Procellariidae ,Procellariidae ,Pterodroma brevipes ,Pterodroma brevipes ,FALSE,Collared Petrel ,VU ,Pelagic ,gadflies ,,,
Procellariiformes ,Procellariidae ,Procellariidae ,Pterodroma cahow ,Pterodroma cahow ,FALSE,Bermuda Petrel ,EN ,Pelagic ,gadflies ,,,
Procellariiformes ,Procellariidae ,Procellariidae ,Pterodroma caribbaea ,Pterodroma caribbaea ,FALSE,Jamaican Petrel ,CR(PE) ,Pelagic ,gadflies ,,,
Procellariiformes ,Procellariidae ,Procellariidae ,Pterodroma cervicalis ,Pterodroma cervicalis ,FALSE,White-necked Petrel ,VU ,Pelagic ,gadflies ,,,
Procellariiformes ,Procellariidae ,Procellariidae ,Pterodroma cookii ,Pterodroma cookii ,FALSE,Cook's Petrel ,VU ,Pelagic ,gadflies ,,,
Procellariiformes ,Procellariidae ,Procellariidae ,Pterodroma defilippiana ,Pterodroma defilippiana ,FALSE,Masatierra Petrel ,VU ,Pelagic ,gadflies ,,,
Procellariiformes ,Procellariidae ,Procellariidae ,Pterodroma deserta ,Pterodroma deserta ,FALSE,Desertas Petrel ,VU ,Pelagic ,gadflies ,,,
Procellariiformes ,Procellariidae ,Procellariidae ,Pterodroma externa ,Pterodroma externa ,FALSE,Juan Fernandez Petrel ,VU ,Pelagic ,gadflies ,,,
Procellariiformes ,Procellariidae ,Procellariidae ,Pterodroma feae ,Pterodroma feae ,FALSE,Cape Verde Petrel ,NT ,Pelagic ,gadflies ,,,
Procellariiformes ,Procellariidae ,Procellariidae ,Pterodroma hasitata ,Pterodroma hasitata ,FALSE,Black-capped Petrel ,EN ,Pelagic ,gadflies ,,,
Procellariiformes ,Procellariidae ,Procellariidae ,Pterodroma heraldica ,Pterodroma heraldica ,FALSE,Herald Petrel ,LC ,Pelagic ,gadflies ,,,
Procellariiformes ,Procellariidae ,Procellariidae ,Pterodroma hypoleuca ,Pterodroma hypoleuca ,FALSE,Bonin Petrel ,LC ,Pelagic ,gadflies ,,,
Procellariiformes ,Procellariidae ,Procellariidae ,Pterodroma incerta ,Pterodroma incerta ,FALSE,Atlantic Petrel ,EN ,Pelagic ,gadflies ,,,
Procellariiformes ,Procellariidae ,Procellariidae ,Pterodroma inexpectata ,Pterodroma inexpectata ,FALSE,Mottled Petrel ,NT ,Pelagic ,gadflies ,,,
Procellariiformes ,Procellariidae ,Procellariidae ,Pterodroma lessonii ,Pterodroma lessonii ,FALSE,White-headed Petrel ,LC ,Pelagic ,gadflies ,,,
Procellariiformes ,Procellariidae ,Procellariidae ,Pterodroma leucoptera ,Pterodroma leucoptera ,FALSE,White-winged Petrel ,VU ,Pelagic ,gadflies ,,,
Procellariiformes ,Procellariidae ,Procellariidae ,Pterodroma longirostris ,Pterodroma longirostris ,FALSE,Stejneger's Petrel ,VU ,Pelagic ,gadflies ,,,
Procellariiformes ,Procellariidae ,Procellariidae ,Pterodroma macroptera,Pterodroma gouldi ,TRUE,Grey-faced Petrel ,LC ,Pelagic ,gadflies ,subspecies,,
Procellariiformes ,Procellariidae ,Procellariidae ,Pterodroma macroptera ,Pterodroma macroptera ,FALSE,Great-winged Petrel ,LC ,Pelagic ,gadflies ,,,
Procellariiformes ,Procellariidae ,Procellariidae ,Pterodroma madeira ,Pterodroma madeira ,FALSE,Zino's Petrel ,EN ,Pelagic ,gadflies ,,,
Procellariiformes ,Procellariidae ,Procellariidae ,Pterodroma magentae ,Pterodroma magentae ,FALSE,Magenta Petrel ,CR ,Pelagic ,gadflies ,,,
Procellariiformes ,Procellariidae ,Procellariidae ,Pterodroma mollis ,Pterodroma mollis ,FALSE,Soft-plumaged Petrel ,LC ,Pelagic ,gadflies ,,,
Procellariiformes ,Procellariidae ,Procellariidae ,Pterodroma neglecta ,Pterodroma neglecta ,FALSE,Kermadec Petrel ,LC ,Pelagic ,gadflies ,,,
Procellariiformes ,Procellariidae ,Procellariidae ,Pterodroma nigripennis ,Pterodroma nigripennis ,FALSE,Black-winged Petrel ,LC ,Pelagic ,gadflies ,,,
Procellariiformes ,Procellariidae ,Procellariidae ,Pterodroma phaeopygia ,Pterodroma phaeopygia ,FALSE,Galapagos Petrel ,CR ,Pelagic ,gadflies ,,,
Procellariiformes ,Procellariidae ,Procellariidae ,Pterodroma pycrofti ,Pterodroma pycrofti ,FALSE,Pycroft's Petrel ,VU ,Pelagic ,gadflies ,,,
Procellariiformes ,Procellariidae ,Procellariidae ,Pterodroma sandwichensis ,Pterodroma sandwichensis ,FALSE,Hawaiian Petrel ,EN ,Pelagic ,gadflies ,,,
Procellariiformes ,Procellariidae ,Procellariidae ,Pterodroma solandri ,Pterodroma solandri ,FALSE,Providence Petrel ,VU ,Pelagic ,gadflies ,,,
Procellariiformes ,Procellariidae ,Procellariidae ,Pterodroma ultima ,Pterodroma ultima ,FALSE,Murphy's Petrel ,NT ,Pelagic ,gadflies ,,,
Charadriiformes ,Alcidae ,Alcidae ,Ptychoramphus aleuticus ,Ptychoramphus aleuticus ,FALSE,Cassin's Auklet ,NT ,Pelagic ,auks ,,,
Procellariiformes ,Procellariidae ,Procellariidae ,Puffinus assimilis ,Puffinus assimilis ,FALSE,Little Shearwater ,LC ,Pelagic ,large petrels and shearwaters ,,,
Procellariiformes ,Procellariidae ,Procellariidae ,Puffinus auricularis ,Puffinus auricularis ,FALSE,Townsend's Shearwater ,CR ,Pelagic ,large petrels and shearwaters ,,,
Procellariiformes ,Procellariidae ,Procellariidae ,Puffinus lherminieri ,Puffinus bannermani ,TRUE,Bannerman's Shearwater ,EN ,Pelagic ,large petrels and shearwaters ,formerly conspecific with Puffinus lherminieri,,
Procellariiformes ,Procellariidae ,Procellariidae ,Puffinus assimilis ,Puffinus bryani ,TRUE,Bryan's Shearwater ,CR ,Pelagic ,large petrels and shearwaters ,originally thought to be Puffinus assimilis,,
Procellariiformes ,Procellariidae ,Procellariidae ,Puffinus bulleri ,Ardenna bulleri ,TRUE,Buller's Shearwater ,VU ,Pelagic ,large petrels and shearwaters ,,,
Procellariiformes ,Procellariidae ,Procellariidae ,Puffinus carneipes ,Ardenna carneipes ,TRUE,Flesh-footed Shearwater ,NT ,Pelagic ,large petrels and shearwaters ,,,
Procellariiformes ,Procellariidae ,Procellariidae ,Puffinus creatopus ,Ardenna creatopus ,TRUE,Pink-footed Shearwater ,VU ,Pelagic ,large petrels and shearwaters ,,,
Procellariiformes ,Procellariidae ,Procellariidae ,Puffinus elegans ,Puffinus elegans ,FALSE,Subantarctic Shearwater ,LC ,Pelagic ,large petrels and shearwaters ,,,
Procellariiformes ,Procellariidae ,Procellariidae ,Puffinus gavia ,Puffinus gavia ,FALSE,Fluttering Shearwater ,LC ,Pelagic ,large petrels and shearwaters ,,,
Procellariiformes ,Procellariidae ,Procellariidae ,Puffinus gravis ,Ardenna gravis ,TRUE,Great Shearwater ,LC ,Pelagic ,large petrels and shearwaters ,,,
Procellariiformes ,Procellariidae ,Procellariidae ,Puffinus griseus,Ardenna grisea ,TRUE,Sooty Shearwater ,NT ,Pelagic ,large petrels and shearwaters ,,,
Procellariiformes ,Procellariidae ,Procellariidae ,Puffinus heinrothi ,Puffinus heinrothi ,FALSE,Heinroth's Shearwater ,VU ,Pelagic ,large petrels and shearwaters ,,,
Procellariiformes ,Procellariidae ,Procellariidae ,Puffinus huttoni ,Puffinus huttoni ,FALSE,Hutton's Shearwater ,EN ,Pelagic ,large petrels and shearwaters ,,,
Procellariiformes ,Procellariidae ,Procellariidae ,Puffinus lherminieri ,Puffinus bailloni ,TRUE,Tropical Shearwater ,LC ,Pelagic ,large petrels and shearwaters ,formerly conspecific with Puffinus lherminieri,,
Procellariiformes ,Procellariidae ,Procellariidae ,Puffinus lherminieri ,Puffinus lherminieri ,FALSE,Audubon's Shearwater ,LC ,Pelagic ,large petrels and shearwaters ,,,
Procellariiformes ,Procellariidae ,Procellariidae ,Puffinus mauretanicus ,Puffinus mauretanicus ,FALSE,Balearic Shearwater ,CR ,Pelagic ,large petrels and shearwaters ,,,
Procellariiformes ,Procellariidae ,Procellariidae ,Puffinus nativitatis ,Puffinus nativitatis ,FALSE,Christmas Shearwater ,LC ,Pelagic ,large petrels and shearwaters ,,,
Procellariiformes ,Procellariidae ,Procellariidae ,Puffinus auricularis,Puffinus newelli ,TRUE,Newell's Shearwater ,CR ,Pelagic ,large petrels and shearwaters ,,,
Procellariiformes ,Procellariidae ,Procellariidae ,Puffinus opisthomelas ,Puffinus opisthomelas ,FALSE,Black-vented Shearwater ,NT ,Pelagic ,large petrels and shearwaters ,,,
Procellariiformes ,Procellariidae ,Procellariidae ,Puffinus pacificus,Ardenna pacifica ,TRUE,Wedge-tailed Shearwater ,LC ,Pelagic ,large petrels and shearwaters ,,,
Procellariiformes ,Procellariidae ,Procellariidae ,Puffinus persicus ,Puffinus persicus ,FALSE,Persian Shearwater ,LC ,Pelagic ,large petrels and shearwaters ,,,
Procellariiformes ,Procellariidae ,Procellariidae ,Puffinus puffinus ,Puffinus puffinus ,FALSE,Manx Shearwater ,LC ,Pelagic ,large petrels and shearwaters ,,,
Procellariiformes ,Procellariidae ,Procellariidae ,Puffinus lherminieri ,Puffinus subalaris ,TRUE,Galapagos Shearwater ,LC ,Pelagic ,large petrels and shearwaters ,formerly thought to be conspecific with Audobon's,,
Procellariiformes ,Procellariidae ,Procellariidae ,Puffinus tenuirostris ,Ardenna tenuirostris ,TRUE,Short-tailed Shearwater ,LC ,Pelagic ,large petrels and shearwaters ,,,
Procellariiformes ,Procellariidae ,Procellariidae ,Puffinus yelkouan ,Puffinus yelkouan ,FALSE,Yelkouan Shearwater ,VU ,Pelagic ,large petrels and shearwaters ,,,
Sphenisciformes ,Spheniscidae ,Spheniscidae ,Pygoscelis adeliae ,Pygoscelis adeliae ,FALSE,Adélie Penguin ,LC ,Pelagic ,penguins ,,,
Sphenisciformes ,Spheniscidae ,Spheniscidae ,Pygoscelis antarcticus ,Pygoscelis antarcticus ,FALSE,Chinstrap Penguin ,LC ,Pelagic ,penguins ,,,
Sphenisciformes ,Spheniscidae ,Spheniscidae ,Pygoscelis papua ,Pygoscelis papua ,FALSE,Gentoo Penguin ,LC ,Pelagic ,penguins ,,,
Charadriiformes ,Laridae ,Laridae ,Rhodostethia rosea ,Rhodostethia rosea ,FALSE,Ross's Gull ,LC ,Coastal ,gulls ,,,
Charadriiformes ,Laridae ,Laridae ,Rissa brevirostris ,Rissa brevirostris ,FALSE,Red-legged Kittiwake ,VU ,Coastal ,gulls ,,,
Charadriiformes ,Laridae ,Laridae ,Rissa tridactyla ,Rissa tridactyla ,FALSE,Black-legged Kittiwake ,VU ,Coastal ,gulls ,,,
Charadriiformes ,Laridae ,Laridae ,Saundersilarus saundersi ,Saundersilarus saundersi ,FALSE,Saunders's Gull ,VU ,Coastal ,gulls ,not found? even with genus Chroicocephalus,,
Anseriformes ,Anatidae ,Anatidae ,Somateria fischeri ,Somateria fischeri ,FALSE,Spectacled Eider ,NT ,Coastal ,sea ducks and allies ,,,
Anseriformes ,Anatidae ,Anatidae ,Somateria mollissima ,Somateria mollissima ,FALSE,Common Eider ,NT ,Coastal ,sea ducks and allies ,,,
Anseriformes ,Anatidae ,Anatidae ,Somateria spectabilis ,Somateria spectabilis ,FALSE,King Eider ,LC ,Coastal ,sea ducks and allies ,,,
Sphenisciformes ,Spheniscidae ,Spheniscidae ,Spheniscus demersus ,Spheniscus demersus ,FALSE,African Penguin ,EN ,Pelagic ,penguins ,,,
Sphenisciformes ,Spheniscidae ,Spheniscidae ,Spheniscus humboldti ,Spheniscus humboldti ,FALSE,Humboldt Penguin ,VU ,Pelagic ,penguins ,,,
Sphenisciformes ,Spheniscidae ,Spheniscidae ,Spheniscus magellanicus ,Spheniscus magellanicus ,FALSE,Magellanic Penguin ,NT ,Pelagic ,penguins ,,,
Sphenisciformes ,Spheniscidae ,Spheniscidae ,Spheniscus mendiculus ,Spheniscus mendiculus ,FALSE,Galapagos Penguin ,EN ,Pelagic ,penguins ,,,
Charadriiformes ,Stercorariidae ,Stercorariidae ,Stercorarius longicaudus ,Stercorarius longicaudus ,FALSE,Long-tailed Jaeger ,LC ,Pelagic ,skuas ,,,
Charadriiformes ,Stercorariidae ,Stercorariidae ,Stercorarius parasiticus ,Stercorarius parasiticus ,FALSE,Arctic Jaeger ,LC ,Pelagic ,skuas ,,,
Charadriiformes ,Stercorariidae ,Stercorariidae ,Stercorarius pomarinus ,Stercorarius pomarinus ,FALSE,Pomarine Jaeger ,LC ,Pelagic ,skuas ,,,
Charadriiformes ,Laridae ,Laridae ,Sterna bengalensis ,Thalasseus bengalensis ,TRUE,Lesser Crested Tern ,LC ,Coastal ,terns ,,,
Charadriiformes ,Laridae ,Laridae ,Sterna bergii ,Thalasseus bergii ,TRUE,Greater Crested Tern ,LC ,Coastal ,terns ,,,
Charadriiformes ,Laridae ,Laridae ,Sterna bernsteini ,Thalasseus bernsteini ,TRUE,Chinese Crested Tern ,CR ,Coastal ,terns ,,,
Charadriiformes ,Laridae ,Laridae ,Sterna dougallii ,Sterna dougallii ,FALSE,Roseate Tern ,LC ,Coastal ,terns ,,,
Charadriiformes ,Laridae ,Laridae ,Sterna elegans ,Thalasseus elegans ,TRUE,Elegant Tern ,NT ,Coastal ,terns ,,,
Charadriiformes ,Laridae ,Laridae ,Sterna forsteri ,Sterna forsteri ,FALSE,Forster's Tern ,LC ,Coastal ,terns ,,,
Charadriiformes ,Laridae ,Laridae ,Sterna hirundinacea ,Sterna hirundinacea ,FALSE,South American Tern ,LC ,Coastal ,terns ,,,
Charadriiformes ,Laridae ,Laridae ,Sterna hirundo ,Sterna hirundo ,FALSE,Common Tern ,LC ,Coastal ,terns ,,,
Charadriiformes ,Laridae ,Laridae ,Sterna maxima,Thalasseus maximus ,TRUE,Royal Tern ,LC ,Coastal ,terns ,,,
Charadriiformes ,Laridae ,Laridae ,Sterna paradisaea ,Sterna paradisaea ,FALSE,Arctic Tern ,LC ,Coastal ,terns ,,,
Charadriiformes ,Laridae ,Laridae ,Sterna repressa ,Sterna repressa ,FALSE,White-cheeked Tern ,LC ,Coastal ,terns ,,,
