This is the list from Dias et al. on which Brad's data were based.,,,,,,,,,,,,
 Order ,Family fixed,Family (original),Scientific name fixed,Scientific name (original),fixed?,Common name ,2018 IUCN Red List Category ,Pelagic / coastal ,Group ,notes,genus/family,n_spp
Charadriiformes ,Alcidae ,Alcidae ,Cerorhinca monocerata ,Cerorhinca monocerata ,FALSE,Rhinoceros Auklet ,LC ,Pelagic ,auks ,,,
Charadriiformes ,Laridae ,Laridae ,Chlidonias albostriatus ,Chlidonias albostriatus ,FALSE,Black-fronted Tern ,EN ,Coastal ,terns ,,,
Charadriiformes ,Laridae ,Laridae ,Chlidonias niger ,Chlidonias niger ,FALSE,Black Tern ,LC ,Coastal ,terns ,,,
Anseriformes ,Anatidae ,Anatidae ,Clangula hyemalis ,Clangula hyemalis ,FALSE,Long-tailed Duck ,VU ,Coastal ,sea ducks and allies ,,,
Charadriiformes ,Laridae ,Laridae ,Creagrus furcatus ,Creagrus furcatus ,FALSE,Swallow-tailed Gull ,LC ,Coastal ,gulls ,,,
Procellariiformes ,Procellariidae ,Procellariidae ,Daption capense ,Daption capense ,FALSE,Cape Petrel ,LC ,Pelagic ,small petrels ,,,
Procellariiformes ,Diomedeidae ,Diomedeidae ,Diomedea exulans,Diomedea amsterdamensis ,TRUE,Amsterdam Albatross ,EN ,Pelagic ,albatrosses ,subspecies,,
Procellariiformes ,Diomedeidae ,Diomedeidae ,Diomedea antipodensis ,Diomedea antipodensis ,FALSE,Antipodean Albatross ,EN ,Pelagic ,albatrosses ,,,
Procellariiformes ,Diomedeidae ,Diomedeidae ,Diomedea dabbenena ,Diomedea dabbenena ,FALSE,Tristan Albatross ,CR ,Pelagic ,albatrosses ,,,
Procellariiformes ,Diomedeidae ,Diomedeidae ,Diomedea epomophora ,Diomedea epomophora ,FALSE,Southern Royal Albatross ,VU ,Pelagic ,albatrosses ,,,
Procellariiformes ,Diomedeidae ,Diomedeidae ,Diomedea exulans ,Diomedea exulans ,FALSE,Wandering Albatross ,VU ,Pelagic ,albatrosses ,,,
Procellariiformes ,Diomedeidae ,Diomedeidae ,Diomedea sanfordi ,Diomedea sanfordi ,FALSE,Northern Royal Albatross ,EN ,Pelagic ,albatrosses ,,,
Sphenisciformes ,Spheniscidae ,Spheniscidae ,Eudyptes chrysocome ,Eudyptes chrysocome ,FALSE,Southern Rockhopper Penguin ,VU ,Pelagic ,penguins ,,,
Sphenisciformes ,Spheniscidae ,Spheniscidae ,Eudyptes chrysolophus ,Eudyptes chrysolophus ,FALSE,Macaroni Penguin ,VU ,Pelagic ,penguins ,,,
Sphenisciformes ,Spheniscidae ,Spheniscidae ,Eudyptes moseleyi ,Eudyptes moseleyi ,FALSE,Northern Rockhopper Penguin ,EN ,Pelagic ,penguins ,,,
Sphenisciformes ,Spheniscidae ,Spheniscidae ,Eudyptes pachyrhynchus ,Eudyptes pachyrhynchus ,FALSE,Fiordland Penguin ,VU ,Pelagic ,penguins ,,,
Sphenisciformes ,Spheniscidae ,Spheniscidae ,Eudyptes robustus ,Eudyptes robustus ,FALSE,Snares Penguin ,VU ,Pelagic ,penguins ,,,
Sphenisciformes ,Spheniscidae ,Spheniscidae ,Eudyptes schlegeli ,Eudyptes schlegeli ,FALSE,Royal Penguin ,NT ,Pelagic ,penguins ,,,
Sphenisciformes ,Spheniscidae ,Spheniscidae ,Eudyptes sclateri ,Eudyptes sclateri ,FALSE,Erect-crested Penguin ,EN ,Pelagic ,penguins ,,,
Sphenisciformes ,Spheniscidae ,Spheniscidae ,Eudyptula minor ,Eudyptula minor ,FALSE,Little Penguin ,LC ,Pelagic ,penguins ,,,
Charadriiformes ,Alcidae ,Alcidae ,Fratercula arctica ,Fratercula arctica ,FALSE,Atlantic Puffin ,VU ,Pelagic ,auks ,,,
Charadriiformes ,Alcidae ,Alcidae ,Fratercula cirrhata ,Fratercula cirrhata ,FALSE,Tufted Puffin ,LC ,Pelagic ,auks ,,,
Charadriiformes ,Alcidae ,Alcidae ,Fratercula corniculata ,Fratercula corniculata ,FALSE,Horned Puffin ,LC ,Pelagic ,auks ,,,
Suliformes ,Fregatidae ,Fregatidae ,Fregata andrewsi ,Fregata andrewsi ,FALSE,Christmas Frigatebird ,CR ,Pelagic ,frigatebirds and tropicbirds ,,,
Suliformes ,Fregatidae ,Fregatidae ,Fregata aquila ,Fregata aquila ,FALSE,Ascension Frigatebird ,VU ,Pelagic ,frigatebirds and tropicbirds ,,,
Suliformes ,Fregatidae ,Fregatidae ,Fregata ariel ,Fregata ariel ,FALSE,Lesser Frigatebird ,LC ,Pelagic ,frigatebirds and tropicbirds ,,,
Suliformes ,Fregatidae ,Fregatidae ,Fregata magnificens ,Fregata magnificens ,FALSE,Magnificent Frigatebird ,LC ,Pelagic ,frigatebirds and tropicbirds ,,,
Suliformes ,Fregatidae ,Fregatidae ,Fregata minor ,Fregata minor ,FALSE,Great Frigatebird ,LC ,Pelagic ,frigatebirds and tropicbirds ,,,
Procellariiformes ,Hydrobatidae ,Oceanitidae ,Fregetta grallaria ,Fregetta grallaria ,TRUE,White-bellied Storm-petrel ,LC ,Pelagic ,storm-petrels ,,,
Procellariiformes ,Hydrobatidae ,Oceanitidae ,Fregetta maoriana ,Fregetta maoriana ,TRUE,New Zealand Storm-petrel ,CR ,Pelagic ,storm-petrels ,,,
Procellariiformes ,Hydrobatidae ,Oceanitidae ,Fregetta tropica ,Fregetta tropica ,TRUE,Black-bellied Storm-petrel ,LC ,Pelagic ,storm-petrels ,,,
Procellariiformes ,Procellariidae ,Procellariidae ,Fulmarus glacialis ,Fulmarus glacialis ,FALSE,Northern Fulmar ,LC ,Pelagic ,large petrels and shearwaters ,,,
Procellariiformes ,Procellariidae ,Procellariidae ,Fulmarus glacialoides ,Fulmarus glacialoides ,FALSE,Southern Fulmar ,LC ,Pelagic ,large petrels and shearwaters ,,,
Procellariiformes ,Hydrobatidae ,Oceanitidae ,Garrodia nereis ,Garrodia nereis ,TRUE,Grey-backed Storm-petrel ,LC ,Pelagic ,storm-petrels ,,,
Gaviiformes ,Gaviidae ,Gaviidae ,Gavia adamsii ,Gavia adamsii ,FALSE,Yellow-billed Loon ,NT ,Coastal ,sea ducks and allies ,,,
Gaviiformes ,Gaviidae ,Gaviidae ,Gavia arctica ,Gavia arctica ,FALSE,Arctic Loon ,LC ,Coastal ,sea ducks and allies ,,,
Gaviiformes ,Gaviidae ,Gaviidae ,Gavia immer ,Gavia immer ,FALSE,Common Loon ,LC ,Coastal ,sea ducks and allies ,,,
Gaviiformes ,Gaviidae ,Gaviidae ,Gavia pacifica ,Gavia pacifica ,FALSE,Pacific Loon ,LC ,Coastal ,sea ducks and allies ,,,
Gaviiformes ,Gaviidae ,Gaviidae ,Gavia stellata ,Gavia stellata ,FALSE,Red-throated Loon ,LC ,Coastal ,sea ducks and allies ,,,
Charadriiformes ,Laridae ,Laridae ,Gelochelidon nilotica,Gelochelidon macrotarsa ,TRUE,Australian Gull-billed Tern ,LC ,Coastal ,terns ,subspecies,,
Charadriiformes ,Laridae ,Laridae ,Gelochelidon nilotica ,Gelochelidon nilotica ,FALSE,Common Gull-billed Tern ,LC ,Coastal ,terns ,,,
Charadriiformes ,Laridae ,Laridae ,Gygis alba ,Gygis alba ,FALSE,Common White Tern ,LC ,Coastal ,terns ,genus Gygis not included in spp traits so no direct match,,
Charadriiformes ,Laridae ,Laridae ,Gygis alba,Gygis microrhyncha ,TRUE,Little White Tern ,LC ,Coastal ,terns ,subspecies of alba,,
Procellariiformes ,Procellariidae ,Procellariidae ,Halobaena caerulea ,Halobaena caerulea ,FALSE,Blue Petrel ,LC ,Pelagic ,small petrels ,,,
Anseriformes ,Anatidae ,Anatidae ,Histrionicus histrionicus ,Histrionicus histrionicus ,FALSE,Harlequin Duck ,LC ,Coastal ,sea ducks and allies ,,,
Procellariiformes ,Hydrobatidae ,Hydrobatidae ,Hydrobates furcatus ,Hydrobates furcatus ,FALSE,Fork-tailed Storm-petrel ,LC ,Pelagic ,storm-petrels ,,,
Procellariiformes ,Hydrobatidae ,Hydrobatidae ,Hydrobates pelagicus ,Hydrobates pelagicus ,FALSE,European Storm-petrel ,LC ,Pelagic ,storm-petrels ,,,
Charadriiformes ,Laridae ,Laridae ,Hydrocoloeus minutus ,Hydrocoloeus minutus ,FALSE,Little Gull ,LC ,Coastal ,gulls ,,,
Charadriiformes ,Laridae ,Laridae ,Hydroprogne caspia ,Hydroprogne caspia ,FALSE,Caspian Tern ,LC ,Coastal ,terns ,,,
Charadriiformes ,Laridae ,Laridae ,Larosterna inca ,Larosterna inca ,FALSE,Inca Tern ,NT ,Coastal ,terns ,,,
Charadriiformes ,Laridae ,Laridae ,Larus argentatus ,Larus argentatus ,FALSE,European Herring Gull ,LC ,Coastal ,gulls ,,,
Charadriiformes ,Laridae ,Laridae ,Larus atlanticus ,Larus atlanticus ,FALSE,Olrog's Gull ,NT ,Coastal ,gulls ,,,
Charadriiformes ,Laridae ,Laridae ,Larus atricilla ,Larus atricilla ,FALSE,Laughing Gull ,LC ,Coastal ,gulls ,,,
Charadriiformes ,Laridae ,Laridae ,Larus audouinii ,Larus audouinii ,FALSE,Audouin's Gull ,LC ,Coastal ,gulls ,,,
Charadriiformes ,Laridae ,Laridae ,Larus belcheri ,Larus belcheri ,FALSE,Belcher's Gull ,LC ,Coastal ,gulls ,,,
Charadriiformes ,Laridae ,Laridae ,Larus brunnicephalus ,Larus brunnicephalus ,FALSE,Brown-headed Gull ,LC ,Coastal ,gulls ,,,
Charadriiformes ,Laridae ,Laridae ,Larus cachinnans ,Larus cachinnans ,FALSE,Caspian Gull ,LC ,Coastal ,gulls ,,,
Charadriiformes ,Laridae ,Laridae ,Larus californicus ,Larus californicus ,FALSE,California Gull ,LC ,Coastal ,gulls ,,,
Charadriiformes ,Laridae ,Laridae ,Larus canus ,Larus canus ,FALSE,Mew Gull ,LC ,Coastal ,gulls ,,,
Charadriiformes ,Laridae ,Laridae ,Larus cirrocephalus ,Larus cirrocephalus ,FALSE,Grey-headed Gull ,LC ,Coastal ,gulls ,,,
Charadriiformes ,Laridae ,Laridae ,Larus crassirostris ,Larus crassirostris ,FALSE,Black-tailed Gull ,LC ,Coastal ,gulls ,,,
Charadriiformes ,Laridae ,Laridae ,Larus delawarensis ,Larus delawarensis ,FALSE,Ring-billed Gull ,LC ,Coastal ,gulls ,,,
Charadriiformes ,Laridae ,Laridae ,Larus dominicanus ,Larus dominicanus ,FALSE,Kelp Gull ,LC ,Coastal ,gulls ,,,
Charadriiformes ,Laridae ,Laridae ,Larus fuliginosus ,Larus fuliginosus ,FALSE,Lava Gull ,VU ,Coastal ,gulls ,,,
Charadriiformes ,Laridae ,Laridae ,Larus fuscus ,Larus fuscus ,FALSE,Lesser Black-backed Gull ,LC ,Coastal ,gulls ,,,
Charadriiformes ,Laridae ,Laridae ,Chroicocephalus genei,Larus genei ,TRUE,Slender-billed Gull ,LC ,Coastal ,gulls ,,,
Charadriiformes ,Laridae ,Laridae ,Larus glaucescens ,Larus glaucescens ,FALSE,Glaucous-winged Gull ,LC ,Coastal ,gulls ,,,
Charadriiformes ,Laridae ,Laridae ,Larus glaucoides ,Larus glaucoides ,FALSE,Iceland Gull ,LC ,Coastal ,gulls ,,,
Charadriiformes ,Laridae ,Laridae ,Larus hartlaubii ,Larus hartlaubii ,FALSE,Hartlaub's Gull ,LC ,Coastal ,gulls ,,,
Charadriiformes ,Laridae ,Laridae ,Larus heermanni ,Larus heermanni ,FALSE,Heermann's Gull ,NT ,Coastal ,gulls ,,,
Charadriiformes ,Laridae ,Laridae ,Larus hemprichii ,Larus hemprichii ,FALSE,Sooty Gull ,LC ,Coastal ,gulls ,,,
Charadriiformes ,Laridae ,Laridae ,Larus hyperboreus ,Larus hyperboreus ,FALSE,Glaucous Gull ,LC ,Coastal ,gulls ,,,
Charadriiformes ,Laridae ,Laridae ,Larus ichthyaetus ,Larus ichthyaetus ,FALSE,Pallas's Gull ,LC ,Coastal ,gulls ,,,
Charadriiformes ,Laridae ,Laridae ,Larus leucophthalmus ,Larus leucophthalmus ,FALSE,White-eyed Gull ,LC ,Coastal ,gulls ,,,
Charadriiformes ,Laridae ,Laridae ,Larus livens ,Larus livens ,FALSE,Yellow-footed Gull ,LC ,Coastal ,gulls ,,,
Charadriiformes ,Laridae ,Laridae ,Larus maculipennis ,Larus maculipennis ,FALSE,Brown-hooded Gull ,LC ,Coastal ,gulls ,,,
Charadriiformes ,Laridae ,Laridae ,Larus marinus ,Larus marinus ,FALSE,Great Black-backed Gull ,LC ,Coastal ,gulls ,,,
Charadriiformes ,Laridae ,Laridae ,Larus melanocephalus ,Larus melanocephalus ,FALSE,Mediterranean Gull ,LC ,Coastal ,gulls ,,,
Charadriiformes ,Laridae ,Laridae ,Larus michahellis ,Larus michahellis ,FALSE,Yellow-legged Gull ,LC ,Coastal ,gulls ,,,
Charadriiformes ,Laridae ,Laridae ,Larus modestus ,Larus modestus ,FALSE,Grey Gull ,LC ,Coastal ,gulls ,,,
Charadriiformes ,Laridae ,Laridae ,Larus novaehollandiae ,Larus novaehollandiae ,FALSE,Silver Gull ,LC ,Coastal ,gulls ,,,
Charadriiformes ,Laridae ,Laridae ,Larus occidentalis ,Larus occidentalis ,FALSE,Western Gull ,LC ,Coastal ,gulls ,,,
Charadriiformes ,Laridae ,Laridae ,Larus pacificus ,Larus pacificus ,FALSE,Pacific Gull ,LC ,Coastal ,gulls ,,,
Charadriiformes ,Laridae ,Laridae ,Larus philadelphia ,Larus philadelphia ,FALSE,Bonaparte's Gull ,LC ,Coastal ,gulls ,,,
Charadriiformes ,Laridae ,Laridae ,Larus pipixcan ,Larus pipixcan ,FALSE,Franklin's Gull ,LC ,Coastal ,gulls ,,,
Charadriiformes ,Laridae ,Laridae ,Larus ridibundus ,Larus ridibundus ,FALSE,Black-headed Gull ,LC ,Coastal ,gulls ,,,
Charadriiformes ,Laridae ,Laridae ,Larus schistisagus ,Larus schistisagus ,FALSE,Slaty-backed Gull ,LC ,Coastal ,gulls ,,,
Charadriiformes ,Laridae ,Laridae ,Larus smithsonianus ,Larus smithsonianus ,FALSE,Arctic Herring Gull ,LC ,Coastal ,gulls ,,,
Charadriiformes ,Laridae ,Laridae ,Leucophaeus scoresbii ,Larus scoresbii ,TRUE,Dolphin Gull ,LC ,Coastal ,gulls ,,,
Procellariiformes ,Procellariidae ,Procellariidae ,Macronectes giganteus ,Macronectes giganteus ,FALSE,Southern Giant Petrel ,LC ,Pelagic ,large petrels and shearwaters ,,,
Procellariiformes ,Procellariidae ,Procellariidae ,Macronectes halli ,Macronectes halli ,FALSE,Northern Giant Petrel ,LC ,Pelagic ,large petrels and shearwaters ,,,
Sphenisciformes ,Spheniscidae ,Spheniscidae ,Megadyptes antipodes ,Megadyptes antipodes ,FALSE,Yellow-eyed Penguin ,EN ,Pelagic ,penguins ,,,
Anseriformes ,Anatidae ,Anatidae ,Melanitta americana ,Melanitta americana ,FALSE,Black Scoter ,NT ,Coastal ,sea ducks and allies ,,,
Anseriformes ,Anatidae ,Anatidae ,Melanitta deglandi ,Melanitta deglandi ,FALSE,White-winged Scoter ,LC ,Coastal ,sea ducks and allies ,,,
Anseriformes ,Anatidae ,Anatidae ,Melanitta fusca ,Melanitta fusca ,FALSE,Velvet Scoter ,VU ,Coastal ,sea ducks and allies ,,,
Anseriformes ,Anatidae ,Anatidae ,Melanitta nigra ,Melanitta nigra ,FALSE,Common Scoter ,LC ,Coastal ,sea ducks and allies ,,,
Anseriformes ,Anatidae ,Anatidae ,Melanitta perspicillata ,Melanitta perspicillata ,FALSE,Surf Scoter ,LC ,Coastal ,sea ducks and allies ,,,
Anseriformes ,Anatidae ,Anatidae ,Melanitta deglandi,Melanitta stejnegeri ,TRUE,Siberian Scoter ,LC ,Coastal ,sea ducks and allies ,subspecies,,
Anseriformes ,Anatidae ,Anatidae ,Mergus merganser ,Mergus merganser ,FALSE,Goosander ,LC ,Coastal ,sea ducks and allies ,,,
Anseriformes ,Anatidae ,Anatidae ,Mergus serrator ,Mergus serrator ,FALSE,Red-breasted Merganser ,LC ,Coastal ,sea ducks and allies ,,,
Suliformes ,Sulidae ,Sulidae ,Morus bassanus ,Morus bassanus ,FALSE,Northern Gannet ,LC ,Pelagic ,gannets and boobies ,,,
Suliformes ,Sulidae ,Sulidae ,Morus capensis ,Morus capensis ,FALSE,Cape Gannet ,EN ,Pelagic ,gannets and boobies ,,,
Suliformes ,Sulidae ,Sulidae ,Morus serrator ,Morus serrator ,FALSE,Australasian Gannet ,LC ,Pelagic ,gannets and boobies ,,,
Procellariiformes ,Hydrobatidae ,Oceanitidae ,Nesofregetta fuliginosa ,Nesofregetta fuliginosa ,TRUE,Polynesian Storm-petrel ,EN ,Pelagic ,storm-petrels ,,,
Procellariiformes ,Hydrobatidae ,Oceanitidae ,Oceanites gracilis ,Oceanites gracilis ,TRUE,White-vented Storm-petrel ,DD ,Pelagic ,storm-petrels ,,,
Procellariiformes ,Hydrobatidae ,Oceanitidae ,Oceanites oceanicus ,Oceanites oceanicus ,TRUE,Wilson's Storm-petrel ,LC ,Pelagic ,storm-petrels ,,,
Procellariiformes ,Hydrobatidae ,Oceanitidae ,Oceanites pincoyae ,Oceanites pincoyae ,TRUE,Pincoya Storm-petrel ,DD ,Pelagic ,storm-petrels ,not showing up?,,
Procellariiformes ,Hydrobatidae ,Hydrobatidae ,Oceanodroma castro ,Hydrobates castro ,TRUE,Band-rumped Storm-petrel ,LC ,Pelagic ,storm-petrels ,,,
Procellariiformes ,Hydrobatidae ,Hydrobatidae ,Oceanodroma homochroa ,Hydrobates homochroa ,TRUE,Ashy Storm-petrel ,EN ,Pelagic ,storm-petrels ,,,
Procellariiformes ,Hydrobatidae ,Hydrobatidae ,Oceanodroma hornbyi ,Hydrobates hornbyi ,TRUE,Ringed Storm-petrel ,DD ,Pelagic ,storm-petrels ,,,
Procellariiformes ,Hydrobatidae ,Hydrobatidae ,Oceanodroma leucorhoa,Hydrobates leucorhous ,TRUE,Leach's Storm-petrel ,VU ,Pelagic ,storm-petrels ,,,
Procellariiformes ,Hydrobatidae ,Hydrobatidae ,Oceanodroma macrodactyla,Hydrobates macrodactylus ,TRUE,Guadalupe Storm-petrel ,CR(PE) ,Pelagic ,storm-petrels ,,,
Procellariiformes ,Hydrobatidae ,Hydrobatidae ,Oceanodroma markhami ,Hydrobates markhami ,TRUE,Markham's Storm-petrel ,DD ,Pelagic ,storm-petrels ,,,
Procellariiformes ,Hydrobatidae ,Hydrobatidae ,Oceanodroma matsudairae ,Hydrobates matsudairae ,TRUE,Matsudaira's Storm-petrel ,VU ,Pelagic ,storm-petrels ,,,
Procellariiformes ,Hydrobatidae ,Hydrobatidae ,Oceanodroma melania ,Hydrobates melania ,TRUE,Black Storm-petrel ,LC ,Pelagic ,storm-petrels ,,,
Procellariiformes ,Hydrobatidae ,Hydrobatidae ,Oceanodroma microsoma ,Hydrobates microsoma ,TRUE,Least Storm-petrel ,LC ,Pelagic ,storm-petrels ,,,
Procellariiformes ,Hydrobatidae ,Hydrobatidae ,Oceanodroma monorhis ,Hydrobates monorhis ,TRUE,Swinhoe's Storm-petrel ,NT ,Pelagic ,storm-petrels ,,,
Procellariiformes ,Hydrobatidae ,Hydrobatidae ,Oceanodroma monteiroi ,Hydrobates monteiroi ,TRUE,Monteiro's Storm-petrel ,VU ,Pelagic ,storm-petrels ,,,
Procellariiformes ,Hydrobatidae ,Hydrobatidae ,Oceanodroma tethys ,Hydrobates tethys ,TRUE,Wedge-rumped Storm-petrel ,LC ,Pelagic ,storm-petrels ,,,
Procellariiformes ,Hydrobatidae ,Hydrobatidae ,Oceanodroma tristrami ,Hydrobates tristrami ,TRUE,Tristram's Storm-petrel ,NT ,Pelagic ,storm-petrels ,,,
Charadriiformes ,Laridae ,Laridae ,Onychoprion aleuticus ,Onychoprion aleuticus ,FALSE,Aleutian Tern ,VU ,Coastal ,terns ,,,
Charadriiformes ,Laridae ,Laridae ,Onychoprion anaethetus ,Onychoprion anaethetus ,FALSE,Bridled Tern ,LC ,Coastal ,terns ,,,
Charadriiformes ,Laridae ,Laridae ,Onychoprion fuscatus ,Onychoprion fuscatus ,FALSE,Sooty Tern ,LC ,Coastal ,terns ,,,
Charadriiformes ,Laridae ,Laridae ,Onychoprion lunatus ,Onychoprion lunatus ,FALSE,Grey-backed Tern ,LC ,Coastal ,terns ,,,
Procellariiformes ,Procellariidae ,Procellariidae ,Pachyptila belcheri ,Pachyptila belcheri ,FALSE,Slender-billed Prion ,LC ,Pelagic ,small petrels ,,,
Procellariiformes ,Procellariidae ,Procellariidae ,Pachyptila desolata ,Pachyptila desolata ,FALSE,Antarctic Prion ,LC ,Pelagic ,small petrels ,,,
Procellariiformes ,Procellariidae ,Procellariidae ,Pachyptila salvini ,Pachyptila macgillivrayi ,TRUE,MacGillivray's Prion ,EN ,Pelagic ,small petrels ,subspecies of salvini,,
Procellariiformes ,Procellariidae ,Procellariidae ,Pachyptila salvini ,Pachyptila salvini ,FALSE,Salvin's Prion ,LC ,Pelagic ,small petrels ,,,
Procellariiformes ,Procellariidae ,Procellariidae ,Pachyptila turtur ,Pachyptila crassirostris ,TRUE,Fulmar Prion ,LC ,Pelagic ,small petrels ,,,
Procellariiformes ,Procellariidae ,Procellariidae ,Pachyptila turtur ,Pachyptila turtur ,FALSE,Fairy Prion ,LC ,Pelagic ,small petrels ,,,
