spp_gp,name,rank,id,error,db
adelieledone piatkowski,Cephalopoda,class,11707,FALSE,worms
adelieledone piatkowski,Coleoidea,subclass,11709,FALSE,worms
adelieledone piatkowski,Octopodiformes,superorder,325343,FALSE,worms
adelieledone piatkowski,Octopoda,order,11718,FALSE,worms
adelieledone piatkowski,Incirrata,suborder,11733,FALSE,worms
adelieledone piatkowski,Octopodoidea,superfamily,14672,FALSE,worms
adelieledone piatkowski,Megaleledonidae,family,834050,FALSE,worms
adelieledone piatkowski,Adelieledone,genus,325316,FALSE,worms
adelieledone piatkowski,Adelieledone piatkowski,species,325318,FALSE,worms
afrololigo mercatoris,Animalia,kingdom,2,FALSE,worms
afrololigo mercatoris,Mollusca,phylum,51,FALSE,worms
afrololigo mercatoris,Cephalopoda,class,11707,FALSE,worms
afrololigo mercatoris,Coleoidea,subclass,11709,FALSE,worms
afrololigo mercatoris,Decapodiformes,superorder,325342,FALSE,worms
afrololigo mercatoris,Myopsida,order,11728,FALSE,worms
afrololigo mercatoris,Loliginidae,family,11734,FALSE,worms
afrololigo mercatoris,Afrololigo,genus,410040,FALSE,worms
afrololigo mercatoris,Afrololigo mercatoris,species,410041,FALSE,worms
allonautilus,Animalia,kingdom,2,FALSE,worms
allonautilus,Mollusca,phylum,51,FALSE,worms
allonautilus,Cephalopoda,class,11707,FALSE,worms
allonautilus,Nautiloidea,subclass,153043,FALSE,worms
allonautilus,Nautilida,order,153046,FALSE,worms
allonautilus,Nautilidae,family,153112,FALSE,worms
allonautilus,Allonautilus,genus,341404,FALSE,worms
alloteuthis,Animalia,kingdom,2,FALSE,worms
alloteuthis,Mollusca,phylum,51,FALSE,worms
alloteuthis,Cephalopoda,class,11707,FALSE,worms
alloteuthis,Coleoidea,subclass,11709,FALSE,worms
alloteuthis,Decapodiformes,superorder,325342,FALSE,worms
alloteuthis,Myopsida,order,11728,FALSE,worms
alloteuthis,Loliginidae,family,11734,FALSE,worms
alloteuthis,Alloteuthis,genus,138138,FALSE,worms
alluroteuthis antarcticus,Animalia,kingdom,2,FALSE,worms
alluroteuthis antarcticus,Mollusca,phylum,51,FALSE,worms
alluroteuthis antarcticus,Cephalopoda,class,11707,FALSE,worms
alluroteuthis antarcticus,Coleoidea,subclass,11709,FALSE,worms
alluroteuthis antarcticus,Decapodiformes,superorder,325342,FALSE,worms
alluroteuthis antarcticus,Oegopsida,order,11730,FALSE,worms
alluroteuthis antarcticus,Onychoteuthoidea,superfamily,1454593,FALSE,worms
alluroteuthis antarcticus,Neoteuthidae,family,153031,FALSE,worms
alluroteuthis antarcticus,Alluroteuthis,genus,325301,FALSE,worms
alluroteuthis antarcticus,Alluroteuthis antarcticus,species,325302,FALSE,worms
ameloctopus litoralis,Animalia,kingdom,2,FALSE,worms
ameloctopus litoralis,Mollusca,phylum,51,FALSE,worms
ameloctopus litoralis,Cephalopoda,class,11707,FALSE,worms
ameloctopus litoralis,Coleoidea,subclass,11709,FALSE,worms
ameloctopus litoralis,Octopodiformes,superorder,325343,FALSE,worms
ameloctopus litoralis,Octopoda,order,11718,FALSE,worms
ameloctopus litoralis,Incirrata,suborder,11733,FALSE,worms
ameloctopus litoralis,Octopodoidea,superfamily,14672,FALSE,worms
ameloctopus litoralis,Octopodidae,family,11782,FALSE,worms
ameloctopus litoralis,Ameloctopus,genus,341405,FALSE,worms
ameloctopus litoralis,Ameloctopus litoralis,species,342270,FALSE,worms
amphioctopus,Animalia,kingdom,2,FALSE,worms
amphioctopus,Mollusca,phylum,51,FALSE,worms
amphioctopus,Cephalopoda,class,11707,FALSE,worms
amphioctopus,Coleoidea,subclass,11709,FALSE,worms
amphioctopus,Octopodiformes,superorder,325343,FALSE,worms
amphioctopus,Octopoda,order,11718,FALSE,worms
amphioctopus,Incirrata,suborder,11733,FALSE,worms
amphioctopus,Octopodoidea,superfamily,14672,FALSE,worms
amphioctopus,Octopodidae,family,11782,FALSE,worms
amphioctopus,Amphioctopus,genus,341406,FALSE,worms
amphioctopus aegina,Animalia,kingdom,2,FALSE,worms
amphioctopus aegina,Mollusca,phylum,51,FALSE,worms
amphioctopus aegina,Cephalopoda,class,11707,FALSE,worms
amphioctopus aegina,Coleoidea,subclass,11709,FALSE,worms
amphioctopus aegina,Octopodiformes,superorder,325343,FALSE,worms
amphioctopus aegina,Octopoda,order,11718,FALSE,worms
amphioctopus aegina,Incirrata,suborder,11733,FALSE,worms
amphioctopus aegina,Octopodoidea,superfamily,14672,FALSE,worms
amphioctopus aegina,Octopodidae,family,11782,FALSE,worms
amphioctopus aegina,Amphioctopus,genus,341406,FALSE,worms
amphioctopus aegina,Amphioctopus aegina,species,534097,FALSE,worms
amphioctopus arenicola,Animalia,kingdom,2,FALSE,worms
amphioctopus arenicola,Mollusca,phylum,51,FALSE,worms
amphioctopus arenicola,Cephalopoda,class,11707,FALSE,worms
amphioctopus arenicola,Coleoidea,subclass,11709,FALSE,worms
amphioctopus arenicola,Octopodiformes,superorder,325343,FALSE,worms
amphioctopus arenicola,Octopoda,order,11718,FALSE,worms
amphioctopus arenicola,Incirrata,suborder,11733,FALSE,worms
amphioctopus arenicola,Octopodoidea,superfamily,14672,FALSE,worms
amphioctopus arenicola,Octopodidae,family,11782,FALSE,worms
amphioctopus arenicola,Amphioctopus,genus,341406,FALSE,worms
amphioctopus arenicola,Amphioctopus arenicola,species,342271,FALSE,worms
amphioctopus burryi,Animalia,kingdom,2,FALSE,worms
amphioctopus burryi,Mollusca,phylum,51,FALSE,worms
amphioctopus burryi,Cephalopoda,class,11707,FALSE,worms
amphioctopus burryi,Coleoidea,subclass,11709,FALSE,worms
amphioctopus burryi,Octopodiformes,superorder,325343,FALSE,worms
amphioctopus burryi,Octopoda,order,11718,FALSE,worms
amphioctopus burryi,Incirrata,suborder,11733,FALSE,worms
amphioctopus burryi,Octopodoidea,superfamily,14672,FALSE,worms
amphioctopus burryi,Octopodidae,family,11782,FALSE,worms
amphioctopus burryi,Amphioctopus,genus,341406,FALSE,worms
amphioctopus burryi,Amphioctopus burryi,species,420653,FALSE,worms
graneledone macrotyla,Animalia,kingdom,2,FALSE,worms
graneledone macrotyla,Mollusca,phylum,51,FALSE,worms
graneledone macrotyla,Cephalopoda,class,11707,FALSE,worms
graneledone macrotyla,Coleoidea,subclass,11709,FALSE,worms
graneledone macrotyla,Octopodiformes,superorder,325343,FALSE,worms
graneledone macrotyla,Octopoda,order,11718,FALSE,worms
graneledone macrotyla,Incirrata,suborder,11733,FALSE,worms
graneledone macrotyla,Octopodoidea,superfamily,14672,FALSE,worms
graneledone macrotyla,Megaleledonidae,family,834050,FALSE,worms
graneledone macrotyla,Graneledone,genus,157018,FALSE,worms
graneledone macrotyla,Graneledone macrotyla,species,342225,FALSE,worms
graneledone taniwha,Animalia,kingdom,2,FALSE,worms
graneledone taniwha,Mollusca,phylum,51,FALSE,worms
graneledone taniwha,Cephalopoda,class,11707,FALSE,worms
graneledone taniwha,Coleoidea,subclass,11709,FALSE,worms
graneledone taniwha,Octopodiformes,superorder,325343,FALSE,worms
graneledone taniwha,Octopoda,order,11718,FALSE,worms
graneledone taniwha,Incirrata,suborder,11733,FALSE,worms
graneledone taniwha,Octopodoidea,superfamily,14672,FALSE,worms
graneledone taniwha,Megaleledonidae,family,834050,FALSE,worms
graneledone taniwha,Graneledone,genus,157018,FALSE,worms
