iucn_sid,name,rank
154677,Labriformes,order
154677,Labridae,family
154677,Scarus,genus
154677,Scarus festivus,species
154697,Metazoa,kingdom
154697,Chordata,phylum
154697,Actinopteri,class
154697,Labriformes,order
154697,Labridae,family
154697,Xyrichtys,genus
154697,Xyrichtys martinicensis,species
154701,Metazoa,kingdom
154701,Chordata,phylum
154701,Actinopteri,class
154701,Labriformes,order
154701,Labridae,family
154701,Pseudolabrus,genus
154701,Pseudolabrus luculentus,species
154706,Metazoa,kingdom
154706,Chordata,phylum
154706,Actinopteri,class
154706,Labriformes,order
154706,Labridae,family
154706,Scarus,genus
154706,Scarus dubius,species
154708,Metazoa,kingdom
154708,Chordata,phylum
154708,Actinopteri,class
154708,Spariformes,order
154708,Sparidae,family
154708,Diplodus,genus
154708,Diplodus cervinus,species
154717,Metazoa,kingdom
154717,Chordata,phylum
154717,Actinopteri,class
154717,Clupeiformes,order
154717,Engraulidae,family
154717,Anchoa,genus
154717,Anchoa choerostoma,species
154734,Metazoa,kingdom
154734,Chordata,phylum
154734,Actinopteri,class
154734,Spariformes,order
154734,Sparidae,family
154734,Pagrus,genus
154734,Pagrus auratus,species
154753,Metazoa,kingdom
154753,Chordata,phylum
154753,Actinopteri,class
154753,Blenniiformes,order
154753,Blenniidae,family
154753,Hypleurochilus,genus
154753,Hypleurochilus bananensis,species
154759,Metazoa,kingdom
154759,Chordata,phylum
154759,Actinopteri,class
154759,Clupeiformes,order
154759,Clupeidae,family
154759,Spratelloides,genus
154759,Spratelloides gracilis,species
154763,Metazoa,kingdom
154763,Chordata,phylum
154763,Actinopteri,class
154763,Blenniiformes,order
154763,Tripterygiidae,family
154763,Axoclinus,genus
154763,Axoclinus multicinctus,species
154774,Metazoa,kingdom
154774,Chordata,phylum
154774,Actinopteri,class
154774,Clupeiformes,order
154774,Clupeidae,family
154774,Nematalosa,genus
154774,Nematalosa nasus,species
154775,Metazoa,kingdom
154775,Chordata,phylum
154775,Actinopteri,class
154775,Blenniiformes,order
154775,Chaenopsidae,family
154775,Emblemariopsis,genus
154775,Emblemariopsis signifer,species
154788,Metazoa,kingdom
154788,Chordata,phylum
154788,Actinopteri,class
154788,Chaetodontiformes,order
154788,Chaetodontidae,family
154788,Hemitaurichthys,genus
154788,Hemitaurichthys thompsoni,species
154793,Metazoa,kingdom
154793,Chordata,phylum
154793,Actinopteri,class
154793,Clupeiformes,order
154793,Clupeidae,family
154793,Jenkinsia,genus
154793,Jenkinsia lamprotaenia,species
154809,Metazoa,kingdom
154809,Chordata,phylum
154809,Actinopteri,class
154809,Pomacanthidae,family
154809,Apolemichthys,genus
154809,Apolemichthys kingi,species
154817,Metazoa,kingdom
154817,Chordata,phylum
154817,Actinopteri,class
154817,Blenniiformes,order
154817,Labrisomidae,family
154817,Malacoctenus,genus
154817,Malacoctenus zonogaster,species
154818,Metazoa,kingdom
154818,Chordata,phylum
154818,Actinopteri,class
154818,Acanthuriformes,order
154818,Acanthuridae,family
154818,Acanthurus,genus
154818,Acanthurus gahhm,species
154825,Metazoa,kingdom
154825,Chordata,phylum
154825,Myxini,class
154825,Myxiniformes,order
154825,Myxinidae,family
154825,Eptatretus,genus
154825,Eptatretus cirrhatus,species
154829,Metazoa,kingdom
154829,Chordata,phylum
154829,Actinopteri,class
154829,Blenniiformes,order
154829,Blenniidae,family
154829,Parablennius,genus
154829,Parablennius yatabei,species
154834,Metazoa,kingdom
154834,Chordata,phylum
154834,Actinopteri,class
154834,Blenniiformes,order
154834,Tripterygiidae,family
154834,Helcogramma,genus
154834,Helcogramma inclinata,species
154853,Metazoa,kingdom
154853,Chordata,phylum
154853,Actinopteri,class
154853,Syngnathiformes,order
154853,Syngnathidae,family
154853,Syngnathus,genus
154853,Syngnathus floridae,species
154855,Metazoa,kingdom
154855,Chordata,phylum
154855,Actinopteri,class
154855,Syngnathiformes,order
154855,Syngnathidae,family
154855,Hippichthys,genus
154855,Hippichthys spicifer,species
154891,Metazoa,kingdom
154891,Chordata,phylum
154891,Actinopteri,class
154891,Labriformes,order
154891,Labridae,family
154891,Cirrhilabrus,genus
154891,Cirrhilabrus lineatus,species
154904,Metazoa,kingdom
154904,Chordata,phylum
154904,Actinopteri,class
154904,Labriformes,order
154904,Labridae,family
154904,Halichoeres,genus
154904,Halichoeres ornatissimus,species
154927,Metazoa,kingdom
154927,Chordata,phylum
154927,Actinopteri,class
154927,Blenniiformes,order
154927,Blenniidae,family
154927,Entomacrodus,genus
154927,Entomacrodus macrospilus,species
154943,Metazoa,kingdom
154943,Chordata,phylum
154943,Actinopteri,class
154943,Blenniiformes,order
154943,Clinidae,family
154943,Heteroclinus,genus
154943,Heteroclinus whiteleggii,species
154946,Metazoa,kingdom
154946,Chordata,phylum
154946,Actinopteri,class
154946,Scombriformes,order
154946,Scombridae,family
154946,Scomberomorus,genus
154946,Scomberomorus queenslandicus,species
154954,Metazoa,kingdom
154954,Chordata,phylum
154954,Actinopteri,class
154954,Labriformes,order
154954,Labridae,family
154954,Thalassoma,genus
154954,Thalassoma lucasanum,species
154958,Metazoa,kingdom
154958,Chordata,phylum
154958,Actinopteri,class
154958,Blenniiformes,order
154958,Clinidae,family
154958,Heteroclinus,genus
154958,Heteroclinus roseus,species
154960,Metazoa,kingdom
154960,Chordata,phylum
154960,Actinopteri,class
154960,Labriformes,order
154960,Labridae,family
154960,Scarus,genus
154960,Scarus oviceps,species
154968,Metazoa,kingdom
154968,Chordata,phylum
154968,Actinopteri,class
154968,Clupeiformes,order
154968,Dussumieriidae,family
154968,Etrumeus,genus
154968,Etrumeus whiteheadi,species
154971,Metazoa,kingdom
154971,Chordata,phylum
154971,Actinopteri,class
154971,Labriformes,order
154971,Labridae,family
154971,Scarus,genus
154971,Scarus viridifucatus,species
154972,Metazoa,kingdom
154972,Chordata,phylum
154972,Actinopteri,class
154972,Blenniiformes,order
154972,Blenniidae,family
154972,Parablennius,genus
154972,Parablennius zvonimiri,species
154975,Metazoa,kingdom
154975,Chordata,phylum
154975,Actinopteri,class
154975,Clupeiformes,order
154975,Engraulidae,family
154975,Anchoa,genus
154975,Anchoa delicatissima,species
154989,Metazoa,kingdom
154989,Chordata,phylum
154989,Actinopteri,class
154989,Clupeiformes,order
154989,Clupeidae,family
154989,Sardinella,genus
154989,Sardinella longiceps,species
155006,Metazoa,kingdom
155006,Chordata,phylum
155006,Actinopteri,class
155006,Labriformes,order
155006,Labridae,family
155006,Coris,genus
155006,Coris caudimacula,species
155013,Metazoa,kingdom
155013,Chordata,phylum
155013,Actinopteri,class
155013,Blenniiformes,order
155013,Blenniidae,family
155013,Parablennius,genus
155013,Parablennius parvicornis,species
155017,Metazoa,kingdom
155017,Chordata,phylum
155017,Actinopteri,class
155017,Labriformes,order
155017,Labridae,family
155017,Labroides,genus
155017,Labroides phthirophagus,species
155020,Metazoa,kingdom
155020,Chordata,phylum
155020,Actinopteri,class
155020,Clupeiformes,order
155020,Engraulidae,family
155020,Anchoa,genus
155020,Anchoa walkeri,species
155029,Metazoa,kingdom
155029,Chordata,phylum
155029,Actinopteri,class
155029,Blenniiformes,order
155029,Blenniidae,family
155029,Salarias,genus
155029,Salarias ceramensis,species
155030,Metazoa,kingdom
155030,Chordata,phylum
155030,Actinopteri,class
155030,Syngnathiformes,order
155030,Centriscidae,family
155030,Macroramphosus,genus
155030,Macroramphosus scolopax,species
155032,Metazoa,kingdom
155032,Chordata,phylum
155032,Actinopteri,class
155032,Labriformes,order
155032,Labridae,family
155032,Cirrhilabrus,genus
155032,Cirrhilabrus rubripinnis,species
155034,Metazoa,kingdom
155034,Chordata,phylum
155034,Actinopteri,class
155034,Blenniiformes,order
155034,Blenniidae,family
155034,Crossosalarias,genus
155034,Crossosalarias macrospilus,species
155073,Metazoa,kingdom
155073,Chordata,phylum
155073,Actinopteri,class
155073,Syngnathiformes,order
155073,Syngnathidae,family
155073,Doryrhamphus,genus
155073,Doryrhamphus janssi,species
155076,Metazoa,kingdom
155076,Chordata,phylum
155076,Actinopteri,class
155076,Labriformes,order
155076,Labridae,family
155076,Halichoeres,genus
155076,Halichoeres notospilus,species
155083,Metazoa,kingdom
155083,Chordata,phylum
155083,Actinopteri,class
155083,Pomacanthidae,family
155083,Centropyge,genus
155083,Centropyge acanthops,species
155096,Metazoa,kingdom
155096,Chordata,phylum
155096,Actinopteri,class
155096,Scombriformes,order
155096,Scombridae,family
155096,Sarda,genus
155096,Sarda sarda,species
155099,Metazoa,kingdom
155099,Chordata,phylum
155099,Actinopteri,class
155099,Blenniiformes,order
155099,Blenniidae,family
155099,Omobranchus,genus
155099,Omobranchus anolius,species
155108,Metazoa,kingdom
155108,Chordata,phylum
155108,Actinopteri,class
155108,Blenniiformes,order
155108,Blenniidae,family
155108,Omobranchus,genus
155108,Omobranchus rotundiceps,species
155116,Metazoa,kingdom
155116,Chordata,phylum
155116,Actinopteri,class
155116,Clupeiformes,order
155116,Clupeidae,family
155116,Sardinella,genus
155116,Sardinella albella,species
155120,Metazoa,kingdom
155120,Chordata,phylum
155120,Actinopteri,class
155120,Acanthuriformes,order
155120,Acanthuridae,family
155120,Naso,genus
155120,Naso vlamingii,species
155121,Metazoa,kingdom
155121,Chordata,phylum
155121,Actinopteri,class
155121,Blenniiformes,order
155121,Labrisomidae,family
155121,Paraclinus,genus
155121,Paraclinus integripinnis,species
155123,Metazoa,kingdom
155123,Chordata,phylum
155123,Actinopteri,class
155123,Clupeiformes,order
155123,Clupeidae,family
155123,Clupea,genus
155123,Clupea harengus,species
155146,Metazoa,kingdom
155146,Chordata,phylum
155146,Actinopteri,class
155146,Labriformes,order
155146,Labridae,family
155146,Anampses,genus
155146,Anampses melanurus,species
155156,Metazoa,kingdom
155156,Chordata,phylum
155156,Actinopteri,class
155156,Blenniiformes,order
155156,Tripterygiidae,family
155156,Lepidonectes,genus
155156,Lepidonectes corallicola,species
155165,Metazoa,kingdom
155165,Chordata,phylum
155165,Actinopteri,class
155165,Syngnathiformes,order
155165,Syngnathidae,family
155165,Corythoichthys,genus
155165,Corythoichthys amplexus,species
155167,Metazoa,kingdom
155167,Chordata,phylum
155167,Actinopteri,class
155167,Blenniiformes,order
155167,Labrisomidae,family
155167,Malacoctenus,genus
155167,Malacoctenus macropus,species
155174,Metazoa,kingdom
155174,Chordata,phylum
155174,Actinopteri,class
155174,Blenniiformes,order
155174,Labrisomidae,family
155174,Neoclinus,genus
155174,Neoclinus uninotatus,species
155181,Metazoa,kingdom
155181,Chordata,phylum
155181,Actinopteri,class
155181,Clupeiformes,order
155181,Pristigasteridae,family
155181,Chirocentrodon,genus
155181,Chirocentrodon bleekerianus,species
155186,Metazoa,kingdom
155186,Chordata,phylum
155186,Actinopteri,class
155186,Blenniiformes,order
155186,Blenniidae,family
155186,Cirripectes,genus
155186,Cirripectes filamentosus,species
155193,Metazoa,kingdom
155193,Chordata,phylum
155193,Actinopteri,class
155193,Chaetodontiformes,order
155193,Chaetodontidae,family
155193,Coradion,genus
155193,Coradion melanopus,species
155212,Metazoa,kingdom
155212,Chordata,phylum
155212,Actinopteri,class
155212,Syngnathiformes,order
155212,Syngnathidae,family
155212,Cosmocampus,genus
155212,Cosmocampus elucens,species
155220,Metazoa,kingdom
155220,Chordata,phylum
155220,Actinopteri,class
155220,Chaetodontiformes,order
155220,Chaetodontidae,family
155220,Chaetodon,genus
155220,Chaetodon sedentarius,species
155221,Metazoa,kingdom
155221,Chordata,phylum
155221,Actinopteri,class
155221,Labriformes,order
155221,Labridae,family
155221,Halichoeres,genus
155221,Halichoeres papilionaceus,species
155237,Metazoa,kingdom
155237,Chordata,phylum
155237,Actinopteri,class
155237,Blenniiformes,order
155237,Tripterygiidae,family
155237,Enneapterygius,genus
155237,Enneapterygius abeli,species
155238,Metazoa,kingdom
155238,Chordata,phylum
155238,Actinopteri,class
155238,Labriformes,order
155238,Labridae,family
155238,Halichoeres,genus
155238,Halichoeres binotopsis,species
155240,Metazoa,kingdom
155240,Chordata,phylum
155240,Actinopteri,class
155240,Clupeiformes,order
155240,Engraulidae,family
155240,Thryssa,genus
155240,Thryssa mystax,species
155248,Metazoa,kingdom
155248,Chordata,phylum
155248,Actinopteri,class
155248,Blenniiformes,order
155248,Labrisomidae,family
155248,Starksia,genus
155248,Starksia guttata,species
155252,Metazoa,kingdom
155252,Chordata,phylum
155252,Actinopteri,class
155252,Labriformes,order
155252,Labridae,family
155252,Pseudojuloides,genus
155252,Pseudojuloides kaleidos,species
155270,Metazoa,kingdom
155270,Chordata,phylum
155270,Actinopteri,class
155270,Blenniiformes,order
155270,Blenniidae,family
155270,Entomacrodus,genus
155270,Entomacrodus stellifer,species
155276,Metazoa,kingdom
155276,Chordata,phylum
155276,Actinopteri,class
155276,Scombriformes,order
155276,Scombridae,family
155276,Thunnus,genus
155276,Thunnus atlanticus,species
155285,Metazoa,kingdom
155285,Chordata,phylum
155285,Actinopteri,class
155285,Syngnathiformes,order
155285,Syngnathidae,family
155285,Vanacampus,genus
155285,Vanacampus vercoi,species
155290,Metazoa,kingdom
155290,Chordata,phylum
155290,Actinopteri,class
155290,Labriformes,order
155290,Labridae,family
155290,Scarus,genus
155290,Scarus schlegeli,species
155292,Metazoa,kingdom
155292,Chordata,phylum
155292,Actinopteri,class
155292,Labriformes,order
155292,Labridae,family
155292,Sparisoma,genus
155292,Sparisoma strigatum,species
155294,Metazoa,kingdom
155294,Chordata,phylum
155294,Actinopteri,class
155294,Clupeiformes,order
155294,Engraulidae,family
155294,Anchoviella,genus
155294,Anchoviella brevirostris,species
155308,Metazoa,kingdom
155308,Chordata,phylum
155308,Actinopteri,class
155308,Pomacanthidae,family
155308,Centropyge,genus
155308,Centropyge loriculus,species
155311,Metazoa,kingdom
155311,Chordata,phylum
155311,Actinopteri,class
155311,Clupeiformes,order
155311,Pristigasteridae,family
155311,Raconda,genus
155311,Raconda russeliana,species
155313,Metazoa,kingdom
155313,Chordata,phylum
155313,Actinopteri,class
155313,Tetraodontiformes,order
155313,Tetraodontidae,family
155313,Canthigaster,genus
155313,Canthigaster leoparda,species
155314,Metazoa,kingdom
155314,Chordata,phylum
155314,Actinopteri,class
155314,Labriformes,order
155314,Labridae,family
155314,Pseudocheilinus,genus
155314,Pseudocheilinus ocellatus,species
155327,Metazoa,kingdom
155327,Chordata,phylum
155327,Actinopteri,class
155327,Blenniiformes,order
155327,Tripterygiidae,family
155327,Crocodilichthys,genus
155327,Crocodilichthys gracilis,species
158616,Metazoa,kingdom
158616,Chordata,phylum
158616,Chondrichthyes,class
158616,Squaliformes,order
158616,Squalidae,family
158616,Squalus,genus
158616,Squalus altipinnis,species
158617,Metazoa,kingdom
158617,Chordata,phylum
158617,Chondrichthyes,class
158617,Squaliformes,order
158617,Squalidae,family
158617,Squalus,genus
158617,Squalus edmundsi,species
158632,Metazoa,kingdom
158632,Chordata,phylum
158632,Actinopteri,class
158632,Blenniiformes,order
158632,Blenniidae,family
158632,Salarias,genus
158632,Salarias sinuosus,species
161319,Metazoa,kingdom
161319,Chordata,phylum
161319,Chondrichthyes,class
161319,Rajiformes,order
161319,Arhynchobatidae,family
161319,Bathyraja,genus
161319,Bathyraja mariposa,species
161321,Metazoa,kingdom
161321,Chordata,phylum
161321,Chondrichthyes,class
161321,Squaliformes,order
161321,Squalidae,family
161321,Cirrhigaleus,genus
161321,Cirrhigaleus australis,species
161325,Metazoa,kingdom
161325,Chordata,phylum
161325,Chondrichthyes,class
161325,Squatinidae,family
161325,Squatina,genus
161325,Squatina nebulosa,species
161326,Metazoa,kingdom
161326,Chordata,phylum
161326,Chondrichthyes,class
161326,Torpediniformes,order
161326,Narkidae,family
161326,Crassinarke,genus
161326,Crassinarke dormitor,species
161327,Metazoa,kingdom
161327,Chordata,phylum
161327,Chondrichthyes,class
161327,Squaliformes,order
161327,Etmopteridae,family
161327,Etmopterus,genus
161327,Etmopterus burgessi,species
161328,Metazoa,kingdom
161328,Chordata,phylum
161328,Chondrichthyes,class
161328,Torpediniformes,order
161328,Torpedinidae,family
161328,Torpedo,genus
161328,Torpedo marmorata,species
161329,Metazoa,kingdom
161329,Chordata,phylum
161329,Chondrichthyes,class
161329,Rajiformes,order
161329,Rajidae,family
161329,Dipturus,genus
161329,Dipturus cerva,species
161334,Metazoa,kingdom
161334,Chordata,phylum
161334,Chondrichthyes,class
161334,Carcharhiniformes,order
161334,Triakidae,family
161334,Mustelus,genus
161334,Mustelus californicus,species
161335,Metazoa,kingdom
161335,Chordata,phylum
161335,Chondrichthyes,class
161335,Myliobatiformes,order
161335,Urotrygonidae,family
161335,Urotrygon,genus
161335,Urotrygon rogersi,species
161337,Metazoa,kingdom
161337,Chordata,phylum
161337,Chondrichthyes,class
161337,Rajiformes,order
161337,Arhynchobatidae,family
161337,Pavoraja,genus
161337,Pavoraja alleni,species
161339,Metazoa,kingdom
161339,Chordata,phylum
161339,Chondrichthyes,class
161339,Rajiformes,order
161339,Rajidae,family
161339,Raja,genus
161339,Raja radula,species
161342,Metazoa,kingdom
161342,Chordata,phylum
161342,Chondrichthyes,class
161342,Myliobatiformes,order
161342,Gymnuridae,family
161342,Gymnura,genus
161342,Gymnura australis,species
161345,Metazoa,kingdom
161345,Chordata,phylum
161345,Chondrichthyes,class
161345,Rajiformes,order
161345,Rajidae,family
161345,Rajella,genus
161345,Rajella bathyphila,species
161346,Metazoa,kingdom
161346,Chordata,phylum
161346,Chondrichthyes,class
161346,Torpediniformes,order
161346,Narcinidae,family
161346,Narcine,genus
161346,Narcine westraliensis,species
161349,Metazoa,kingdom
161349,Chordata,phylum
161349,Chondrichthyes,class
161349,Torpediniformes,order
161349,Narcinidae,family
161349,Benthobatis,genus
161349,Benthobatis moresbyi,species
161350,Metazoa,kingdom
161350,Chordata,phylum
161350,Chondrichthyes,class
161350,Rajiformes,order
161350,Arhynchobatidae,family
161350,Bathyraja,genus
161350,Bathyraja maculata,species
161351,Metazoa,kingdom
161351,Chordata,phylum
161351,Chondrichthyes,class
161351,Orectolobiformes,order
161351,Parascylliidae,family
161351,Cirrhoscyllium,genus
161351,Cirrhoscyllium expolitum,species
161352,Metazoa,kingdom
161352,Chordata,phylum
161352,Chondrichthyes,class
161352,Hexanchiformes,order
161352,Hexanchidae,family
161352,Hexanchus,genus
161352,Hexanchus nakamurai,species
161354,Metazoa,kingdom
161354,Chordata,phylum
161354,Chondrichthyes,class
161354,Rajiformes,order
161354,Rajidae,family
161354,Dipturus,genus
161354,Dipturus tengu,species
161355,Metazoa,kingdom
161355,Chordata,phylum
161355,Chondrichthyes,class
161355,Carcharhiniformes,order
161355,Carcharhinidae,family
161355,Nasolamia,genus
161355,Nasolamia velox,species
161357,Metazoa,kingdom
161357,Chordata,phylum
161357,Chondrichthyes,class
161357,Myliobatiformes,order
161357,Myliobatidae,family
161357,Myliobatis,genus
161357,Myliobatis tobijei,species
161360,Metazoa,kingdom
161360,Chordata,phylum
161360,Chondrichthyes,class
161360,Squaliformes,order
161360,Squalidae,family
161360,Squalus,genus
161360,Squalus chloroculus,species
161361,Metazoa,kingdom
161361,Chordata,phylum
161361,Chondrichthyes,class
161361,Squaliformes,order
161361,Oxynotidae,family
161361,Oxynotus,genus
161361,Oxynotus paradoxus,species
161363,Metazoa,kingdom
161363,Chordata,phylum
161363,Chondrichthyes,class
161363,Squaliformes,order
161363,Somniosidae,family
161363,Zameus,genus
161363,Zameus ichiharai,species
161364,Metazoa,kingdom
161364,Chordata,phylum
161364,Chondrichthyes,class
161364,Carcharhiniformes,order
161364,Scyliorhinidae,family
161364,Galeus,genus
161364,Galeus eastmani,species
161366,Metazoa,kingdom
161366,Chordata,phylum
161366,Chondrichthyes,class
161366,Rajiformes,order
161366,Arhynchobatidae,family
161366,Bathyraja,genus
161366,Bathyraja spinicauda,species
161367,Metazoa,kingdom
161367,Chordata,phylum
161367,Chondrichthyes,class
161367,Carcharhiniformes,order
161367,Scyliorhinidae,family
161367,Apristurus,genus
161367,Apristurus japonicus,species
161368,Metazoa,kingdom
161368,Chordata,phylum
161368,Chondrichthyes,class
161368,Carcharhiniformes,order
161368,Triakidae,family
161368,Hemitriakis,genus
161368,Hemitriakis complicofasciata,species
161370,Metazoa,kingdom
161370,Chordata,phylum
161370,Chondrichthyes,class
161370,Rajiformes,order
161370,Arhynchobatidae,family
161370,Pavoraja,genus
161370,Pavoraja nitida,species
161371,Metazoa,kingdom
161371,Chordata,phylum
161371,Chondrichthyes,class
161371,Rajiformes,order
161371,Rajidae,family
161371,Rajella,genus
161371,Rajella bigelowi,species
161373,Metazoa,kingdom
161373,Chordata,phylum
161373,Chondrichthyes,class
161373,Pristiformes/Rhiniformes group,order
161373,Rhinobatidae,family
161373,Pseudobatos,genus
161373,Pseudobatos percellens,species
161375,Metazoa,kingdom
161375,Chordata,phylum
161375,Chondrichthyes,class
161375,Rajiformes,order
161375,Arhynchobatidae,family
161375,Bathyraja,genus
161375,Bathyraja trachura,species
161376,Metazoa,kingdom
161376,Chordata,phylum
161376,Chondrichthyes,class
161376,Carcharhiniformes,order
161376,Carcharhinidae,family
161376,Carcharhinus,genus
161376,Carcharhinus sorrah,species
161377,Metazoa,kingdom
161377,Chordata,phylum
161377,Chondrichthyes,class
161377,Rajiformes,order
161377,Rajidae,family
161377,Rajella,genus
161377,Rajella lintea,species
161378,Metazoa,kingdom
161378,Chordata,phylum
161378,Chondrichthyes,class
161378,Carcharhiniformes,order
161378,Carcharhinidae,family
161378,Carcharhinus,genus
161378,Carcharhinus acronotus,species
161379,Metazoa,kingdom
161379,Chordata,phylum
161379,Chondrichthyes,class
161379,Rajiformes,order
161379,Anacanthobatidae,family
161379,Sinobatis,genus
161379,Sinobatis borneensis,species
161380,Metazoa,kingdom
161380,Chordata,phylum
161380,Chondrichthyes,class
161380,Carcharhiniformes,order
161380,Scyliorhinidae,family
161380,Cephaloscyllium,genus
161380,Cephaloscyllium sarawakensis,species
161381,Metazoa,kingdom
161381,Chordata,phylum
161381,Chondrichthyes,class
161381,Rajiformes,order
161381,Arhynchobatidae,family
161381,Bathyraja,genus
161381,Bathyraja minispinosa,species
161382,Metazoa,kingdom
161382,Chordata,phylum
161382,Chondrichthyes,class
161382,Rajiformes,order
161382,Arhynchobatidae,family
161382,Bathyraja,genus
161382,Bathyraja shuntovi,species
161383,Metazoa,kingdom
161383,Chordata,phylum
161383,Chondrichthyes,class
161383,Rajiformes,order
161383,Rajidae,family
161383,Neoraja,genus
161383,Neoraja iberica,species
161384,Metazoa,kingdom
161384,Chordata,phylum
161384,Chondrichthyes,class
161384,Squaliformes,order
161384,Centrophoridae,family
161384,Centrophorus,genus
161384,Centrophorus atromarginatus,species
161386,Metazoa,kingdom
161386,Chordata,phylum
161386,Chondrichthyes,class
161386,Myliobatiformes,order
161386,Dasyatidae,family
161386,Bathytoshia,genus
161386,Bathytoshia lata,species
161388,Metazoa,kingdom
161388,Chordata,phylum
161388,Chondrichthyes,class
161388,Squaliformes,order
161388,Etmopteridae,family
161388,Etmopterus,genus
161388,Etmopterus spinax,species
161391,Metazoa,kingdom
161391,Chordata,phylum
161391,Chondrichthyes,class
161391,Rajiformes,order
161391,Arhynchobatidae,family
161391,Bathyraja,genus
161391,Bathyraja murrayi,species
161392,Metazoa,kingdom
161392,Chordata,phylum
161392,Chondrichthyes,class
161392,Rajiformes,order
161392,Rajidae,family
161392,Amblyraja,genus
161392,Amblyraja taaf,species
161393,Metazoa,kingdom
161393,Chordata,phylum
161393,Chondrichthyes,class
161393,Rajiformes,order
161393,Rajidae,family
161393,Dipturus,genus
161393,Dipturus gigas,species
161395,Metazoa,kingdom
161395,Chordata,phylum
161395,Chondrichthyes,class
161395,Carcharhiniformes,order
161395,Triakidae,family
161395,Triakis,genus
161395,Triakis scyllium,species
161397,Metazoa,kingdom
161397,Chordata,phylum
161397,Chondrichthyes,class
161397,Torpediniformes,order
161397,Torpedinidae,family
161397,Torpedo,genus
161397,Torpedo torpedo,species
161398,Metazoa,kingdom
161398,Chordata,phylum
161398,Chondrichthyes,class
161398,Carcharhiniformes,order
161398,Scyliorhinidae,family
161398,Galeus,genus
161398,Galeus melastomus,species
161399,Metazoa,kingdom
161399,Chordata,phylum
161399,Chondrichthyes,class
161399,Carcharhiniformes,order
161399,Scyliorhinidae,family
161399,Scyliorhinus,genus
161399,Scyliorhinus canicula,species
161400,Metazoa,kingdom
161400,Chordata,phylum
161400,Chondrichthyes,class
161400,Rajiformes,order
161400,Rajidae,family
161400,Dipturus,genus
161400,Dipturus kwangtungensis,species
161402,Metazoa,kingdom
161402,Chordata,phylum
161402,Chondrichthyes,class
161402,Rajiformes,order
161402,Arhynchobatidae,family
161402,Bathyraja,genus
161402,Bathyraja interrupta,species
161403,Metazoa,kingdom
161403,Chordata,phylum
161403,Chondrichthyes,class
161403,Squaliformes,order
161403,Somniosidae,family
161403,Somniosus,genus
161403,Somniosus pacificus,species
161404,Metazoa,kingdom
161404,Chordata,phylum
161404,Chondrichthyes,class
161404,Squaliformes,order
161404,Squalidae,family
161404,Squalus,genus
161404,Squalus montalbani,species
161406,Metazoa,kingdom
161406,Chordata,phylum
161406,Chondrichthyes,class
161406,Carcharhiniformes,order
161406,Scyliorhinidae,family
161406,Galeus,genus
161406,Galeus sauteri,species
161407,Metazoa,kingdom
161407,Chordata,phylum
161407,Chondrichthyes,class
161407,Squaliformes,order
161407,Etmopteridae,family
161407,Etmopterus,genus
161407,Etmopterus molleri,species
161408,Metazoa,kingdom
161408,Chordata,phylum
161408,Chondrichthyes,class
161408,Pristiformes/Rhiniformes group,order
161408,Rhinobatidae,family
161408,Glaucostegus,genus
161408,Glaucostegus halavi,species
161410,Metazoa,kingdom
161410,Chordata,phylum
161410,Chondrichthyes,class
161410,Squaliformes,order
161410,Squalidae,family
161410,Squalus,genus
161410,Squalus hemipinnis,species
161411,Metazoa,kingdom
161411,Chordata,phylum
161411,Chondrichthyes,class
161411,Torpediniformes,order
161411,Torpedinidae,family
161411,Torpedo,genus
161411,Torpedo mackayana,species
161414,Metazoa,kingdom
161414,Chordata,phylum
161414,Chondrichthyes,class
161414,Rajiformes,order
161414,Rajidae,family
161414,Brochiraja,genus
161414,Brochiraja leviveneta,species
161418,Metazoa,kingdom
161418,Chordata,phylum
161418,Chondrichthyes,class
161418,Rajiformes,order
161418,Rajidae,family
161418,Leucoraja,genus
161418,Leucoraja erinacea,species
161419,Metazoa,kingdom
161419,Chordata,phylum
161419,Chondrichthyes,class
161419,Rajiformes,order
161419,Rajidae,family
161419,Leucoraja,genus
161419,Leucoraja garmani,species
161420,Metazoa,kingdom
161420,Chordata,phylum
161420,Chondrichthyes,class
161420,Rajiformes,order
161420,Rajidae,family
161420,Brochiraja,genus
161420,Brochiraja spinifera,species
161423,Metazoa,kingdom
161423,Chordata,phylum
161423,Chondrichthyes,class
161423,Torpediniformes,order
161423,Narcinidae,family
161423,Narcine,genus
161423,Narcine vermiculatus,species
161424,Metazoa,kingdom
161424,Chordata,phylum
161424,Chondrichthyes,class
161424,Rajiformes,order
161424,Arhynchobatidae,family
161424,Bathyraja,genus
161424,Bathyraja matsubarai,species
161425,Metazoa,kingdom
161425,Chordata,phylum
161425,Chondrichthyes,class
161425,Rajiformes,order
161425,Rajidae,family
161425,Raja,genus
161425,Raja undulata,species
161426,Metazoa,kingdom
161426,Chordata,phylum
161426,Chondrichthyes,class
161426,Orectolobiformes,order
161426,Hemiscylliidae,family
161426,Chiloscyllium,genus
161426,Chiloscyllium arabicum,species
161430,Metazoa,kingdom
161430,Chordata,phylum
161430,Chondrichthyes,class
161430,Rajiformes,order
161430,Arhynchobatidae,family
161430,Bathyraja,genus
161430,Bathyraja lindbergi,species
161431,Metazoa,kingdom
161431,Chordata,phylum
161431,Chondrichthyes,class
