iucn_sid,name,rank
2480,Balaenopteridae,family
2480,Balaenoptera,genus
2480,Balaenoptera bonaerensis,species
2636,Metazoa,kingdom
2636,Chordata,phylum
2636,Chondrichthyes,class
2636,Rajiformes,order
2636,Arhynchobatidae,family
2636,Bathyraja,genus
2636,Bathyraja abyssicola,species
2762,Metazoa,kingdom
2762,Chordata,phylum
2762,Mammalia,class
2762,Artiodactyla,order
2762,Ziphiidae,family
2762,Berardius,genus
2762,Berardius arnuxii,species
2763,Metazoa,kingdom
2763,Chordata,phylum
2763,Mammalia,class
2763,Artiodactyla,order
2763,Ziphiidae,family
2763,Berardius,genus
2763,Berardius bairdii,species
3590,Metazoa,kingdom
3590,Chordata,phylum
3590,Mammalia,class
3590,Carnivora,order
3590,Otariidae,family
3590,Callorhinus,genus
3590,Callorhinus ursinus,species
3764,Metazoa,kingdom
3764,Chordata,phylum
3764,Actinopteri,class
3764,Tetraodontiformes,order
3764,Tetraodontidae,family
3764,Canthigaster,genus
3764,Canthigaster rapaensis,species
3778,Metazoa,kingdom
3778,Chordata,phylum
3778,Mammalia,class
3778,Artiodactyla,order
3778,Neobalaenidae,family
3778,Caperea,genus
3778,Caperea marginata,species
3851,Metazoa,kingdom
3851,Chordata,phylum
3851,Chondrichthyes,class
3851,Carcharhiniformes,order
3851,Carcharhinidae,family
3851,Carcharhinus,genus
3851,Carcharhinus limbatus,species
3852,Metazoa,kingdom
3852,Chordata,phylum
3852,Chondrichthyes,class
3852,Carcharhiniformes,order
3852,Carcharhinidae,family
3852,Carcharhinus,genus
3852,Carcharhinus obscurus,species
3853,Metazoa,kingdom
3853,Chordata,phylum
3853,Chondrichthyes,class
3853,Carcharhiniformes,order
3853,Carcharhinidae,family
3853,Carcharhinus,genus
3853,Carcharhinus plumbeus,species
3854,Metazoa,kingdom
3854,Chordata,phylum
3854,Chondrichthyes,class
3854,Lamniformes,order
3854,Odontaspididae,family
3854,Carcharias,genus
3854,Carcharias taurus,species
3855,Metazoa,kingdom
3855,Chordata,phylum
3855,Chondrichthyes,class
3855,Lamniformes,order
3855,Alopiidae,family
3855,Carcharodon,genus
3855,Carcharodon carcharias,species
3897,Metazoa,kingdom
3897,Chordata,phylum
3897,Testudines,order
3897,Cheloniidae,family
3897,Caretta,genus
3897,Caretta caretta,species
4131,Metazoa,kingdom
4131,Chordata,phylum
4131,Actinopteri,class
4131,Pomacanthidae,family
4131,Centropyge,genus
4131,Centropyge resplendens,species
4159,Metazoa,kingdom
4159,Chordata,phylum
4159,Mammalia,class
4159,Artiodactyla,order
4159,Delphinidae,family
4159,Cephalorhynchus,genus
4159,Cephalorhynchus commersonii,species
4160,Metazoa,kingdom
4160,Chordata,phylum
4160,Mammalia,class
4160,Artiodactyla,order
4160,Delphinidae,family
4160,Cephalorhynchus,genus
4160,Cephalorhynchus eutropia,species
4161,Metazoa,kingdom
4161,Chordata,phylum
4161,Mammalia,class
4161,Artiodactyla,order
4161,Delphinidae,family
4161,Cephalorhynchus,genus
4161,Cephalorhynchus heavisidii,species
4162,Metazoa,kingdom
4162,Chordata,phylum
4162,Mammalia,class
4162,Artiodactyla,order
4162,Delphinidae,family
4162,Cephalorhynchus,genus
4162,Cephalorhynchus hectori,species
4292,Metazoa,kingdom
4292,Chordata,phylum
4292,Chondrichthyes,class
4292,Lamniformes,order
4292,Alopiidae,family
4292,Cetorhinus,genus
4292,Cetorhinus maximus,species
4361,Metazoa,kingdom
4361,Chordata,phylum
4361,Actinopteri,class
4361,Chaetodontiformes,order
4361,Chaetodontidae,family
4361,Chaetodon,genus
4361,Chaetodon litus,species
4362,Metazoa,kingdom
4362,Chordata,phylum
4362,Actinopteri,class
4362,Chaetodontiformes,order
4362,Chaetodontidae,family
4362,Chaetodon,genus
4362,Chaetodon marleyi,species
4364,Metazoa,kingdom
4364,Chordata,phylum
4364,Actinopteri,class
4364,Chaetodontiformes,order
4364,Chaetodontidae,family
4364,Chaetodon,genus
4364,Chaetodon robustus,species
4592,Metazoa,kingdom
4592,Chordata,phylum
4592,Actinopteri,class
4592,Labriformes,order
4592,Labridae,family
4592,Cheilinus,genus
4592,Cheilinus undulatus,species
4615,Metazoa,kingdom
4615,Chordata,phylum
4615,Testudines,order
4615,Cheloniidae,family
4615,Chelonia,genus
4615,Chelonia mydas,species
4982,Metazoa,kingdom
4982,Chordata,phylum
4982,Actinopteri,class
4982,Blenniiformes,order
4982,Clinidae,family
4982,Clinus,genus
4982,Clinus spatulatus,species
5273,Metazoa,kingdom
5273,Mollusca,phylum
5273,Gastropoda,class
5273,Neogastropoda,order
5273,Conidae,family
5273,Conus,genus
5273,Conus zebroides,species
5659,Metazoa,kingdom
5659,Chordata,phylum
5659,Crocodylia,order
5659,Crocodylidae,family
5659,Crocodylus,genus
5659,Crocodylus acutus,species
5668,Metazoa,kingdom
5668,Chordata,phylum
5668,Crocodylia,order
5668,Crocodylidae,family
5668,Crocodylus,genus
5668,Crocodylus porosus,species
6204,Metazoa,kingdom
6204,Chordata,phylum
6204,Mammalia,class
6204,Carnivora,order
6204,Phocidae,family
6204,Cystophora,genus
6204,Cystophora cristata,species
6229,Metazoa,kingdom
6229,Chordata,phylum
6229,Chondrichthyes,class
6229,Squaliformes,order
6229,Dalatiidae,family
6229,Dalatias,genus
6229,Dalatias licha,species
6335,Metazoa,kingdom
6335,Chordata,phylum
6335,Mammalia,class
6335,Artiodactyla,order
6335,Monodontidae,family
6335,Delphinapterus,genus
6335,Delphinapterus leucas,species
6336,Metazoa,kingdom
6336,Chordata,phylum
6336,Mammalia,class
6336,Artiodactyla,order
6336,Delphinidae,family
6336,Delphinus,genus
6336,Delphinus delphis,species
6337,Metazoa,kingdom
6337,Chordata,phylum
6337,Mammalia,class
6337,Artiodactyla,order
6337,Delphinidae,family
6337,Delphinus,genus
6337,Delphinus capensis,species
6494,Metazoa,kingdom
6494,Chordata,phylum
6494,Testudines,order
6494,Dermochelyidae,family
6494,Dermochelys,genus
6494,Dermochelys coriacea,species
6814,Metazoa,kingdom
6814,Chordata,phylum
6814,Actinopteri,class
6814,Syngnathiformes,order
6814,Syngnathidae,family
6814,Dunckerocampus,genus
6814,Dunckerocampus dactyliophorus,species
6909,Metazoa,kingdom
6909,Chordata,phylum
6909,Mammalia,class
6909,Sirenia,order
6909,Dugongidae,family
6909,Dugong,genus
6909,Dugong dugon,species
7750,Metazoa,kingdom
7750,Chordata,phylum
7750,Mammalia,class
7750,Carnivora,order
7750,Mustelidae,family
7750,Enhydra,genus
7750,Enhydra lutris,species
7778,Metazoa,kingdom
7778,Chordata,phylum
7778,Actinopteri,class
7778,Blenniiformes,order
7778,Blenniidae,family
7778,Entomacrodus,genus
7778,Entomacrodus cadenati,species
7854,Metazoa,kingdom
7854,Chordata,phylum
7854,Actinopteri,class
7854,Perciformes,order
7854,Serranidae,family
7854,Epinephelus,genus
7854,Epinephelus drummondhayi,species
7855,Metazoa,kingdom
7855,Chordata,phylum
