am_sid,name,rank
Fis-25764,Metazoa,kingdom
Fis-25764,Chordata,phylum
Fis-25764,Actinopteri,class
Fis-25764,Pomacentridae,family
Fis-25764,Abudefduf,genus
Fis-25764,Abudefduf sordidus,species
Fis-26803,Metazoa,kingdom
Fis-26803,Chordata,phylum
Fis-26803,Actinopteri,class
Fis-26803,Pomacentridae,family
Fis-26803,Abudefduf,genus
Fis-26803,Abudefduf sparoides,species
Fis-23319,Metazoa,kingdom
Fis-23319,Chordata,phylum
Fis-23319,Actinopteri,class
Fis-23319,Pomacentridae,family
Fis-23319,Abudefduf,genus
Fis-23319,Abudefduf taurus,species
Fis-26922,Metazoa,kingdom
Fis-26922,Chordata,phylum
Fis-26922,Actinopteri,class
Fis-26922,Pomacentridae,family
Fis-26922,Abudefduf,genus
Fis-26922,Abudefduf troschelii,species
Fis-26228,Metazoa,kingdom
Fis-26228,Chordata,phylum
Fis-26228,Actinopteri,class
Fis-26228,Pomacentridae,family
Fis-26228,Abudefduf,genus
Fis-26228,Abudefduf vaigiensis,species
Fis-33558,Metazoa,kingdom
Fis-33558,Chordata,phylum
Fis-33558,Actinopteri,class
Fis-33558,Pomacentridae,family
Fis-33558,Abudefduf,genus
Fis-33558,Abudefduf whitleyi,species
W-Hyd-135403,Metazoa,kingdom
W-Hyd-135403,Cnidaria,phylum
W-Hyd-135403,Hydrozoa,class
W-Hyd-135403,Siphonophorae,order
W-Hyd-135403,Abylidae,family
W-Hyd-135403,Abylopsis,genus
W-Hyd-135403,Abylopsis tetragona,species
SLB-174350,Metazoa,kingdom
SLB-174350,Arthropoda,phylum
SLB-174350,Malacostraca,class
SLB-174350,Amphipoda,order
SLB-174350,Lysianassidae,family
SLB-174350,Abyssorchomene,genus
SLB-174350,Abyssorchomene nodimanus,species
SLB-174351,Metazoa,kingdom
SLB-174351,Arthropoda,phylum
SLB-174351,Malacostraca,class
SLB-174351,Amphipoda,order
SLB-174351,Lysianassidae,family
SLB-174351,Pseudorchomene,genus
SLB-174351,Pseudorchomene plebs,species
SLB-174352,Metazoa,kingdom
SLB-174352,Arthropoda,phylum
SLB-174352,Malacostraca,class
SLB-174352,Amphipoda,order
SLB-174352,Lysianassidae,family
SLB-174352,Abyssorchomene,genus
SLB-174352,Abyssorchomene rossi,species
SLB-88849,Metazoa,kingdom
SLB-88849,Chordata,phylum
SLB-88849,Lepidosauria,class
SLB-88849,Squamata,order
