rank,name,id,species,db
species,hydrolagus melanophasma,1111163,hydrolagus melanophasma,ncbi
kingdom,metazoa,33208,hydrolagus bemisi,ncbi
phylum,chordata,7711,hydrolagus bemisi,ncbi
class,chondrichthyes,7777,hydrolagus bemisi,ncbi
subclass,holocephali,7863,hydrolagus bemisi,ncbi
order,chimaeriformes,7864,hydrolagus bemisi,ncbi
family,chimaeridae,7869,hydrolagus bemisi,ncbi
genus,hydrolagus,7872,hydrolagus bemisi,ncbi
species,hydrolagus bemisi,1053739,hydrolagus bemisi,ncbi
kingdom,metazoa,33208,hydrolagus africanus,ncbi
phylum,chordata,7711,hydrolagus africanus,ncbi
class,chondrichthyes,7777,hydrolagus africanus,ncbi
subclass,holocephali,7863,hydrolagus africanus,ncbi
order,chimaeriformes,7864,hydrolagus africanus,ncbi
family,chimaeridae,7869,hydrolagus africanus,ncbi
genus,hydrolagus,7872,hydrolagus africanus,ncbi
species,hydrolagus africanus,1003743,hydrolagus africanus,ncbi
kingdom,metazoa,33208,hydrolagus trolli,ncbi
phylum,chordata,7711,hydrolagus trolli,ncbi
class,chondrichthyes,7777,hydrolagus trolli,ncbi
subclass,holocephali,7863,hydrolagus trolli,ncbi
order,chimaeriformes,7864,hydrolagus trolli,ncbi
family,chimaeridae,7869,hydrolagus trolli,ncbi
genus,hydrolagus,7872,hydrolagus trolli,ncbi
species,hydrolagus trolli,495865,hydrolagus trolli,ncbi
kingdom,metazoa,33208,hydrolagus novaezealandiae,ncbi
phylum,chordata,7711,hydrolagus novaezealandiae,ncbi
class,chondrichthyes,7777,hydrolagus novaezealandiae,ncbi
subclass,holocephali,7863,hydrolagus novaezealandiae,ncbi
order,chimaeriformes,7864,hydrolagus novaezealandiae,ncbi
family,chimaeridae,7869,hydrolagus novaezealandiae,ncbi
genus,hydrolagus,7872,hydrolagus novaezealandiae,ncbi
species,hydrolagus novaezealandiae,334988,hydrolagus novaezealandiae,ncbi
kingdom,metazoa,33208,hydrolagus lemures,ncbi
phylum,chordata,7711,hydrolagus lemures,ncbi
class,chondrichthyes,7777,hydrolagus lemures,ncbi
subclass,holocephali,7863,hydrolagus lemures,ncbi
order,chimaeriformes,7864,hydrolagus lemures,ncbi
family,chimaeridae,7869,hydrolagus lemures,ncbi
genus,hydrolagus,7872,hydrolagus lemures,ncbi
species,hydrolagus lemures,334987,hydrolagus lemures,ncbi
kingdom,metazoa,33208,hydrolagus ogilbyi,ncbi
phylum,chordata,7711,hydrolagus ogilbyi,ncbi
class,chondrichthyes,7777,hydrolagus ogilbyi,ncbi
