rank,name,id,species,db
kingdom,metazoa,33208,dasyatoidea,ncbi
phylum,chordata,7711,dasyatoidea,ncbi
class,elasmobranchii,7777,dasyatoidea,ncbi
class,chondrichthyes,7777,dasyatoidea,ncbi
superorder,batoidea,117893,dasyatoidea,ncbi
order,myliobatiformes,117851,dasyatoidea,ncbi
family,dasyatidae,30469,dasyatoidea,ncbi
genus,hypanus,2055258,dasyatoidea,ncbi
species,hypanus americanus,2484686,dasyatoidea,ncbi
NA,dasyatoidea,117839,dasyatoidea,ncbi
kingdom,metazoa,33208,dasyatoidea,ncbi
phylum,chordata,7711,dasyatoidea,ncbi
class,elasmobranchii,7777,dasyatoidea,ncbi
class,chondrichthyes,7777,dasyatoidea,ncbi
superorder,batoidea,117893,dasyatoidea,ncbi
order,myliobatiformes,117851,dasyatoidea,ncbi
family,dasyatidae,30469,dasyatoidea,ncbi
genus,hypanus,2055258,dasyatoidea,ncbi
species,hypanus guttatus,1197328,dasyatoidea,ncbi
NA,dasyatoidea,117839,dasyatoidea,ncbi
kingdom,metazoa,33208,dasyatoidea,ncbi
phylum,chordata,7711,dasyatoidea,ncbi
class,elasmobranchii,7777,dasyatoidea,ncbi
class,chondrichthyes,7777,dasyatoidea,ncbi
superorder,batoidea,117893,dasyatoidea,ncbi
order,myliobatiformes,117851,dasyatoidea,ncbi
family,dasyatidae,30469,dasyatoidea,ncbi
genus,hypanus,2055258,dasyatoidea,ncbi
species,hypanus longus,86357,dasyatoidea,ncbi
NA,dasyatoidea,117839,dasyatoidea,ncbi
kingdom,metazoa,33208,dasyatoidea,ncbi
phylum,chordata,7711,dasyatoidea,ncbi
class,elasmobranchii,7777,dasyatoidea,ncbi
class,chondrichthyes,7777,dasyatoidea,ncbi
superorder,batoidea,117893,dasyatoidea,ncbi
order,myliobatiformes,117851,dasyatoidea,ncbi
family,dasyatidae,30469,dasyatoidea,ncbi
genus,hypanus,2055258,dasyatoidea,ncbi
species,hypanus sabinus,79690,dasyatoidea,ncbi
NA,dasyatoidea,117839,dasyatoidea,ncbi
kingdom,metazoa,33208,dasyatoidea,ncbi
phylum,chordata,7711,dasyatoidea,ncbi
class,elasmobranchii,7777,dasyatoidea,ncbi
class,chondrichthyes,7777,dasyatoidea,ncbi
superorder,batoidea,117893,dasyatoidea,ncbi
order,myliobatiformes,117851,dasyatoidea,ncbi
family,dasyatidae,30469,dasyatoidea,ncbi
genus,maculabatis,1930107,dasyatoidea,ncbi
species,maculabatis arabica,2599776,dasyatoidea,ncbi
NA,dasyatoidea,117839,dasyatoidea,ncbi
kingdom,metazoa,33208,dasyatoidea,ncbi
phylum,chordata,7711,dasyatoidea,ncbi
class,elasmobranchii,7777,dasyatoidea,ncbi
class,chondrichthyes,7777,dasyatoidea,ncbi
superorder,batoidea,117893,dasyatoidea,ncbi
order,myliobatiformes,117851,dasyatoidea,ncbi
family,dasyatidae,30469,dasyatoidea,ncbi
genus,maculabatis,1930107,dasyatoidea,ncbi
species,maculabatis gerrardi,2599772,dasyatoidea,ncbi
NA,dasyatoidea,117839,dasyatoidea,ncbi
kingdom,metazoa,33208,dasyatoidea,ncbi
phylum,chordata,7711,dasyatoidea,ncbi
class,elasmobranchii,7777,dasyatoidea,ncbi
class,chondrichthyes,7777,dasyatoidea,ncbi
superorder,batoidea,117893,dasyatoidea,ncbi
order,myliobatiformes,117851,dasyatoidea,ncbi
family,dasyatidae,30469,dasyatoidea,ncbi
genus,maculabatis,1930107,dasyatoidea,ncbi
species,maculabatis pastinacoides,2338055,dasyatoidea,ncbi
NA,dasyatoidea,117839,dasyatoidea,ncbi
kingdom,metazoa,33208,dasyatoidea,ncbi
phylum,chordata,7711,dasyatoidea,ncbi
class,elasmobranchii,7777,dasyatoidea,ncbi
class,chondrichthyes,7777,dasyatoidea,ncbi
superorder,batoidea,117893,dasyatoidea,ncbi
order,myliobatiformes,117851,dasyatoidea,ncbi
family,dasyatidae,30469,dasyatoidea,ncbi
genus,maculabatis,1930107,dasyatoidea,ncbi
species,maculabatis macrura,1930111,dasyatoidea,ncbi
NA,dasyatoidea,117839,dasyatoidea,ncbi
kingdom,metazoa,33208,dasyatoidea,ncbi
phylum,chordata,7711,dasyatoidea,ncbi
class,elasmobranchii,7777,dasyatoidea,ncbi
class,chondrichthyes,7777,dasyatoidea,ncbi
superorder,batoidea,117893,dasyatoidea,ncbi
order,myliobatiformes,117851,dasyatoidea,ncbi
family,dasyatidae,30469,dasyatoidea,ncbi
genus,maculabatis,1930107,dasyatoidea,ncbi
species,maculabatis randalli,1325515,dasyatoidea,ncbi
NA,dasyatoidea,117839,dasyatoidea,ncbi
kingdom,metazoa,33208,dasyatoidea,ncbi
phylum,chordata,7711,dasyatoidea,ncbi
class,elasmobranchii,7777,dasyatoidea,ncbi
class,chondrichthyes,7777,dasyatoidea,ncbi
superorder,batoidea,117893,dasyatoidea,ncbi
order,myliobatiformes,117851,dasyatoidea,ncbi
family,dasyatidae,30469,dasyatoidea,ncbi
genus,maculabatis,1930107,dasyatoidea,ncbi
species,maculabatis pastinacoides 2 gjpn-2012,1214706,dasyatoidea,ncbi
NA,dasyatoidea,117839,dasyatoidea,ncbi
kingdom,metazoa,33208,dasyatoidea,ncbi
phylum,chordata,7711,dasyatoidea,ncbi
class,elasmobranchii,7777,dasyatoidea,ncbi
class,chondrichthyes,7777,dasyatoidea,ncbi
superorder,batoidea,117893,dasyatoidea,ncbi
order,myliobatiformes,117851,dasyatoidea,ncbi
family,dasyatidae,30469,dasyatoidea,ncbi
genus,maculabatis,1930107,dasyatoidea,ncbi
species,maculabatis pastinacoides 1 gjpn-2012,1214705,dasyatoidea,ncbi
NA,dasyatoidea,117839,dasyatoidea,ncbi
kingdom,metazoa,33208,dasyatoidea,ncbi
phylum,chordata,7711,dasyatoidea,ncbi
class,elasmobranchii,7777,dasyatoidea,ncbi
class,chondrichthyes,7777,dasyatoidea,ncbi
superorder,batoidea,117893,dasyatoidea,ncbi
order,myliobatiformes,117851,dasyatoidea,ncbi
family,dasyatidae,30469,dasyatoidea,ncbi
genus,brevitrygon,1930104,dasyatoidea,ncbi
species,brevitrygon imbricata,2599773,dasyatoidea,ncbi
NA,dasyatoidea,117839,dasyatoidea,ncbi
kingdom,metazoa,33208,dasyatoidea,ncbi
phylum,chordata,7711,dasyatoidea,ncbi
class,elasmobranchii,7777,dasyatoidea,ncbi
class,chondrichthyes,7777,dasyatoidea,ncbi
superorder,batoidea,117893,dasyatoidea,ncbi
order,myliobatiformes,117851,dasyatoidea,ncbi
family,dasyatidae,30469,dasyatoidea,ncbi
genus,brevitrygon,1930104,dasyatoidea,ncbi
species,brevitrygon heterura,1930105,dasyatoidea,ncbi
NA,dasyatoidea,117839,dasyatoidea,ncbi
kingdom,metazoa,33208,dasyatoidea,ncbi
phylum,chordata,7711,dasyatoidea,ncbi
class,elasmobranchii,7777,dasyatoidea,ncbi
class,chondrichthyes,7777,dasyatoidea,ncbi
superorder,batoidea,117893,dasyatoidea,ncbi
order,myliobatiformes,117851,dasyatoidea,ncbi
family,dasyatidae,30469,dasyatoidea,ncbi
genus,brevitrygon,1930104,dasyatoidea,ncbi
species,brevitrygon walga,495863,dasyatoidea,ncbi
NA,dasyatoidea,117839,dasyatoidea,ncbi
kingdom,metazoa,33208,dasyatoidea,ncbi
phylum,chordata,7711,dasyatoidea,ncbi
class,elasmobranchii,7777,dasyatoidea,ncbi
class,chondrichthyes,7777,dasyatoidea,ncbi
superorder,batoidea,117893,dasyatoidea,ncbi
order,myliobatiformes,117851,dasyatoidea,ncbi
family,dasyatidae,30469,dasyatoidea,ncbi
genus,telatrygon,1930091,dasyatoidea,ncbi
species,telatrygon cf. zugei gjpn-2012,1214672,dasyatoidea,ncbi
NA,dasyatoidea,117839,dasyatoidea,ncbi
kingdom,metazoa,33208,dasyatoidea,ncbi
phylum,chordata,7711,dasyatoidea,ncbi
class,elasmobranchii,7777,dasyatoidea,ncbi
class,chondrichthyes,7777,dasyatoidea,ncbi
superorder,batoidea,117893,dasyatoidea,ncbi
order,myliobatiformes,117851,dasyatoidea,ncbi
family,dasyatidae,30469,dasyatoidea,ncbi
genus,telatrygon,1930091,dasyatoidea,ncbi
species,telatrygon acutirostra,1188023,dasyatoidea,ncbi
NA,dasyatoidea,117839,dasyatoidea,ncbi
kingdom,metazoa,33208,dasyatoidea,ncbi
phylum,chordata,7711,dasyatoidea,ncbi
class,elasmobranchii,7777,dasyatoidea,ncbi
class,chondrichthyes,7777,dasyatoidea,ncbi
superorder,batoidea,117893,dasyatoidea,ncbi
order,myliobatiformes,117851,dasyatoidea,ncbi
family,dasyatidae,30469,dasyatoidea,ncbi
genus,telatrygon,1930091,dasyatoidea,ncbi
species,telatrygon zugei,195299,dasyatoidea,ncbi
NA,dasyatoidea,117839,dasyatoidea,ncbi
kingdom,metazoa,33208,dasyatoidea,ncbi
phylum,chordata,7711,dasyatoidea,ncbi
class,elasmobranchii,7777,dasyatoidea,ncbi
class,chondrichthyes,7777,dasyatoidea,ncbi
superorder,batoidea,117893,dasyatoidea,ncbi
order,myliobatiformes,117851,dasyatoidea,ncbi
family,dasyatidae,30469,dasyatoidea,ncbi
genus,pteroplatytrygon,651722,dasyatoidea,ncbi
species,pteroplatytrygon violacea,651723,dasyatoidea,ncbi
NA,dasyatoidea,117839,dasyatoidea,ncbi
kingdom,metazoa,33208,dasyatoidea,ncbi
phylum,chordata,7711,dasyatoidea,ncbi
class,elasmobranchii,7777,dasyatoidea,ncbi
class,chondrichthyes,7777,dasyatoidea,ncbi
superorder,batoidea,117893,dasyatoidea,ncbi
order,myliobatiformes,117851,dasyatoidea,ncbi
family,dasyatidae,30469,dasyatoidea,ncbi
genus,neotrygon,651720,dasyatoidea,ncbi
species,neotrygon cf. kuhlii (ecf),2579382,dasyatoidea,ncbi
NA,dasyatoidea,117839,dasyatoidea,ncbi
kingdom,metazoa,33208,dasyatoidea,ncbi
phylum,chordata,7711,dasyatoidea,ncbi
class,elasmobranchii,7777,dasyatoidea,ncbi
class,chondrichthyes,7777,dasyatoidea,ncbi
superorder,batoidea,117893,dasyatoidea,ncbi
order,myliobatiformes,117851,dasyatoidea,ncbi
family,dasyatidae,30469,dasyatoidea,ncbi
genus,neotrygon,651720,dasyatoidea,ncbi
species,neotrygon cf. kuhlii foak407-10,2578896,dasyatoidea,ncbi
NA,dasyatoidea,117839,dasyatoidea,ncbi
kingdom,metazoa,33208,dasyatoidea,ncbi
phylum,chordata,7711,dasyatoidea,ncbi
class,elasmobranchii,7777,dasyatoidea,ncbi
class,chondrichthyes,7777,dasyatoidea,ncbi
superorder,batoidea,117893,dasyatoidea,ncbi
order,myliobatiformes,117851,dasyatoidea,ncbi
family,dasyatidae,30469,dasyatoidea,ncbi
genus,neotrygon,651720,dasyatoidea,ncbi
species,neotrygon cf. kuhlii foak405-10,2578895,dasyatoidea,ncbi
NA,dasyatoidea,117839,dasyatoidea,ncbi
kingdom,metazoa,33208,dasyatoidea,ncbi
phylum,chordata,7711,dasyatoidea,ncbi
class,elasmobranchii,7777,dasyatoidea,ncbi
class,chondrichthyes,7777,dasyatoidea,ncbi
superorder,batoidea,117893,dasyatoidea,ncbi
order,myliobatiformes,117851,dasyatoidea,ncbi
family,dasyatidae,30469,dasyatoidea,ncbi
genus,neotrygon,651720,dasyatoidea,ncbi
species,neotrygon cf. kuhlii foak398-10,2578894,dasyatoidea,ncbi
NA,dasyatoidea,117839,dasyatoidea,ncbi
kingdom,metazoa,33208,dasyatoidea,ncbi
phylum,chordata,7711,dasyatoidea,ncbi
class,elasmobranchii,7777,dasyatoidea,ncbi
class,chondrichthyes,7777,dasyatoidea,ncbi
superorder,batoidea,117893,dasyatoidea,ncbi
order,myliobatiformes,117851,dasyatoidea,ncbi
family,dasyatidae,30469,dasyatoidea,ncbi
genus,neotrygon,651720,dasyatoidea,ncbi
species,neotrygon cf. kuhlii foak397-10,2578893,dasyatoidea,ncbi
NA,dasyatoidea,117839,dasyatoidea,ncbi
kingdom,metazoa,33208,dasyatoidea,ncbi
phylum,chordata,7711,dasyatoidea,ncbi
class,elasmobranchii,7777,dasyatoidea,ncbi
class,chondrichthyes,7777,dasyatoidea,ncbi
superorder,batoidea,117893,dasyatoidea,ncbi
order,myliobatiformes,117851,dasyatoidea,ncbi
family,dasyatidae,30469,dasyatoidea,ncbi
genus,neotrygon,651720,dasyatoidea,ncbi
species,neotrygon cf. kuhlii foak396-10,2578892,dasyatoidea,ncbi
NA,dasyatoidea,117839,dasyatoidea,ncbi
kingdom,metazoa,33208,dasyatoidea,ncbi
phylum,chordata,7711,dasyatoidea,ncbi
class,elasmobranchii,7777,dasyatoidea,ncbi
class,chondrichthyes,7777,dasyatoidea,ncbi
superorder,batoidea,117893,dasyatoidea,ncbi
order,myliobatiformes,117851,dasyatoidea,ncbi
family,dasyatidae,30469,dasyatoidea,ncbi
genus,neotrygon,651720,dasyatoidea,ncbi
species,neotrygon caeruleopunctata,2212482,dasyatoidea,ncbi
NA,dasyatoidea,117839,dasyatoidea,ncbi
kingdom,metazoa,33208,dasyatoidea,ncbi
phylum,chordata,7711,dasyatoidea,ncbi
class,elasmobranchii,7777,dasyatoidea,ncbi
class,chondrichthyes,7777,dasyatoidea,ncbi
superorder,batoidea,117893,dasyatoidea,ncbi
order,myliobatiformes,117851,dasyatoidea,ncbi
family,dasyatidae,30469,dasyatoidea,ncbi
genus,neotrygon,651720,dasyatoidea,ncbi
species,neotrygon indica,2060314,dasyatoidea,ncbi
NA,dasyatoidea,117839,dasyatoidea,ncbi
kingdom,metazoa,33208,dasyatoidea,ncbi
phylum,chordata,7711,dasyatoidea,ncbi
class,elasmobranchii,7777,dasyatoidea,ncbi
class,chondrichthyes,7777,dasyatoidea,ncbi
superorder,batoidea,117893,dasyatoidea,ncbi
order,myliobatiformes,117851,dasyatoidea,ncbi
family,dasyatidae,30469,dasyatoidea,ncbi
genus,neotrygon,651720,dasyatoidea,ncbi
species,neotrygon trigonoides,1365275,dasyatoidea,ncbi
NA,dasyatoidea,117839,dasyatoidea,ncbi
kingdom,metazoa,33208,dasyatoidea,ncbi
phylum,chordata,7711,dasyatoidea,ncbi
class,elasmobranchii,7777,dasyatoidea,ncbi
class,chondrichthyes,7777,dasyatoidea,ncbi
superorder,batoidea,117893,dasyatoidea,ncbi
order,myliobatiformes,117851,dasyatoidea,ncbi
family,dasyatidae,30469,dasyatoidea,ncbi
genus,neotrygon,651720,dasyatoidea,ncbi
species,neotrygon cf. annotata a2647,1263983,dasyatoidea,ncbi
NA,dasyatoidea,117839,dasyatoidea,ncbi
kingdom,metazoa,33208,dasyatoidea,ncbi
phylum,chordata,7711,dasyatoidea,ncbi
class,elasmobranchii,7777,dasyatoidea,ncbi
class,chondrichthyes,7777,dasyatoidea,ncbi
superorder,batoidea,117893,dasyatoidea,ncbi
order,myliobatiformes,117851,dasyatoidea,ncbi
family,dasyatidae,30469,dasyatoidea,ncbi
genus,neotrygon,651720,dasyatoidea,ncbi
species,neotrygon cf. annotata a2646,1263982,dasyatoidea,ncbi
NA,dasyatoidea,117839,dasyatoidea,ncbi
kingdom,metazoa,33208,dasyatoidea,ncbi
phylum,chordata,7711,dasyatoidea,ncbi
class,elasmobranchii,7777,dasyatoidea,ncbi
class,chondrichthyes,7777,dasyatoidea,ncbi
superorder,batoidea,117893,dasyatoidea,ncbi
order,myliobatiformes,117851,dasyatoidea,ncbi
family,dasyatidae,30469,dasyatoidea,ncbi
genus,neotrygon,651720,dasyatoidea,ncbi
species,neotrygon cf. annotata a2645,1263981,dasyatoidea,ncbi
NA,dasyatoidea,117839,dasyatoidea,ncbi
kingdom,metazoa,33208,dasyatoidea,ncbi
phylum,chordata,7711,dasyatoidea,ncbi
class,elasmobranchii,7777,dasyatoidea,ncbi
class,chondrichthyes,7777,dasyatoidea,ncbi
superorder,batoidea,117893,dasyatoidea,ncbi
order,myliobatiformes,117851,dasyatoidea,ncbi
family,dasyatidae,30469,dasyatoidea,ncbi
genus,neotrygon,651720,dasyatoidea,ncbi
species,neotrygon kuhlii 4 gjpn-2012,1214722,dasyatoidea,ncbi
NA,dasyatoidea,117839,dasyatoidea,ncbi
kingdom,metazoa,33208,dasyatoidea,ncbi
phylum,chordata,7711,dasyatoidea,ncbi
class,elasmobranchii,7777,dasyatoidea,ncbi
class,chondrichthyes,7777,dasyatoidea,ncbi
superorder,batoidea,117893,dasyatoidea,ncbi
order,myliobatiformes,117851,dasyatoidea,ncbi
family,dasyatidae,30469,dasyatoidea,ncbi
genus,neotrygon,651720,dasyatoidea,ncbi
species,neotrygon kuhlii 3 gjpn-2012,1214721,dasyatoidea,ncbi
NA,dasyatoidea,117839,dasyatoidea,ncbi
kingdom,metazoa,33208,dasyatoidea,ncbi
phylum,chordata,7711,dasyatoidea,ncbi
class,elasmobranchii,7777,dasyatoidea,ncbi
class,chondrichthyes,7777,dasyatoidea,ncbi
superorder,batoidea,117893,dasyatoidea,ncbi
order,myliobatiformes,117851,dasyatoidea,ncbi
family,dasyatidae,30469,dasyatoidea,ncbi
genus,neotrygon,651720,dasyatoidea,ncbi
species,neotrygon kuhlii 2 gjpn-2012,1214720,dasyatoidea,ncbi
NA,dasyatoidea,117839,dasyatoidea,ncbi
kingdom,metazoa,33208,dasyatoidea,ncbi
phylum,chordata,7711,dasyatoidea,ncbi
class,elasmobranchii,7777,dasyatoidea,ncbi
class,chondrichthyes,7777,dasyatoidea,ncbi
superorder,batoidea,117893,dasyatoidea,ncbi
order,myliobatiformes,117851,dasyatoidea,ncbi
family,dasyatidae,30469,dasyatoidea,ncbi
genus,neotrygon,651720,dasyatoidea,ncbi
species,neotrygon kuhlii 1 gjpn-2012,1214719,dasyatoidea,ncbi
NA,dasyatoidea,117839,dasyatoidea,ncbi
kingdom,metazoa,33208,dasyatoidea,ncbi
phylum,chordata,7711,dasyatoidea,ncbi
class,elasmobranchii,7777,dasyatoidea,ncbi
class,chondrichthyes,7777,dasyatoidea,ncbi
superorder,batoidea,117893,dasyatoidea,ncbi
order,myliobatiformes,117851,dasyatoidea,ncbi
family,dasyatidae,30469,dasyatoidea,ncbi
genus,neotrygon,651720,dasyatoidea,ncbi
species,neotrygon cf. ningalooensis gjpn-2012,1214718,dasyatoidea,ncbi
NA,dasyatoidea,117839,dasyatoidea,ncbi
kingdom,metazoa,33208,dasyatoidea,ncbi
phylum,chordata,7711,dasyatoidea,ncbi
class,elasmobranchii,7777,dasyatoidea,ncbi
class,chondrichthyes,7777,dasyatoidea,ncbi
superorder,batoidea,117893,dasyatoidea,ncbi
order,myliobatiformes,117851,dasyatoidea,ncbi
family,dasyatidae,30469,dasyatoidea,ncbi
genus,neotrygon,651720,dasyatoidea,ncbi
species,neotrygon ningalooensis,1160815,dasyatoidea,ncbi
NA,dasyatoidea,117839,dasyatoidea,ncbi
kingdom,metazoa,33208,dasyatoidea,ncbi
phylum,chordata,7711,dasyatoidea,ncbi
class,elasmobranchii,7777,dasyatoidea,ncbi
class,chondrichthyes,7777,dasyatoidea,ncbi
superorder,batoidea,117893,dasyatoidea,ncbi
order,myliobatiformes,117851,dasyatoidea,ncbi
family,dasyatidae,30469,dasyatoidea,ncbi
genus,neotrygon,651720,dasyatoidea,ncbi
species,neotrygon picta,662071,dasyatoidea,ncbi
NA,dasyatoidea,117839,dasyatoidea,ncbi
kingdom,metazoa,33208,dasyatoidea,ncbi
phylum,chordata,7711,dasyatoidea,ncbi
class,elasmobranchii,7777,dasyatoidea,ncbi
class,chondrichthyes,7777,dasyatoidea,ncbi
superorder,batoidea,117893,dasyatoidea,ncbi
order,myliobatiformes,117851,dasyatoidea,ncbi
family,dasyatidae,30469,dasyatoidea,ncbi
genus,neotrygon,651720,dasyatoidea,ncbi
species,neotrygon kuhlii,651721,dasyatoidea,ncbi
NA,dasyatoidea,117839,dasyatoidea,ncbi
kingdom,metazoa,33208,dasyatoidea,ncbi
phylum,chordata,7711,dasyatoidea,ncbi
class,elasmobranchii,7777,dasyatoidea,ncbi
class,chondrichthyes,7777,dasyatoidea,ncbi
superorder,batoidea,117893,dasyatoidea,ncbi
order,myliobatiformes,117851,dasyatoidea,ncbi
family,dasyatidae,30469,dasyatoidea,ncbi
genus,neotrygon,651720,dasyatoidea,ncbi
species,neotrygon annotata,496062,dasyatoidea,ncbi
NA,dasyatoidea,117839,dasyatoidea,ncbi
kingdom,metazoa,33208,dasyatoidea,ncbi
phylum,chordata,7711,dasyatoidea,ncbi
class,elasmobranchii,7777,dasyatoidea,ncbi
class,chondrichthyes,7777,dasyatoidea,ncbi
superorder,batoidea,117893,dasyatoidea,ncbi
order,myliobatiformes,117851,dasyatoidea,ncbi
family,dasyatidae,30469,dasyatoidea,ncbi
genus,neotrygon,651720,dasyatoidea,ncbi
species,neotrygon cf. annotata bold:aae1432,495844,dasyatoidea,ncbi
NA,dasyatoidea,117839,dasyatoidea,ncbi
kingdom,metazoa,33208,dasyatoidea,ncbi
phylum,chordata,7711,dasyatoidea,ncbi
class,elasmobranchii,7777,dasyatoidea,ncbi
class,chondrichthyes,7777,dasyatoidea,ncbi
superorder,batoidea,117893,dasyatoidea,ncbi
order,myliobatiformes,117851,dasyatoidea,ncbi
family,dasyatidae,30469,dasyatoidea,ncbi
genus,neotrygon,651720,dasyatoidea,ncbi
species,neotrygon leylandi,335000,dasyatoidea,ncbi
NA,dasyatoidea,117839,dasyatoidea,ncbi
kingdom,metazoa,33208,dasyatoidea,ncbi
phylum,chordata,7711,dasyatoidea,ncbi
class,elasmobranchii,7777,dasyatoidea,ncbi
class,chondrichthyes,7777,dasyatoidea,ncbi
superorder,batoidea,117893,dasyatoidea,ncbi
order,myliobatiformes,117851,dasyatoidea,ncbi
family,dasyatidae,30469,dasyatoidea,ncbi
genus,urogymnus,117835,dasyatoidea,ncbi
species,urogymnus polylepis,2720219,dasyatoidea,ncbi
NA,dasyatoidea,117839,dasyatoidea,ncbi
kingdom,metazoa,33208,dasyatoidea,ncbi
phylum,chordata,7711,dasyatoidea,ncbi
class,elasmobranchii,7777,dasyatoidea,ncbi
class,chondrichthyes,7777,dasyatoidea,ncbi
superorder,batoidea,117893,dasyatoidea,ncbi
order,myliobatiformes,117851,dasyatoidea,ncbi
family,dasyatidae,30469,dasyatoidea,ncbi
genus,urogymnus,117835,dasyatoidea,ncbi
species,urogymnus granulatus,2292668,dasyatoidea,ncbi
NA,dasyatoidea,117839,dasyatoidea,ncbi
kingdom,metazoa,33208,dasyatoidea,ncbi
phylum,chordata,7711,dasyatoidea,ncbi
class,elasmobranchii,7777,dasyatoidea,ncbi
class,chondrichthyes,7777,dasyatoidea,ncbi
superorder,batoidea,117893,dasyatoidea,ncbi
order,myliobatiformes,117851,dasyatoidea,ncbi
family,dasyatidae,30469,dasyatoidea,ncbi
genus,urogymnus,117835,dasyatoidea,ncbi
species,urogymnus asperrimus 2 gjpn-2012,1214760,dasyatoidea,ncbi
NA,dasyatoidea,117839,dasyatoidea,ncbi
kingdom,metazoa,33208,dasyatoidea,ncbi
phylum,chordata,7711,dasyatoidea,ncbi
class,elasmobranchii,7777,dasyatoidea,ncbi
class,chondrichthyes,7777,dasyatoidea,ncbi
superorder,batoidea,117893,dasyatoidea,ncbi
order,myliobatiformes,117851,dasyatoidea,ncbi
family,dasyatidae,30469,dasyatoidea,ncbi
genus,urogymnus,117835,dasyatoidea,ncbi
species,urogymnus asperrimus 1 gjpn-2012,1214759,dasyatoidea,ncbi
NA,dasyatoidea,117839,dasyatoidea,ncbi
kingdom,metazoa,33208,dasyatoidea,ncbi
phylum,chordata,7711,dasyatoidea,ncbi
class,elasmobranchii,7777,dasyatoidea,ncbi
class,chondrichthyes,7777,dasyatoidea,ncbi
superorder,batoidea,117893,dasyatoidea,ncbi
order,myliobatiformes,117851,dasyatoidea,ncbi
family,dasyatidae,30469,dasyatoidea,ncbi
genus,urogymnus,117835,dasyatoidea,ncbi
species,urogymnus asperrimus,195338,dasyatoidea,ncbi
NA,dasyatoidea,117839,dasyatoidea,ncbi
kingdom,metazoa,33208,dasyatoidea,ncbi
phylum,chordata,7711,dasyatoidea,ncbi
class,elasmobranchii,7777,dasyatoidea,ncbi
class,chondrichthyes,7777,dasyatoidea,ncbi
superorder,batoidea,117893,dasyatoidea,ncbi
order,myliobatiformes,117851,dasyatoidea,ncbi
family,dasyatidae,30469,dasyatoidea,ncbi
genus,pastinachus,87137,dasyatoidea,ncbi
species,pastinachus ater,2338056,dasyatoidea,ncbi
NA,dasyatoidea,117839,dasyatoidea,ncbi
kingdom,metazoa,33208,dasyatoidea,ncbi
phylum,chordata,7711,dasyatoidea,ncbi
class,elasmobranchii,7777,dasyatoidea,ncbi
class,chondrichthyes,7777,dasyatoidea,ncbi
superorder,batoidea,117893,dasyatoidea,ncbi
order,myliobatiformes,117851,dasyatoidea,ncbi
family,dasyatidae,30469,dasyatoidea,ncbi
genus,pastinachus,87137,dasyatoidea,ncbi
species,pastinachus cf. sephen gjpn-2012,1214726,dasyatoidea,ncbi
NA,dasyatoidea,117839,dasyatoidea,ncbi
kingdom,metazoa,33208,dasyatoidea,ncbi
phylum,chordata,7711,dasyatoidea,ncbi
class,elasmobranchii,7777,dasyatoidea,ncbi
class,chondrichthyes,7777,dasyatoidea,ncbi
superorder,batoidea,117893,dasyatoidea,ncbi
order,myliobatiformes,117851,dasyatoidea,ncbi
family,dasyatidae,30469,dasyatoidea,ncbi
genus,pastinachus,87137,dasyatoidea,ncbi
species,pastinachus stellurostris,1213704,dasyatoidea,ncbi
NA,dasyatoidea,117839,dasyatoidea,ncbi
kingdom,metazoa,33208,dasyatoidea,ncbi
phylum,chordata,7711,dasyatoidea,ncbi
class,elasmobranchii,7777,dasyatoidea,ncbi
class,chondrichthyes,7777,dasyatoidea,ncbi
superorder,batoidea,117893,dasyatoidea,ncbi
order,myliobatiformes,117851,dasyatoidea,ncbi
family,dasyatidae,30469,dasyatoidea,ncbi
genus,pastinachus,87137,dasyatoidea,ncbi
species,pastinachus gracilicaudus,495875,dasyatoidea,ncbi
NA,dasyatoidea,117839,dasyatoidea,ncbi
kingdom,metazoa,33208,dasyatoidea,ncbi
phylum,chordata,7711,dasyatoidea,ncbi
class,elasmobranchii,7777,dasyatoidea,ncbi
class,chondrichthyes,7777,dasyatoidea,ncbi
superorder,batoidea,117893,dasyatoidea,ncbi
order,myliobatiformes,117851,dasyatoidea,ncbi
family,dasyatidae,30469,dasyatoidea,ncbi
genus,pastinachus,87137,dasyatoidea,ncbi
species,pastinachus solocirostris,443763,dasyatoidea,ncbi
NA,dasyatoidea,117839,dasyatoidea,ncbi
kingdom,metazoa,33208,dasyatoidea,ncbi
phylum,chordata,7711,dasyatoidea,ncbi
class,elasmobranchii,7777,dasyatoidea,ncbi
class,chondrichthyes,7777,dasyatoidea,ncbi
superorder,batoidea,117893,dasyatoidea,ncbi
order,myliobatiformes,117851,dasyatoidea,ncbi
family,dasyatidae,30469,dasyatoidea,ncbi
genus,pastinachus,87137,dasyatoidea,ncbi
species,pastinachus sephen,87138,dasyatoidea,ncbi
NA,dasyatoidea,117839,dasyatoidea,ncbi
kingdom,metazoa,33208,dasyatoidea,ncbi
phylum,chordata,7711,dasyatoidea,ncbi
class,elasmobranchii,7777,dasyatoidea,ncbi
class,chondrichthyes,7777,dasyatoidea,ncbi
superorder,batoidea,117893,dasyatoidea,ncbi
order,myliobatiformes,117851,dasyatoidea,ncbi
family,dasyatidae,30469,dasyatoidea,ncbi
genus,himantura,86362,dasyatoidea,ncbi
species,himantura cf. leoparda foai416-09,2578858,dasyatoidea,ncbi
NA,dasyatoidea,117839,dasyatoidea,ncbi
kingdom,metazoa,33208,dasyatoidea,ncbi
phylum,chordata,7711,dasyatoidea,ncbi
