class,order,family,stressor,taxon,mean_vuln,sd_vuln,n_spp_known,n_spp,n_prob
actinopterygii,anguilliformes,anguillidae,uv,fish,0.12330829497192092,0.08079921787528574,18,18,18
actinopterygii,anguilliformes,anguillidae,wildlife_strike,fish,0.05112548066607915,0.09598930537459265,18,18,18
crinoidea,comatulida,antedonidae,biomass_removal,echinoderms,0.6996059038859059,0.03773413847441834,157,157,155
crinoidea,comatulida,antedonidae,bycatch,echinoderms,0.34428952509397914,0.1285766722232645,157,157,155
crinoidea,comatulida,antedonidae,entanglement_macroplastic,echinoderms,0.0957008752054322,0.05847579869551829,157,157,155
crinoidea,comatulida,antedonidae,eutrophication_nutrient_pollution,echinoderms,0.4842972331645314,0.02111499977521674,157,157,155
crinoidea,comatulida,antedonidae,habitat_loss_degradation,echinoderms,0.4895332505818656,0.02644675376354018,157,157,155
crinoidea,comatulida,antedonidae,inorganic_pollution,echinoderms,0.4214633395085891,0.0225425058082963,157,157,155
crinoidea,comatulida,antedonidae,light_pollution,echinoderms,0.2308779739901881,0.01246429942659934,157,157,155
crinoidea,comatulida,antedonidae,marine_heat_waves,echinoderms,0.5782299886703932,0.05344955441365749,157,157,155
crinoidea,comatulida,antedonidae,noise_pollution,echinoderms,0.1755555326976167,0.00949343659572689,157,157,155
crinoidea,comatulida,antedonidae,oa,echinoderms,0.3792499492946913,0.01654854197981428,157,157,155
crinoidea,comatulida,antedonidae,oceanographic,echinoderms,0.461779321845776,0.02493537698836603,157,157,155
crinoidea,comatulida,antedonidae,organic_pollution,echinoderms,0.3933120188445997,0.03122851922542207,157,157,155
crinoidea,comatulida,antedonidae,plastic_pollution_microplastic,echinoderms,0.21090222145516763,0.04316832966785204,157,157,155
crinoidea,comatulida,antedonidae,poisons_toxins,echinoderms,0.40492728832977926,0.04029908634014573,157,157,155
crinoidea,comatulida,antedonidae,salinity,echinoderms,0.422561504054569,0.01881027678683976,157,157,155
crinoidea,comatulida,antedonidae,sedimentation,echinoderms,0.361711963232768,0.03839741753531132,157,157,155
crinoidea,comatulida,antedonidae,slr,echinoderms,0.09909301917349717,0.00535067009023014,157,157,155
crinoidea,comatulida,antedonidae,sst_rise,echinoderms,0.6996289686891051,0.0377831060990214,157,157,155
crinoidea,comatulida,antedonidae,storm_disturbance,echinoderms,0.32244859766006373,0.01436820984300618,157,157,155
crinoidea,comatulida,antedonidae,uv,echinoderms,0.13283955206301817,0.00544904089440734,157,157,155
actinopterygii,perciformes,aploactinidae,biomass_removal,fish,0.6420522764623431,0.01257475423384429,49,49,47
actinopterygii,perciformes,aploactinidae,bycatch,fish,0.3773460331495246,0.04378364397221255,49,49,47
actinopterygii,perciformes,aploactinidae,entanglement_macroplastic,fish,0.12636595918175797,0.02177883331190005,49,49,47
actinopterygii,perciformes,aploactinidae,eutrophication_nutrient_pollution,fish,0.36310464722409574,0.02651907095622612,49,49,47
actinopterygii,perciformes,aploactinidae,habitat_loss_degradation,fish,0.31063417170598473,0.00488167196012741,49,49,47
actinopterygii,perciformes,aploactinidae,inorganic_pollution,fish,0.3801921038449187,0.02177615876803589,49,49,47
actinopterygii,perciformes,aploactinidae,light_pollution,fish,0.1065986521236538,0.07821934127043949,49,49,47
actinopterygii,perciformes,aploactinidae,marine_heat_waves,fish,0.34326516410585567,0.03634697512549802,49,49,47
actinopterygii,perciformes,aploactinidae,noise_pollution,fish,0.01826998341385075,0.02545041948031047,49,49,47
actinopterygii,perciformes,aploactinidae,oa,fish,0.29451405333582026,0.00459086963804985,49,49,47
actinopterygii,perciformes,aploactinidae,oceanographic,fish,0.40012579657086095,0.06888906078276108,49,49,47
actinopterygii,perciformes,aploactinidae,organic_pollution,fish,0.38642219657637034,0.03065979116990806,49,49,47
actinopterygii,perciformes,aploactinidae,plastic_pollution_microplastic,fish,0.33572747258569446,0.01091803448241949,49,49,47
actinopterygii,perciformes,aploactinidae,poisons_toxins,fish,0.4062243822989871,0.0196971587892224,49,49,47
actinopterygii,perciformes,aploactinidae,salinity,fish,0.3792566556438563,0.04520075940020851,49,49,47
actinopterygii,perciformes,aploactinidae,sedimentation,fish,0.3664419231557683,0.01535942399781786,49,49,47
actinopterygii,perciformes,aploactinidae,slr,fish,0.04031690171363043,0.03321968769766775,49,49,47
actinopterygii,perciformes,aploactinidae,sst_rise,fish,0.3875915082195133,0.27942473504868853,49,49,47
actinopterygii,perciformes,aploactinidae,storm_disturbance,fish,0.10845796275783902,0.01845955634524327,49,49,47
actinopterygii,perciformes,aploactinidae,uv,fish,0.08151193945280798,0.05987067304751512,49,49,47
crinoidea,comatulida,aporometridae,biomass_removal,echinoderms,0.7176980226362528,0.04036516153205798,3,3,2
crinoidea,comatulida,aporometridae,bycatch,echinoderms,0.28000997004874856,0.14011912034757168,3,3,2
crinoidea,comatulida,aporometridae,entanglement_macroplastic,echinoderms,0.06344682088807577,0.06559489275530815,3,3,2
crinoidea,comatulida,aporometridae,eutrophication_nutrient_pollution,echinoderms,0.4944255049286682,0.02278246892575208,3,3,2
crinoidea,comatulida,aporometridae,habitat_loss_degradation,echinoderms,0.5024790645710168,0.02822452629017695,3,3,2
crinoidea,comatulida,aporometridae,inorganic_pollution,echinoderms,0.4243377529290446,0.01899609999251936,3,3,2
crinoidea,comatulida,aporometridae,light_pollution,echinoderms,0.2370251376665817,0.013304367409112,3,3,2
crinoidea,comatulida,aporometridae,marine_heat_waves,echinoderms,0.5863937185480204,0.0458023586971336,3,3,2
crinoidea,comatulida,aporometridae,noise_pollution,echinoderms,0.1801979192526429,0.01012135133799779,3,3,2
crinoidea,comatulida,aporometridae,oa,echinoderms,0.38725830346246287,0.01756598475661851,3,3,2
crinoidea,comatulida,aporometridae,oceanographic,echinoderms,0.4737405724072488,0.02659498589726739,3,3,2
crinoidea,comatulida,aporometridae,organic_pollution,echinoderms,0.3925964920750856,0.0255330326755441,3,3,2
crinoidea,comatulida,aporometridae,plastic_pollution_microplastic,echinoderms,0.23274255460900092,0.04702502809322438,3,3,2
crinoidea,comatulida,aporometridae,poisons_toxins,echinoderms,0.4250916286222911,0.04359006826068178,3,3,2
crinoidea,comatulida,aporometridae,salinity,echinoderms,0.4318199138535478,0.01998391607338043,3,3,2
crinoidea,comatulida,aporometridae,sedimentation,echinoderms,0.38105322337997394,0.04158751971593914,3,3,2
