taxon,spp_gp,stressor,sens_score,adcap_gen_score,adcap_spec_score,vuln_raw,sd_sens,sd_acg,sd_acs,sd_vuln_raw,exposure_mod,vuln,sd_vuln
seabirds,procellaria,entanglement_macroplastic,0.6628729000000001,4.8181446,0.11,0.3866755374421216,0.44499714119322914,0.6183651827567853,0,0.2601432535126034,1,0.42565917473192677,0.2863702300247733
seabirds,puffinus,entanglement_macroplastic,0.6665575,4.8197032,0.11,0.38878376848158275,0.44499949936971217,0.6183909539955124,0,0.2601213004553711,1,0.4279799522249576,0.2863460637165393
seabirds,macronectes,entanglement_macroplastic,0.6653916000000001,4.8202586,0.11,0.38805468843765945,0.4450020527117927,0.619326959517239,0,0.2600537175593522,1,0.42717736819840446,0.2862716672860444
seabirds,calonectris,entanglement_macroplastic,0.6661392,4.8187288,0.11,0.38850465471820994,0.4450007668310078,0.6171713822397394,0,0.2600424287218304,1,0.42767269892685783,0.28625924033683786
seabirds,fulmarus,entanglement_macroplastic,0.6657298,4.8182112,0.11,0.3882538435500382,0.4450016265772933,0.617073945323492,0,0.26002088084117236,1,0.4273966016191157,0.2862355200540426
elasmobranchs,scyliorhinus,entanglement_macroplastic,0.5549733,2.11,0.45,0.30538691269841384,0.44500222421568375,0,0,0.2448727810818196,1,0.33617523904675534,0.26956022767589954
elasmobranchs,schroederichthys,entanglement_macroplastic,0.5551691,2.11,0.45,0.3054946561835623,0.44500219288752574,0,0,0.24487276384277507,1,0.33629384495411224,0.26956020869885866
elasmobranchs,notoraja,entanglement_macroplastic,0.5561036,2.11,0.45,0.3060088864535891,0.44500085654374105,0,0,0.24487202848865489,1,0.336859918602861,0.2695593992082196
elasmobranchs,torpedinidae,entanglement_macroplastic,0.553309,2.11,0.45,0.3044710930746518,0.44499901208902437,0,0,0.24487101353472554,1,0.33516708883422164,0.2695582819292347
elasmobranchs,arhynchobatidae,entanglement_macroplastic,0.5530509,2.11,0.45,0.3043290675715015,0.44499795644587237,0,0,0.24487043264263003,1,0.3350107446836148,0.26955764247308595
elasmobranchs,fontitrygon,entanglement_macroplastic,0.5528017,2.11,0.45,0.30419193949949436,0.4449967951554112,0,0,0.24486979361565595,1,0.3348597917106151,0.2695569390210491
elasmobranchs,pastinachus,entanglement_macroplastic,0.5559167,2.22,0.45,0.3040505765036853,0.44500128080996476,0,0,0.24338699660425417,1,0.33470417685964265,0.2679246502128575
elasmobranchs,hypanus,entanglement_macroplastic,0.5548576,2.33,0.45,0.3016417183404189,0.4450022022325731,0,0,0.24192014121587951,1,0.33205246378618325,0.2663099102212952
elasmobranchs,brachaeluridae,entanglement_macroplastic,0.5545728,2.33,0.45,0.3014868902162599,0.445002019959615,0,0,0.24192004212535922,1,0.331882026287109,0.26630980114072245
